time_hat,energy_proxy,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.0,0.004175999999999999,-0.0046434181476593065,0.011065200762118515,-0.0037284123280391917,-0.011406092298071479,-0.007166661839527167,-0.009624913406252805,2.168404344971009e-18,2.6020852139652106e-18,3.686287386450715e-18,-6.396792817664476e-18,2.2768245622195593e-18,-2.168404344971009e-18
0.006,0.004175643673198799,-0.004230343548382192,0.011227485436984291,-0.004513759168802411,-0.011118837585157592,-0.00808111068750958,-0.008870105303285808,1.3814488985142322e-07,2.265703527309969e-05,-6.832581746715489e-07,1.5161776956662066e-05,-3.0619221489801014e-05,-1.728279146321547e-05
0.012,0.004174185886711051,-0.00381256586000984,0.011376515698667392,-0.005276762439667239,-0.01077712297242667,-0.00891390875266685,-0.008026431234099105,3.711056500047905e-06,4.511092445900989e-05,1.4361567002376969e-06,3.0184836930482106e-05,-6.434627049297804e-05,-2.804705343676284e-05
0.018000000000000002,0.004171588071613695,-0.0033904185468627795,0.011512181634312935,-0.006013478123268329,-0.010382730948272556,-0.009656236928220237,-0.0071028407878141265,1.0672026885036063e-05,6.689254345584785e-05,6.28620912709074e-06,4.459603083748886e-05,-0.00010003380093660374,-3.182246267099996e-05
0.024,0.004167789731473483,-0.0029642305174363264,0.011634358461454632,-0.006720103612037353,-0.009937719727473069,-0.010300244379404407,-0.006109135989465696,2.0914948471684788e-05,8.75410224856904e-05,1.3724252807000275e-05,5.79413002646964e-05,-0.0001364730531378566,-2.8316829421197324e-05
0.03,0.004162712245718609,-0.0025343295981359874,0.011742905597439835,-0.0073929981161496156,-0.009444411400063324,-0.010839133017052964,-0.005055865241164696,3.427554022628152e-05,0.00010661135022529706,2.354102274201462e-05,6.979606412362504e-05,-0.00017241946660835345,-1.742398544091867e-05
0.036000000000000004,0.004156263942981904,-0.0021010461279050143,0.01183766615999417,-0.008028702003348894,-0.008905378577879819,-0.011267230431653688,-0.003954209106472882,5.053352546005463e-05,0.00012368181938137834,3.546606735183727e-05,7.977483538120617e-05,-0.00020661927439527572,7.716199750887331e-07
0.042,0.004148346213912689,-0.001664716634770709,0.011918466920542714,-0.008623954946531707,-0.008323429646716245,-0.011580050462604578,-0.0028158591984728063,6.941574932590479e-05,0.0001383611965969202,4.9174480016730276e-05,8.753986920929891e-05,-0.0002378367204475745,2.5993767926704627e-05
0.048,0.004138860385186437,-0.0012256875500020598,0.011985118730924144,-0.009175712765766848,-0.007701592744525961,-0.011774340709939324,-0.0016528915202832905,9.060021132450502e-05,0.0001502954965046945,6.429476346670794e-05,9.280866971610527e-05,-0.00026488151156804066,5.77768907341911e-05
0.054,0.004127715041051257,-0.0007843189095915631,0.0120374174414505,-0.009681162864392658,-0.007043098598141687,-0.011848116441241273,-0.0004776356829507499,0.00011372097306940835,0.00015917423758645376,8.041763922811537e-05,9.536021152703055e-05,-0.0002866360828507848,9.547216341357812e-05
0.06,0.004114833457306988,-0.0003409879866884131,0.012075145323666808,-0.010137738174332238,-0.006351362361868053,-0.011800680504424718,0.0006974585132971528,0.00013837388409568946,0.00016473605731778503,9.710559826552046e-05,9.503976397097773e-05,-0.00030208222244689344,0.00013825732275155392
0.066,0.004100160806045693,0.00010390720700620328,0.012098073004608556,-0.010543129543870459,-0.005629964610152952,-0.011632629026110142,0.0018599556057974885,0.00016412304898008492,0.0001667735669793149,0.00011390297820680704,9.176223858022221e-05,-0.00031032657084309717,0.00018515021954647304
0.07200000000000001,0.004083670798028435,0.0005499446174576231,0.01210596191096561,-0.010895296521573337,-0.004882631642389045,-0.011345842852907967,0.002997568554454584,0.00019050793823911045,0.00016513733348760612,0.0001303463471334414,8.551401410853148e-05,-0.000310624484620585,0.0002350260475315134
0.078,0.004065371452757829,0.0009966751117665182,0.012098567211616847,-0.011192476512131164,-0.0041132152598276255,-0.010943464875420392,0.0040982908382957315,0.00021705102451167156,0.00015973888737407654,0.00014597497371771594,7.635322642770615e-05,-0.0003024017379270568,0.00028663812053330846
