order,incoming,outgoing,mode_sum,detuning_hat,relative_detuning
4,"[2,4]","[3,3]",6,0.11339157072048778,0.0042873718845861716
4,"[2,5]","[3,4]",7,-0.19150527862357336,0.005908640009236632
4,"[3,5]","[4,4]",8,-0.30489684934406114,0.007925560793200271
4,"[4,6]","[5,5]",10,-0.5877494885941488,0.01176669693791596
4,"[5,7]","[6,6]",12,-0.7813904918906971,0.012958480418703304
4,"[3,6]","[4,5]",9,-0.892646337938217,0.02029341344838972
4,"[2,6]","[3,5]",8,-0.7792547672177221,0.020545638107566294
4,"[4,7]","[5,6]",11,-1.3691399804848459,0.024992234995142294
4,"[2,6]","[4,4]",8,-1.0841516165617833,0.02847003991601943
4,"[3,7]","[4,6]",10,-1.674036829828907,0.034290429791352384
4,"[2,7]","[3,6]",9,-1.5606452591084121,0.03649748368884998
4,"[3,7]","[5,5]",10,-2.2617863184230558,0.04605248135681194
4,"[2,7]","[4,5]",9,-2.453291597046629,0.056780383418463
