setting,lane,scan_coordinate,scan_value,charge,hooke,power,early_E_per_100,window1_E_per_100,window2_E_per_100,classification,E_i00250,E_i01000,E_i10000
R01,full_balance_ray_extended,t,1.05,38.38398732467719,1.3741838594487719,6.05,0.0003639078839358741,-0.0006058493982085132,0.0008375220212066666,INCONSISTENT_TRANSIENT,0.0021036188268861444,0.0077029420743174315,0.011123069536825292
R02,full_balance_ray_extended,t,1.1,39.4975105306142,1.3920021384701418,6.1,1.3818269268675329e-05,-0.00103786571704767,0.0005309673765718785,INCONSISTENT_TRANSIENT,0.0013527712843320883,0.005783953734168845,0.00850301854642177
R03,full_balance_ray_extended,t,1.15,40.61103373655121,1.4098204174915119,6.15,-0.00033828350371134785,-0.0014701153771420337,0.00022165606587796861,INCONSISTENT_TRANSIENT,0.0005875582417038117,0.003837145198926528,0.0058638746350038184
R04,full_balance_ray_extended,t,1.2,41.72455694248821,1.427638696512882,6.2,-0.0006922341463686946,-0.0019019057307190215,-9.057062121258553e-05,CONTRACT,-0.00019043069079799357,0.0018663889213388352,0.00320961033546574
R05,full_balance_ray_extended,t,1.25,42.83808014842522,1.4454569755342521,6.25,-0.001047897293849487,-0.002332680263656961,-0.0004058286853007178,CONTRACT,-0.000979665597416246,-0.00012481625562804632,0.000543807430876897
R06,full_balance_ray_extended,t,1.35,45.06512656029925,1.4810935335769924,6.35,-0.0017638029191147013,-0.003189620656763869,-0.0010455971445407454,CONTRACT,-0.002586102348753061,-0.004156169800394238,-0.00480983180376876
R07,full_balance_ray_extended,t,1.5,48.40569617811027,1.5345483706411025,6.5,-0.0028467857042030246,-0.004459647461348192,-0.002027455545951184,CONTRACT,-0.005046258420446037,-0.010286100538755005,-0.012855831020326725
R08,full_balance_ray_extended,t,1.7,52.8597890018583,1.6058214867265828,6.7,-0.004299911957771841,-0.0061185853575898,-0.0033704095390388075,CONTRACT,-0.00837532338572089,-0.01852626363539972,-0.023526593776687588
R09,full_balance_ray_extended,t,1.95,58.42740503154335,1.6949128818334334,6.95,-0.006112112561628236,-0.008131104631326932,-0.005079266289278334,CONTRACT,-0.012541453730543939,-0.028796760110789743,-0.036643042366015954
R10,full_balance_ray_extended,t,2.25,65.1085442671654,1.8018225559616536,7.25,-0.008248481017465325,-0.010449675357455886,-0.007128916651899881,CONTRACT,-0.01745520157456365,-0.04090993151402167,-0.05190760144124629
R11,full_balance_ray_extended,t,2.6,72.90320670872447,1.9265505091112445,7.6,-0.010648904072915764,-0.013012439976097244,-0.0094612698637523,CONTRACT,-0.022976086279999308,-0.05458339152098729,-0.06892815138326175
R12,full_balance_ray_extended,t,3.0,81.81139235622054,2.069096741282205,8.0,-0.013236574446681736,-0.015745523666944483,-0.011996330930840656,CONTRACT,-0.028931863312778194,-0.06947234886983816,-0.08725974447201129
H01,hooke_dominant_bracket,hooke,1.35,26.13523205937009,1.35,5.5,0.0018387259185373844,0.001135700508410719,0.002171412077022396,EXPAND,0.0052523096541998715,0.01586021497514145,0.022547824213628442
H02,hooke_dominant_bracket,hooke,1.4,26.13523205937009,1.4,5.5,0.0013404468752198117,0.0004923309683252384,0.0017489164186293665,EXPAND,0.004246855402284422,0.013191630433875723,0.01870735043474625
H03,hooke_dominant_bracket,hooke,1.45,26.13523205937009,1.45,5.5,0.0008649270592695355,-0.00012031042400850745,0.0013457954273505348,EXPAND,0.0032493360839938035,0.010569499600322607,0.015006299663529066
H04,hooke_dominant_bracket,hooke,1.5,26.13523205937009,1.5,5.5,0.00040575550164213706,-0.0007070742422082832,0.0009546179251848246,INCONSISTENT_TRANSIENT,0.002257251110397096,0.007993498739896965,0.011435567911445288
H05,hooke_dominant_bracket,hooke,1.6,26.13523205937009,1.6,5.5,-0.0004807681244941948,-0.0018187856316053124,0.00018931073399441927,CONTRACT,0.0002863512493539999,0.0029761902875731217,0.004652622528544703
H06,hooke_dominant_bracket,hooke,1.75,26.13523205937009,1.75,5.5,-0.0017682311179771334,-0.0033760284910279155,-0.0009520967423009962,CONTRACT,-0.0026379110144947315,-0.004230258303228929,-0.0047295495723462255
H07,hooke_dominant_bracket,hooke,2.0,26.13523205937009,2.0,5.5,-0.003872288567364696,-0.005802006342540133,-0.0028864697633795354,CONTRACT,-0.007422276014022955,-0.015464720862610581,-0.018621320381525197
H08,hooke_dominant_bracket,hooke,2.4,26.13523205937009,2.4,5.5,-0.007205439101594549,-0.009491971769542529,-0.006053354751985666,CONTRACT,-0.014842533099327482,-0.03169158933388727,-0.037395199507959
