carrier_id,family,best_beta_total,best_beta_parameter,best_n_threads,best_helix_turns,best_gamma_core,best_log_ratio_active_over_null,best_ratio_active_over_null,discovery_only
TORUS_T2_3,torus,-1.25,-0.25,5,1.0,1.0,-0.1272573773004248,0.8805070209108614,True
TORUS_T2_5,torus,0.25,0.25,1,1.0,1.0,-0.000936937301474503,0.9990635014872291,True
TORUS_T2_7,torus,1.25,0.25,5,1.0,1.0,-0.09275569232678867,0.9114161390551144,True
TORUS_T2_9,torus,1.25,0.25,5,1.0,1.0,-0.21337815812159389,0.8078505841870052,True
TRIPLE_GEAR_T3_3,triple_gear,-1.25,-0.25,5,1.0,1.0,-0.06928665827160303,0.933059172608696,True
