T_s,n_time,S_lab_numeric_J_s,S_lab_analytic_J_s,S_freefall_boundary_J_s,action_rel_error,frame_rel_error
0.0002,513,-3.703520763033181e-35,-3.703577275137601e-35,-3.703577275137601e-35,1.525878906308205e-05,1.525878906308205e-05
0.0003,513,-1.2499382575237011e-34,-1.24995733035894e-34,-1.2499573303589395e-34,1.5258789060655103e-05,1.5258789060312983e-05
0.0004,513,-2.962816610426545e-34,-2.962861820110081e-34,-2.962861820110081e-34,1.525878906308205e-05,1.525878906308205e-05
0.0005,513,-5.786751192239345e-34,-5.786839492402501e-34,-5.786839492402502e-34,1.5258789062959658e-05,1.5258789063107455e-05
0.0006,513,-9.999506060189609e-34,-9.99965864287152e-34,-9.999658642871516e-34,1.5258789060655103e-05,1.5258789060312983e-05
0.0008,513,-2.370253288341236e-33,-2.3702894560880648e-33,-2.3702894560880648e-33,1.525878906308205e-05,1.525878906308205e-05
0.001,513,-4.629400953791476e-33,-4.629471593922001e-33,-4.6294715939220014e-33,1.5258789062959658e-05,1.5258789063107455e-05
0.0012,513,-7.999604848151687e-33,-7.999726914297215e-33,-7.999726914297213e-33,1.5258789060655103e-05,1.5258789060312983e-05
0.0002,1025,-3.703563147111489e-35,-3.703577275137601e-35,-3.703577275137601e-35,3.814697267719025e-06,3.814697267719025e-06
0.0003,1025,-1.24995256215013e-34,-1.24995733035894e-34,-1.2499573303589395e-34,3.8146972653348387e-06,3.8146972649927145e-06
0.0004,1025,-2.962850517689191e-34,-2.962861820110081e-34,-2.962861820110081e-34,3.814697267719025e-06,3.814697267719025e-06
0.0005,1025,-5.786817417361717e-34,-5.786839492402501e-34,-5.786839492402502e-34,3.8146972648900744e-06,3.814697265037872e-06
0.0006,1025,-9.99962049720104e-34,-9.99965864287152e-34,-9.999658642871516e-34,3.8146972653348387e-06,3.8146972649927145e-06
0.0008,1025,-2.370280414151353e-33,-2.3702894560880648e-33,-2.3702894560880648e-33,3.814697267719025e-06,3.814697267719025e-06
0.001,1025,-4.6294539338893735e-33,-4.629471593922001e-33,-4.6294715939220014e-33,3.8146972648900744e-06,3.814697265037872e-06
0.0012,1025,-7.999696397760832e-33,-7.999726914297215e-33,-7.999726914297213e-33,3.8146972653348387e-06,3.8146972649927145e-06
0.0002,2049,-3.703573743131076e-35,-3.703577275137601e-35,-3.703577275137601e-35,9.53674316135918e-07,9.53674316135918e-07
0.0003,2049,-1.2499561383067386e-34,-1.24995733035894e-34,-1.2499573303589395e-34,9.536743154356301e-07,9.536743150935048e-07
0.0004,2049,-2.962858994504861e-34,-2.962861820110081e-34,-2.962861820110081e-34,9.53674316135918e-07,9.53674316135918e-07
0.0005,2049,-5.786833973642294e-34,-5.786839492402501e-34,-5.786839492402502e-34,9.536743181438957e-07,9.536743182916939e-07
0.0006,2049,-9.999649106453908e-34,-9.99965864287152e-34,-9.999658642871516e-34,9.536743154356301e-07,9.536743150935048e-07
0.0008,2049,-2.3702871956038887e-33,-2.3702894560880648e-33,-2.3702894560880648e-33,9.53674316135918e-07,9.53674316135918e-07
0.001,2049,-4.629467178913835e-33,-4.629471593922001e-33,-4.6294715939220014e-33,9.536743181438957e-07,9.536743182916939e-07
0.0012,2049,-7.999719285163127e-33,-7.999726914297215e-33,-7.999726914297213e-33,9.536743154356301e-07,9.536743150935048e-07
0.0002,4097,-3.703576392135963e-35,-3.703577275137601e-35,-3.703577275137601e-35,2.384185808742408e-07,2.384185808742408e-07
0.0003,4097,-1.2499570323458838e-34,-1.24995733035894e-34,-1.2499573303589395e-34,2.384185834348369e-07,2.384185830927114e-07
0.0004,4097,-2.9628611137087705e-34,-2.962861820110081e-34,-2.962861820110081e-34,2.384185808742408e-07,2.384185808742408e-07
0.0005,4097,-5.786838112712449e-34,-5.786839492402501e-34,-5.786839492402502e-34,2.384185795729235e-07,2.384185797207217e-07
0.0006,4097,-9.99965625876707e-34,-9.99965864287152e-34,-9.999658642871516e-34,2.384185834348369e-07,2.384185830927114e-07
0.0008,4097,-2.3702888909670164e-33,-2.3702894560880648e-33,-2.3702894560880648e-33,2.384185808742408e-07,2.384185808742408e-07
0.001,4097,-4.629470490169959e-33,-4.629471593922001e-33,-4.6294715939220014e-33,2.384185795729235e-07,2.384185797207217e-07
0.0012,4097,-7.999725007013657e-33,-7.999726914297215e-33,-7.999726914297213e-33,2.384185834348369e-07,2.384185830927114e-07
0.0002,8193,-3.7035770543872017e-35,-3.703577275137601e-35,-3.703577275137601e-35,5.960464251229355e-08,5.960464251229355e-08
0.0003,8193,-1.2499572558556715e-34,-1.24995733035894e-34,-1.2499573303589395e-34,5.960464936549623e-08,5.960464902337069e-08
0.0004,8193,-2.9628616435097614e-34,-2.962861820110081e-34,-2.962861820110081e-34,5.960464251229355e-08,5.960464251229355e-08
0.0005,8193,-5.786839147480011e-34,-5.786839492402501e-34,-5.786839492402502e-34,5.960464090267832e-08,5.960464105047656e-08
0.0006,8193,-9.999658046845372e-34,-9.99965864287152e-34,-9.999658642871516e-34,5.960464936549623e-08,5.960464902337069e-08
0.0008,8193,-2.370289314807809e-33,-2.3702894560880648e-33,-2.3702894560880648e-33,5.960464251229355e-08,5.960464251229355e-08
0.001,8193,-4.629471317984009e-33,-4.629471593922001e-33,-4.6294715939220014e-33,5.960464090267832e-08,5.960464105047656e-08
0.0012,8193,-7.999726437476298e-33,-7.999726914297215e-33,-7.999726914297213e-33,5.960464936549623e-08,5.960464902337069e-08
