a_over_g,T_s,action_J_s
0.0,0.0002,-0.0
0.0,0.0003,-0.0
0.0,0.0004,-0.0
0.0,0.0005,-0.0
0.0,0.0006,-0.0
0.0,0.0008,-0.0
0.0,0.001,-0.0
0.0,0.0012,-0.0
0.25,0.0002,-1.6203150578727004e-35
0.25,0.0003,-5.468563320320362e-35
0.25,0.0004,-1.2962520462981603e-34
0.25,0.0005,-2.5317422779260944e-34
0.25,0.0006,-4.37485065625629e-34
0.25,0.0008,-1.0370016370385283e-33
0.25,0.001,-2.0253938223408755e-33
0.25,0.0012,-3.499880525005032e-33
0.5,0.0002,-2.777682956353201e-35
0.5,0.0003,-9.374679977692049e-35
0.5,0.0004,-2.2221463650825607e-34
0.5,0.0005,-4.340129619301876e-34
0.5,0.0006,-7.4997439821536394e-34
0.5,0.0008,-1.7777170920660486e-33
0.5,0.001,-3.472103695441501e-33
0.5,0.0012,-5.9997951857229116e-33
0.75,0.0002,-3.472103695441501e-35
0.75,0.0003,-1.1718349972115062e-34
0.75,0.0004,-2.7776829563532006e-34
0.75,0.0005,-5.425162024127345e-34
0.75,0.0006,-9.37467997769205e-34
0.75,0.0008,-2.2221463650825605e-33
0.75,0.001,-4.340129619301876e-33
0.75,0.0012,-7.49974398215364e-33
1.0,0.0002,-3.703577275137601e-35
1.0,0.0003,-1.24995733035894e-34
1.0,0.0004,-2.962861820110081e-34
1.0,0.0005,-5.786839492402501e-34
1.0,0.0006,-9.99965864287152e-34
1.0,0.0008,-2.3702894560880648e-33
1.0,0.001,-4.629471593922001e-33
1.0,0.0012,-7.999726914297215e-33
1.25,0.0002,-3.472103695441501e-35
1.25,0.0003,-1.1718349972115062e-34
1.25,0.0004,-2.7776829563532006e-34
1.25,0.0005,-5.425162024127345e-34
1.25,0.0006,-9.37467997769205e-34
1.25,0.0008,-2.2221463650825605e-33
1.25,0.001,-4.340129619301876e-33
1.25,0.0012,-7.49974398215364e-33
1.5,0.0002,-2.777682956353201e-35
1.5,0.0003,-9.37467997769205e-35
1.5,0.0004,-2.2221463650825607e-34
1.5,0.0005,-4.340129619301877e-34
1.5,0.0006,-7.49974398215364e-34
1.5,0.0008,-1.7777170920660486e-33
1.5,0.001,-3.4721036954415014e-33
1.5,0.0012,-5.999795185722912e-33
1.75,0.0002,-1.6203150578727007e-35
1.75,0.0003,-5.468563320320363e-35
1.75,0.0004,-1.2962520462981605e-34
1.75,0.0005,-2.5317422779260944e-34
1.75,0.0006,-4.3748506562562905e-34
1.75,0.0008,-1.0370016370385284e-33
1.75,0.001,-2.0253938223408755e-33
1.75,0.0012,-3.4998805250050324e-33
2.0,0.0002,0.0
2.0,0.0003,0.0
2.0,0.0004,0.0
2.0,0.0005,0.0
2.0,0.0006,0.0
2.0,0.0008,0.0
2.0,0.001,0.0
2.0,0.0012,0.0
