R_core,v_rms_norm,v2_mean_norm,v2_cv,phi_mean_norm,mu_amp_norm,I_poisson_norm,I_phi_norm,mu_poisson_norm,mu_phi_norm,poisson_cancellation,phi_cancellation,beltrami_misalignment_median,divergence_rms_norm,poisson_identity_rel_rms,clock_min,clock_mean,metric_det_error_max,clock_identity_error_max
932.4956534324116,3.6761546565652915e-05,1.3514113058986675e-09,0.4848049214272051,-6.757056529493338e-10,6.300925843749633e-07,4.9985790623090824e-05,4.9985650963610425e-05,3.977742831010708e-06,3.97773171726238e-06,1.0,1.0,0.7988235773980893,1.0289017185818014e-22,1.2722323900489075e-16,0.999999999999226,0.9999999999996448,3.3306690738754696e-16,0.0
1075.6244368543823,2.3496279226595283e-05,5.52075137494133e-10,0.47581608402949577,-2.760375687470665e-10,2.9691275443421626e-07,2.3246652013624746e-05,2.3246607739644814e-05,1.8499097891527703e-06,1.849906265941392e-06,1.0,1.0,0.7906213689977831,5.609419902329293e-23,1.4509871782109483e-16,0.9999999999996851,0.999999999999855,2.220446049250313e-16,0.0
1240.722061169549,1.509323803946623e-05,2.278058345159904e-10,0.46916709069454626,-1.139029172579952e-10,1.413218622735644e-07,1.0959074547031427e-05,1.095905994174437e-05,8.720954429363127e-07,8.720942806844975e-07,1.0,1.0,0.7805979350606362,3.32518322020408e-23,1.3983629193326445e-16,0.9999999999998709,0.99999999999994,3.3306690738754696e-16,0.0
1431.1605243691733,9.73081313309152e-06,9.468872423114639e-11,0.46409207849638545,-4.7344362115573196e-11,6.775738211124776e-08,5.217281429917343e-06,5.217276472511266e-06,4.151780645364485e-07,4.151776700386075e-07,1.0,1.0,0.771979750520386,1.9038788779499282e-23,1.4188795101510005e-16,0.9999999999999467,0.9999999999999751,3.3306690738754696e-16,0.0
1650.8293925086828,6.290436251333382e-06,3.956958823208917e-11,0.4601709034438133,-1.9784794116044587e-11,3.2661319651499246e-08,2.5016898758113224e-06,2.501688157835172e-06,1.9907815490916086e-07,1.9907801819696265e-07,1.0,1.0,0.7708868806710814,1.2162707065544558e-23,1.3364137765869846e-16,0.9999999999999779,0.9999999999999896,3.3306690738754696e-16,0.0
1904.2152412440348,4.074514051828908e-06,1.6601664758551224e-11,0.45713448108423715,-8.300832379275612e-12,1.5806571531628605e-08,1.2059493805145534e-06,1.205948775986428e-06,9.596640251375009e-08,9.59663544069304e-08,1.0,1.0,0.7666256643104404,8.110517414384385e-24,1.4012833681376549e-16,0.9999999999999908,0.9999999999999957,2.220446049250313e-16,0.0
2196.493290851682,2.643101414408569e-06,6.985985086848577e-12,0.45478846667615774,-3.4929925434242884e-12,7.672334686626402e-09,5.836334045606137e-07,5.836331894147564e-07,4.64440706446868e-08,4.6444053523923464e-08,1.0,1.0,0.7610900679010839,4.9199498229269526e-24,1.354666648833388e-16,0.9999999999999961,0.999999999999998,3.3306690738754696e-16,0.0
2533.633106310253,1.7164535480025683e-06,2.9462127824506046e-12,0.4529828179221636,-1.4731063912253023e-12,3.7323111219256495e-09,2.8329031674566616e-07,2.8329023952946236e-07,2.2543527120070753e-08,2.2543520975400492e-08,1.0,1.0,0.7561648446312736,3.2023327892467213e-24,1.3713050092809858e-16,0.9999999999999983,0.9999999999999993,2.220446049250313e-16,0.0
2922.520521290681,1.1156029799890555e-06,1.2445700089604609e-12,0.451598665639489,-6.222850044802304e-13,1.8186406956849367e-09,1.37810205368736e-07,1.3781017748092307e-07,1.0966587696471794e-08,1.0966585477230155e-08,1.0,1.0,0.7494738692552558,2.0357855046461865e-24,1.417492628464101e-16,0.9999999999999993,0.9999999999999998,2.220446049250313e-16,0.0
3371.0982762629164,7.255320197165323e-07,5.263967116339506e-13,0.4505414715145185,-2.631983558169753e-13,8.872675236098391e-10,6.715044470520064e-08,6.715043458563378e-08,5.3436626028258365e-09,5.3436617975362925e-09,1.0,1.0,0.748264783889538,1.2458133860372953e-24,1.3307423590369323e-16,0.9999999999999997,0.9999999999999999,2.220446049250313e-16,0.0
3888.528243149499,4.7206901027092696e-07,2.2284915045817255e-13,0.4497364524644027,-1.1142457522908628e-13,4.33277607759238e-10,3.276082422824707e-08,3.27608205432479e-08,2.6070235578451243e-09,2.607023264602208e-09,1.0,1.0,0.7491181018872275,8.407137982514405e-25,1.2902764126424377e-16,0.9999999999999999,1.0,2.220446049250313e-16,0.0
4485.37854984565,3.072599765456282e-07,9.440869318682001e-14,0.44912493713462415,-4.7204346593410004e-14,2.117293636695608e-10,1.5997968410838056e-08,1.599796706542005e-08,1.273077876006435e-09,1.273077768941472e-09,1.0,1.0,0.7501077136629801,5.4137345889766575e-25,1.2795564452477588e-16,0.9999999999999999,1.0,1.1102230246251565e-16,0.0
5173.839426487091,2.0004159912201643e-07,4.0016641379293526e-14,0.44866127294468816,-2.0008320689646763e-14,1.035198384418918e-10,7.817686750053503e-09,7.817686257861856e-09,6.221117449075147e-10,6.22111705740148e-10,1.0,1.0,0.7498745120954466,3.3665032131398865e-25,1.2953262071164836e-16,1.0,1.0,0.0,0.0
5967.972181967434,1.3026271711097837e-07,1.696837546913478e-14,0.44831019334718236,-8.48418773456739e-15,5.063339638648749e-11,3.82225440314996e-09,3.822254222826165e-09,3.041653410080392e-10,3.0416532665832746e-10,1.0,1.0,0.7479745303482819,2.0333672294192504e-25,1.3032076635363103e-16,1.0,1.0,0.0,0.0
