pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00049,6c2cd84d4bc121a5,72e769f98fc785ee,geometry/6c2cd84d4bc121a5.npz,geometry/72e769f98fc785ee.npz
P00050,2ce26b47f0244f5a,1f0e7ec77c144cfb,geometry/2ce26b47f0244f5a.npz,geometry/1f0e7ec77c144cfb.npz
P00051,4b170432f811b1b4,732ed789cc8d16c7,geometry/4b170432f811b1b4.npz,geometry/732ed789cc8d16c7.npz
P00052,b606b4a76661236c,31b282eeac0c7adf,geometry/b606b4a76661236c.npz,geometry/31b282eeac0c7adf.npz
P00053,8c7ff045dc2629df,0cdad10536c9ac9c,geometry/8c7ff045dc2629df.npz,geometry/0cdad10536c9ac9c.npz
P00054,dda245a4c743e433,5beecf7ed9636968,geometry/dda245a4c743e433.npz,geometry/5beecf7ed9636968.npz
P00055,0079110f3b0cd9da,4d8983d8d59d6673,geometry/0079110f3b0cd9da.npz,geometry/4d8983d8d59d6673.npz
P00056,9f8aaef6c0315d0c,fa6211034dfdee38,geometry/9f8aaef6c0315d0c.npz,geometry/fa6211034dfdee38.npz
P00057,ae7e3dd8240584f7,b4c8486b6f254862,geometry/ae7e3dd8240584f7.npz,geometry/b4c8486b6f254862.npz
P00058,5da4b1c249a7db5a,31e5f6a0baa6b29c,geometry/5da4b1c249a7db5a.npz,geometry/31e5f6a0baa6b29c.npz
P00059,4bc9687eebfe0768,77070b98ab7ab5d0,geometry/4bc9687eebfe0768.npz,geometry/77070b98ab7ab5d0.npz
P00060,1be119a811185cfc,6dd8ebcf2ff010ec,geometry/1be119a811185cfc.npz,geometry/6dd8ebcf2ff010ec.npz
P00061,11c663e4127d16e7,60f164e9e0c52881,geometry/11c663e4127d16e7.npz,geometry/60f164e9e0c52881.npz
P00062,23ab80fc2ab8f144,2a3c014af95964c4,geometry/23ab80fc2ab8f144.npz,geometry/2a3c014af95964c4.npz
P00063,948bb92a5e7e940b,898fca8684ac4178,geometry/948bb92a5e7e940b.npz,geometry/898fca8684ac4178.npz
P00064,3b156352501524e4,c032898fa6f8ebb8,geometry/3b156352501524e4.npz,geometry/c032898fa6f8ebb8.npz
P00065,ceeab256fe104f90,89c15b9c49cbcd9f,geometry/ceeab256fe104f90.npz,geometry/89c15b9c49cbcd9f.npz
P00066,c816ced72d93085b,7a525c15f231ba39,geometry/c816ced72d93085b.npz,geometry/7a525c15f231ba39.npz
P00067,accb4480a6517be5,37f87572287ea62d,geometry/accb4480a6517be5.npz,geometry/37f87572287ea62d.npz
P00068,6341bf133947b67a,8ce3f429457afb67,geometry/6341bf133947b67a.npz,geometry/8ce3f429457afb67.npz
P00069,6cf68d531b895c4c,76876a2c5ad56c9c,geometry/6cf68d531b895c4c.npz,geometry/76876a2c5ad56c9c.npz
P00070,4545bd3bff89f757,fe718172a4e33056,geometry/4545bd3bff89f757.npz,geometry/fe718172a4e33056.npz
P00071,d13773916d5916a2,daabda5473289f55,geometry/d13773916d5916a2.npz,geometry/daabda5473289f55.npz
P00072,74fe2fe9a0ddbf13,86e0f28e3568ed56,geometry/74fe2fe9a0ddbf13.npz,geometry/86e0f28e3568ed56.npz
P00073,d4e61926c8407230,b0310b9c1d88e814,geometry/d4e61926c8407230.npz,geometry/b0310b9c1d88e814.npz
P00074,e2207665f7ecc4fe,3b6c6658e295ea2d,geometry/e2207665f7ecc4fe.npz,geometry/3b6c6658e295ea2d.npz
P00075,c5fd6e68e4d36fbd,c1be88456f0d7a57,geometry/c5fd6e68e4d36fbd.npz,geometry/c1be88456f0d7a57.npz
P00076,bae1e926d2afe9a7,8dcf0f6fa5a53566,geometry/bae1e926d2afe9a7.npz,geometry/8dcf0f6fa5a53566.npz
P00077,426e9cf82d2b3c37,71c8be158d366487,geometry/426e9cf82d2b3c37.npz,geometry/71c8be158d366487.npz
P00078,349d6539ef417069,7bd2ace032e92172,geometry/349d6539ef417069.npz,geometry/7bd2ace032e92172.npz
P00079,35e6f87996fabf26,9edb00ebc51bb4b4,geometry/35e6f87996fabf26.npz,geometry/9edb00ebc51bb4b4.npz
P00080,66612dbc76c9aa47,de208b875f8cd139,geometry/66612dbc76c9aa47.npz,geometry/de208b875f8cd139.npz
P00081,e880682cb457a032,1b659951d35a3989,geometry/e880682cb457a032.npz,geometry/1b659951d35a3989.npz
P00082,5b39d31dcfc173ab,a94855708b5e09f1,geometry/5b39d31dcfc173ab.npz,geometry/a94855708b5e09f1.npz
P00083,8da137e53df83728,e4d14be3ea7aaba0,geometry/8da137e53df83728.npz,geometry/e4d14be3ea7aaba0.npz
P00084,c4df60f0a98e9487,78ea77f14f8f5a0c,geometry/c4df60f0a98e9487.npz,geometry/78ea77f14f8f5a0c.npz
P00085,efabc15b7725d8ec,4aa7355ec75b7286,geometry/efabc15b7725d8ec.npz,geometry/4aa7355ec75b7286.npz
P00086,1defa44d82c5aaeb,b29fb628f4ec7ca4,geometry/1defa44d82c5aaeb.npz,geometry/b29fb628f4ec7ca4.npz
P00087,c2d23c5abacf6301,5748c21d3767c9fc,geometry/c2d23c5abacf6301.npz,geometry/5748c21d3767c9fc.npz
P00088,0470d88e5a8fc104,f344f46deaf2678e,geometry/0470d88e5a8fc104.npz,geometry/f344f46deaf2678e.npz
P00089,77519bdc7b53b80e,ea8a8314100b5ae7,geometry/77519bdc7b53b80e.npz,geometry/ea8a8314100b5ae7.npz
P00090,ae7e36f2549b5dd7,aa45bea8ea93697c,geometry/ae7e36f2549b5dd7.npz,geometry/aa45bea8ea93697c.npz
P00091,2132b65ff86a4949,bbc58aa9377efa08,geometry/2132b65ff86a4949.npz,geometry/bbc58aa9377efa08.npz
P00092,2c5a7934040bd345,af6aee2cab45caf0,geometry/2c5a7934040bd345.npz,geometry/af6aee2cab45caf0.npz
P00093,f2fe1d811d0bae8e,69b9fd4acf019802,geometry/f2fe1d811d0bae8e.npz,geometry/69b9fd4acf019802.npz
P00094,e909012d41e6bb48,bca278707342f4ab,geometry/e909012d41e6bb48.npz,geometry/bca278707342f4ab.npz
P00095,74ee9868941a71d8,f076b0887d5974c5,geometry/74ee9868941a71d8.npz,geometry/f076b0887d5974c5.npz
