scale_over_rc,epsilon_over_rc,knot_id,resolution_mode,centerline_points,actual_mean_ds_over_epsilon,resolution_target_met,local_minimum_count,candidate_surface_fraction,candidate_surface_fraction_all_rays,candidate_surface_fraction_fully_clock_valid_rays,invalid_clock_probe_count,reach_estimate_over_rc
1.0,0.0019,0_1,adaptive,2048,1.614715985562911,False,3,1.0,1.0,1.0,0,0.9987954562051634
2.0,0.0019,0_1,adaptive,2048,3.229431971125822,False,0,0.0,0.0,0.0,0,1.9975909124103268
