group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
0,1,0,oscillatory,-1,-4.52072568102165e+20,-1.1646191119879394,36864.0,9.496820195164103e-17,,-0.997233534239
1,1,1,oscillatory,1,4.52072568102165e+20,1.1646191119879394,36864.0,9.496820195164103e-17,,0.997233534239
2,1,2,oscillatory,-1,-4.5206012522959235e+20,-1.1645870569414078,26624.0,6.858814585396297e-17,,-0.997231508834
3,1,3,oscillatory,1,4.5206012522959235e+20,1.1645870569414078,26624.0,6.858814585396297e-17,,0.997231508834
4,1,4,oscillatory,-1,-4.520544994860684e+20,-1.164572564028346,49152.0,1.266242692688547e-16,,-0.997233163777
5,1,5,oscillatory,1,4.520544994860684e+20,1.164572564028346,49152.0,1.266242692688547e-16,,0.997233163777
6,1,6,oscillatory,-1,-3.655592024430868e+20,-0.9417453386202228,-6144.0,-1.5828033658606837e-17,,-0.991377623657
7,1,7,oscillatory,1,3.655592024430868e+20,0.9417453386202228,-6144.0,-1.5828033658606837e-17,,0.991377623657
8,1,8,oscillatory,-1,-3.6538136071353565e+20,-0.9412871867840834,10240.0,2.6380056097678064e-17,,-0.991336223723
9,1,9,oscillatory,1,3.6538136071353565e+20,0.9412871867840834,10240.0,2.6380056097678064e-17,,0.991336223723
10,1,10,oscillatory,-1,-3.6544689621664865e+20,-0.9414560178630395,8192.0,2.110404487814245e-17,,-0.991393173944
11,1,11,oscillatory,1,3.6544689621664865e+20,0.9414560178630395,8192.0,2.110404487814245e-17,,0.991393173944
12,1,12,oscillatory,-1,-3.000908523467689e+20,-0.7730872577449012,13824.0,3.5613075731865386e-17,,-0.986188120508
13,1,13,oscillatory,1,3.000908523467689e+20,0.7730872577449012,13824.0,3.5613075731865386e-17,,0.986188120508
14,1,14,oscillatory,-1,-2.9984956926008256e+20,-0.7724656697212482,28672.0,7.386415707349858e-17,,-0.986032252537
15,1,15,oscillatory,1,2.9984956926008256e+20,0.7724656697212482,28672.0,7.386415707349858e-17,,0.986032252537
16,1,16,oscillatory,-1,-2.993337650234291e+20,-0.7711368665280511,-32768.0,-8.44161795125698e-17,,-0.98586764006
