basis,candidate_a,candidate_b,growth_A_over_B,pair_id,winner_anonymous
MODE_GATE,db2a918a19624ece,d20f4f98a2178963,,P00000,INDETERMINATE
MODE_GATE,89f8e5560495b77d,af7905f2e5c84295,,P00001,A
MODE_GATE,322bef794a2075e3,79bf1614eed53300,,P00002,A
CONVERGED_GROWTH,b17aa20d5fcfea6e,ba227d7c959e389b,0.9926260054069657,P00003,TIE
MODE_GATE,6e675782d30a71cc,5292a2a166020689,,P00004,B
CONVERGED_GROWTH,a106f7e2eab9911e,80b24c9085bb25c4,1.0121567502166486,P00005,TIE
MODE_GATE,23f8588ea5a1df40,f53763e3c53c6ff7,,P00006,INDETERMINATE
MODE_GATE,48fe1df7904beb7e,6a867330f8b69335,,P00007,A
MODE_GATE,3b5566fadf6abca9,c0203dc7a6c1768c,,P00008,INDETERMINATE
CONVERGED_GROWTH,433902d46eac3f5b,d690e72ff20f183d,1.0305148153763555,P00009,TIE
MODE_GATE,ea421d96de91e3a6,828898dd6341f5e5,,P00010,A
CONVERGED_GROWTH,b7b7a9bed3640c15,ba45f288e6ce3316,1.0289721580285103,P00011,TIE
MODE_GATE,2b34d817c1913abd,87cea5ccb8da3f01,,P00012,INDETERMINATE
MODE_GATE,988fd4d93a5b102d,ff2a54a9793c1d84,,P00013,INDETERMINATE
MODE_GATE,c87bad0a8ebbaae1,beaa7776039cf04f,,P00014,INDETERMINATE
CONVERGED_GROWTH,a667e11d230966a7,3d26b208c21d59c1,1.0128220977267224,P00015,TIE
MODE_GATE,3a1bfa0304f7daa1,a03fe00e75ceeac3,,P00016,INDETERMINATE
CONVERGED_GROWTH,ee371d1db597f157,7d5c9f1e5cafa1f8,0.9894452742366662,P00017,TIE
MODE_GATE,5c12d213b12e365a,111ffc9ae4245f0d,,P00018,INDETERMINATE
MODE_GATE,11245f64ba087a1f,040eee6af940aefa,,P00019,INDETERMINATE
MODE_GATE,71466787866838ac,ae899a150f8d0305,,P00020,INDETERMINATE
MODE_GATE,93cc83dd3d19f4e8,cb53cc7b5645980c,,P00021,INDETERMINATE
MODE_GATE,838609f54264c0af,3b52bfbab8867b58,,P00022,INDETERMINATE
MODE_GATE,adbd79a2ee8efbc3,a694fbb90e2d764d,,P00023,INDETERMINATE
MODE_GATE,3d5a2fb5986e1fa2,45c90650e69dcdf9,,P00024,B
MODE_GATE,6061cbbf44a66389,63fcbbfb888da53a,,P00025,A
MODE_GATE,4ed0c655c61b7e17,00dbb0fff1c643a4,,P00026,A
CONVERGED_GROWTH,ca10a827ae7e1710,869d836fe56a50ea,1.0036286490930462,P00027,TIE
CONVERGED_GROWTH,a3d697a8cdf18fa1,d08506da3f1330e8,0.6441144557773427,P00028,A
CONVERGED_GROWTH,ff05549ae6791959,03dfc53cbaa1a506,1.0084119987848674,P00029,TIE
MODE_GATE,27cee1796e2b618b,00882db8291a118b,,P00030,INDETERMINATE
MODE_GATE,dd1793b63a58e053,a9039e0315e2cf3e,,P00031,B
MODE_GATE,d2dc48b8d8501ec8,14f572c18a95c26c,,P00032,B
CONVERGED_GROWTH,d164d8643846b8c7,626c3359ee29bd82,1.0301218712605498,P00033,TIE
CONVERGED_GROWTH,a866bd4399a416ce,34d6b44a2fe97b82,1.0287092466922196,P00034,TIE
CONVERGED_GROWTH,0dfd506feb65a345,9f19982a9be61625,1.0038494997725431,P00035,TIE
MODE_GATE,5135915622956e15,29dedc5ef50a2b28,,P00036,INDETERMINATE
MODE_GATE,25fdd5c639299524,7db5035bdc612395,,P00037,INDETERMINATE
MODE_GATE,ce2066b0888c7d49,b9a588db558c16bc,,P00038,INDETERMINATE
CONVERGED_GROWTH,fc2671123b569f76,0e6dbed2faaa2605,0.9913278345219859,P00039,TIE
MODE_GATE,aa1dff7841df50cd,0a001d02b741a829,,P00040,A
CONVERGED_GROWTH,15f232c44c74dd41,ec97f57610d6b989,1.0073643407313042,P00041,TIE
MODE_GATE,74851d5a622c2c1f,3e43898df8a760fc,,P00042,INDETERMINATE
MODE_GATE,2fae176a5f8ab6c9,b7f4ba79ee2eb952,,P00043,INDETERMINATE
MODE_GATE,af7cf3d14a77b3ca,a3f6037b46f31116,,P00044,INDETERMINATE
MODE_GATE,d2c8a6c6f1eb858f,c07d921fca3d669e,,P00045,INDETERMINATE
MODE_GATE,a4bc05932060aafe,9acef8afc0b1c496,,P00046,INDETERMINATE
MODE_GATE,84643e497b9b2904,92a0b71261c364d9,,P00047,INDETERMINATE
