1 1.07879 
2 1.07879 
3 1.07879 
4 1.07879 
5 1.07879 
6 1.07879 
7 1.07879 
8 1.07879 
9 1.07879 
10 1.07879 
11 1.07879 
12 1.07879 
13 1.07883 
14 1.07887 
15 1.07892 
16 1.07892 
17 1.07892 
18 1.07892 
19 1.07892 
20 1.07892 
21 1.07892 
22 1.07892 
23 1.07892 
24 1.07892 
25 1.07892 
26 1.07892 
27 1.07892 
28 1.07892 
29 1.07892 
30 1.07892 
31 1.07892 
32 1.07892 
33 1.07892 
34 1.07892 
35 1.07892 
36 1.07892 
37 1.07892 
38 1.07892 
39 1.07892 
40 1.07892 
41 1.07892 
42 1.07892 
43 1.07892 
44 1.07892 
45 1.07892 
46 1.07892 
47 1.07892 
48 1.07892 
49 1.07903 
50 1.07904 
51 1.07904 
52 1.07904 
53 1.07904 
54 1.07904 
55 1.07904 
56 1.07904 
57 1.07904 
58 1.07904 
59 1.07904 
60 1.07904 
61 1.07904 
62 1.07904 
63 1.07904 
64 1.07904 
65 1.07904 
66 1.07904 
67 1.07904 
68 1.07904 
69 1.07904 
