carrier_id,family,n,poly_r2,c1_A,c2_B,c3_C,c4_D,median_even_quadratic_B,median_odd_linear_A,n_symmetric_pairs
TORUS_T2_3,torus,12,1.0,0.012836498925817981,-0.05431965296550867,-2.7755575615628914e-17,-4.5512548349956367e-17,-0.054319652965508725,0.012836498925817886,6
TORUS_T2_5,torus,12,1.0,0.02080192203212674,-0.054317964139916255,6.938893903907228e-17,2.9864591921469243e-17,-0.05431796413991613,0.020801922032126885,6
TORUS_T2_7,torus,12,1.0,0.02989033189970974,-0.05426597255117066,-6.245004513516506e-17,-9.373313690683559e-17,-0.054265972551170744,0.029890331899709577,6
TORUS_T2_9,torus,12,1.0,0.015500730195769119,-0.05429847917556926,-2.7755575615628914e-17,3.991084110759061e-17,-0.05429847917556915,0.015500730195769141,6
TRIPLE_GEAR_T3_3,triple_gear,12,1.0,0.0105872690206704,-0.05432707758694008,-1.457167719820518e-16,6.326248058132335e-17,-0.054327077586939894,0.010587269020670143,6
TWIST_4_1,twist,12,1.0,-0.04380417656988446,-0.0410639603890605,0.0,-3.2519560792899856e-17,-0.04106396038906063,-0.043804176569884445,6
TWIST_5_2,twist,12,1.0,0.052698916617986216,-0.05325406390026489,2.7755575615628914e-17,-9.759438420514247e-18,-0.05325406390026469,0.05269891661798613,6
TWIST_7_2,twist,12,1.0,-0.07252343434364686,-0.05325406390026491,-6.938893903907228e-18,-3.8155383162891916e-17,-0.05325406390026498,-0.0725234343436469,6
