link_id,signs,dimension,rank,nullity,full_rank,antisymmetry_error,pfaffian_abs_proxy,singular_values_json
L4a1,--,20,20,0,True,0.0,323730947832.1663,"[20.010291381454998,20.010291381454998,20.010291381454994,20.010291381454994,20.010291381454994,20.010291381454987,20.010291381454987,20.010291381454987,19.825596494050465,19.825596494050462,16.169309475359935,16.169309475359928,15.033875298932244,15.033875298932239,9.451095178821973,9.451095178821973,9.24909970913733,9.249099709137324,4.792921213214094,4.792921213214092]"
L4a1,-+,20,20,0,True,0.0,312356187681.94415,"[20.010291381454998,20.010291381454994,20.010291381454994,20.01029138145499,20.010291381454987,20.010291381454984,20.010291381454984,20.01029138145498,16.169309509038264,16.169309509038264,13.677586708253017,13.677586708253013,13.55310785734596,13.553107857345926,10.995320711600504,10.995320711600499,9.45109507710908,9.451095077109077,6.254701437330284,6.25470143733028]"
L4a1,+-,20,20,0,True,0.0,312356187681.94415,"[20.010291381454998,20.010291381454994,20.010291381454994,20.01029138145499,20.01029138145499,20.010291381454987,20.010291381454987,20.010291381454984,16.169309509038264,16.169309509038257,13.677586708253019,13.677586708253017,13.553107857345934,13.553107857345928,10.995320711600504,10.995320711600499,9.45109507710908,9.451095077109077,6.254701437330323,6.254701437330279]"
L4a1,++,20,20,0,True,0.0,323730947832.1663,"[20.010291381454994,20.010291381454994,20.010291381454994,20.010291381454987,20.010291381454987,20.010291381454987,20.010291381454984,20.010291381454984,19.82559649405046,19.82559649405046,16.169309475359935,16.169309475359928,15.033875298932246,15.03387529893224,9.45109517882197,9.451095178821964,9.249099709137331,9.249099709137326,4.792921213214095,4.792921213214093]"
L6a4,---,30,30,0,True,0.0,5.5608795360737945e+20,"[29.00586203752136,29.005862037521354,29.005862037521354,29.00586203752135,29.00586203752135,29.00586203752135,29.00586203752135,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,23.066470324792288,23.06647032479228,23.06146005561717,23.061460055617164,18.90192746788578,18.901927467885756,17.640812760518216,17.640812760518198,14.689191300301266,14.68919130030126,14.685237755435157,14.685237755435153]"
L6a4,--+,30,30,0,True,0.0,5.5607351270524296e+20,"[29.00586203752136,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.00586203752135,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.005862037521343,29.00586203752134,29.00586203752134,23.06640740087678,23.066407400876773,23.061436363550914,23.06143636355091,18.900710934994766,18.900710934994763,17.641464930016205,17.6414649300162,14.68895931385458,14.688959313854577,14.68554575207836,14.685545752078356]"
L6a4,-+-,30,30,0,True,0.0,5.5606688250907374e+20,"[29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.00586203752135,29.00586203752135,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521343,29.005862037521343,29.00586203752134,23.066306527163878,23.06630652716387,23.061959566825422,23.061959566825415,18.900110579576587,18.900110579576573,17.64163181807422,17.641631818074213,14.688948431987177,14.688948431987173,14.685440131095005,14.685440131095001]"
L6a4,-++,30,30,0,True,0.0,5.561127470919363e+20,"[29.005862037521364,29.005862037521364,29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.00586203752135,29.005862037521347,29.005862037521347,29.005862037521347,29.005862037521347,23.06369511791166,23.063695117911656,23.06231838810552,23.062318388105517,18.90610578949613,18.906105789496127,17.63826529713348,17.63826529713348,14.687992539336127,14.687992539336122,14.687186437331741,14.68718643733174]"
L6a4,+--,30,30,0,True,0.0,5.561127470919363e+20,"[29.005862037521368,29.00586203752136,29.00586203752136,29.00586203752136,29.00586203752136,29.00586203752136,29.00586203752136,29.005862037521357,29.005862037521357,29.005862037521354,29.005862037521354,29.005862037521354,29.00586203752135,29.00586203752135,29.00586203752135,29.00586203752135,29.00586203752135,29.00586203752135,23.06369511791166,23.063695117911656,23.062318388105524,23.062318388105513,18.906105789496134,18.906105789496134,17.638265297133497,17.63826529713348,14.687992539336125,14.687992539336122,14.68718643733174,14.68718643733174]"
L6a4,+-+,30,30,0,True,0.0,5.5606688250907374e+20,"[29.005862037521368,29.005862037521368,29.005862037521357,29.005862037521357,29.005862037521357,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.005862037521354,29.00586203752135,29.00586203752135,29.00586203752135,29.00586203752135,29.005862037521343,29.005862037521343,29.005862037521343,23.066306527163878,23.066306527163878,23.061959566825426,23.061959566825415,18.900110579576584,18.900110579576577,17.64163181807422,17.64163181807421,14.688948431987182,14.688948431987173,14.68544013109501,14.685440131095003]"
