knot_id,backend,epsilon_over_rc,centerline_points,scale_over_rc,ray_count,local_minimum_count,rays_with_local_minimum_count,candidate_surface_fraction,candidate_surface_fraction_all_rays,candidate_surface_fraction_fully_clock_valid_rays,fully_clock_valid_ray_count,invalid_clock_probe_count,clock_boundary_bracket_count,reach_estimate_over_rc
0_1,cpp,0.0019,8192,1.0,128,128,128,1.0,1.0,1.0,128,0,0,0.9968202992910957
3_1,cpp,0.0019,8192,1.0,128,128,128,1.0,1.0,1.0,128,0,0,0.46158601567114876
4_1,cpp,0.0019,8192,1.0,128,128,128,1.0,1.0,1.0,128,0,0,0.4999720390808963
5_2,cpp,0.0019,8192,1.0,128,128,128,1.0,1.0,1.0,128,0,0,0.35663867194918675
