distance,distance_over_core,response_rms
0.30021528,0.6,0.38348995202895714
0.40028704000000004,0.8,0.30364885088346416
0.5003588,1.0,0.24643773027408855
0.6254485,1.25,0.1974835151499821
0.7505382,1.5,0.16445906726938725
1.0007176,2.0,0.12778063559594072
1.5010764,3.0,0.11417838550573624
2.0014352,4.0,0.08824986098701813
2.501794,5.0,0.04348506145418241
