knot,mode_id,family,omega_rad_s,gap_eV,gap_status,coupling_norm,tau_s,degeneracy,independent_energy_channel,notes
circle,kelvin_m01_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m01_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m01_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m01_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m02_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m02_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m02_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m02_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m03_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m03_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m03_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m03_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m04_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m04_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m04_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m04_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m05_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m05_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m05_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m05_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m06_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m06_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m06_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
circle,kelvin_m06_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m01_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m01_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m01_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m01_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m02_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m02_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m02_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m02_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m03_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m03_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m03_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m03_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m04_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m04_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m04_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m04_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m05_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m05_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m05_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m05_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m06_N_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m06_B_cos,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m06_N_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
trefoil_T2_3,kelvin_m06_B_sin,kelvin,,,unknown,,,1,false,v0.3 geometry candidate only; physical omega/gap/coupling must come from declared solver/experiment
