pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-1.0,0.05,1,1,False,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,-0.08877791950332513,nan,nan,nan,1.3207793553866565,0.7749995192438192,nan
P00001,TORUS_T2_3,gaussian,-1.0,0.05,1,2,True,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,-1.0183395409597291,251.4951032598988,252.40677300921595,0.40122525972913864,1.3207793553866565,1.1148142876060487,0.295589697066188
P00002,TORUS_T2_3,gaussian,-1.0,0.05,2,1,False,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,nan,nan,nan,nan,1.3207793553866565,1.736817888235592,nan
P00003,TORUS_T2_3,gaussian,-1.0,0.05,2,2,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan
P00004,TORUS_T2_3,gaussian,0.0,0.05,1,1,True,0.0,-1.5849823890954993,1.5849823890954993,3.9641988140733897,0.024695233738852088,10370.722169127754,14828.836361581547,1.6390836687778003,1.3207793553866565,1.2000357081834443,0.0
P00005,TORUS_T2_3,gaussian,0.0,0.05,1,2,False,6.519087389096648e-17,-1.578046688761968,1.578046688761968,3.9816219329410094,0.07017889367285211,nan,nan,nan,1.3207793553866565,1.1947844901770113,nan
P00006,TORUS_T2_3,gaussian,0.0,0.05,2,1,True,6.516184370025646e-18,-3.167984427558267,3.167984427558267,1.9833384446344544,0.022045764301901468,11617.080020456153,13955.017374572955,2.391391170480013,1.3207793553866565,2.3985720360013074,0.0
P00007,TORUS_T2_3,gaussian,0.0,0.05,2,2,True,2.1910703649752913e-17,-3.0736780256547864,3.0736780256547864,2.044191113947622,-0.06058085018294087,4227.53076647021,3947.985294537368,-1.1619989280665979,1.3207793553866565,2.327169949408371,0.0
P00008,TORUS_T2_3,gaussian,1.0,0.05,1,1,False,0.0003096668967836193,-0.06463258072798805,0.06463258072798805,97.21390104509254,-0.005378717800315876,nan,nan,nan,1.3207793553866565,0.04893518396119006,nan
P00009,TORUS_T2_3,gaussian,1.0,0.05,1,2,True,0.0011676636421382226,-0.07367091787541807,0.07367091787541807,85.28718642822977,0.009466976311758132,27052.71457046065,18345.122068093624,-2.909095781230494,1.3207793553866565,0.05577836871462229,-0.008069152829474659
