axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-0.75,db2a918a19624ece,d20f4f98a2178963,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.03,torus,1,1,P00000,gaussian,INDETERMINATE,0.0,1.6085086110833254e-15,nan,nan,False,False,nan,nan,0.9807227342637239,False,False,False,0.0,-1.024818337961008,1.024818337961008,6.131023494057194,-0.10934684678203405,nan,nan,nan,1.3207793553866565,0.7759194098404073
-0.75,89f8e5560495b77d,af7905f2e5c84295,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.03,torus,1,2,P00001,gaussian,CLOSED,0.008832776315173633,0.008164704747180765,nan,nan,False,False,2.0914989351142244,0.3257499999999999,0.2172451296645484,True,False,True,0.008832776315173633,-1.5587180656071637,1.5587180656071637,4.030995371014778,-0.4485717077390397,951.5662103694157,641.5935173415786,2.0914989351142244,1.3207793553866565,1.1801502342159573
-0.75,322bef794a2075e3,79bf1614eed53300,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,1,1,P00002,gaussian,CLOSED,0.0,0.007301795418672539,nan,nan,False,False,-0.9309958750727791,0.15912499999999996,0.9937201119758472,True,False,True,0.0,-1.0239846268739443,1.0239846268739443,6.136015270425603,-0.09802759751470978,2612.6051693644145,2196.874371789302,-0.9309958750727791,1.3207793553866565,0.775288183221318
-0.75,b17aa20d5fcfea6e,ba227d7c959e389b,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00003,gaussian,TIE,0.022066057887597922,0.021903342822305247,1.007428774334812,0.007401316890341861,False,True,-2.2304822988307795,0.0002500000000000835,0.27150430933619596,True,True,True,0.022066057887597922,-1.4668931178259348,1.4668931178259348,4.283328642574737,-0.7004046296023851,365.6563608848437,365.5649467946225,-2.2304822988307795,1.3207793553866565,1.110626927838756
-0.75,6e675782d30a71cc,5292a2a166020689,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.07,torus,1,1,P00004,gaussian,CLOSED,0.010276978237427504,0.010236843531015342,nan,nan,False,False,-0.22172945778648595,0.23662499999999997,0.207053610071869,True,False,True,0.010276978237427504,-1.4603451861423835,1.4603451861423835,4.302534336951604,-0.4866200928971354,375.92747511358994,286.9736363148367,-0.22172945778648595,1.3207793553866565,1.1056693006190041
-0.75,a106f7e2eab9911e,80b24c9085bb25c4,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.07,torus,1,2,P00005,gaussian,TIE,0.02833979862071327,0.02799941658550391,1.0121567502166486,0.012083450389248612,False,True,2.440899370496895,0.019124999999999837,0.3491975231512639,True,True,True,0.02833979862071327,-1.4365926103549957,1.4365926103549957,4.373672300616214,-0.6542591498086058,279.6045923329852,284.9520301613535,2.440899370496895,1.3207793553866565,1.0876855430061103
0.75,23f8588ea5a1df40,f53763e3c53c6ff7,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.03,torus,1,1,P00006,gaussian,INDETERMINATE,0.0,0.00010739976952461048,nan,nan,False,False,nan,nan,0.9848103443738603,False,False,False,0.0,-0.9793445118953078,0.9793445118953078,6.415704821809693,-0.020652973970026786,nan,nan,nan,1.3207793553866565,0.7414898695237448
0.75,48fe1df7904beb7e,6a867330f8b69335,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.03,torus,1,2,P00007,gaussian,CLOSED,0.000462025865405671,0.0004804559880623851,nan,nan,False,False,-3.123647119268949,0.03512499999999996,0.22737461585294896,True,False,True,0.000462025865405671,-0.06510090719594012,0.06510090719594012,96.51455836503955,-0.00911549405694812,46826.39002839563,45181.61307864824,-3.123647119268949,1.3207793553866565,0.0492897673865306
0.75,3b5566fadf6abca9,c0203dc7a6c1768c,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,gaussian,INDETERMINATE,0.00028863160906737474,0.0002733242257630355,nan,nan,False,False,nan,nan,0.22919263689100117,False,False,False,0.00028863160906737474,-0.06463684498853782,0.06463684498853782,97.20748759154003,-0.006696001355887419,nan,nan,nan,1.3207793553866565,0.04893841255537755
0.75,433902d46eac3f5b,d690e72ff20f183d,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00009,gaussian,TIE,0.001107058994659179,0.0011408410006400914,0.9703887659633392,-0.030058498126500976,False,True,0.17315792021061452,0.3175000000000001,0.24676163731353315,True,True,True,0.001107058994659179,-0.07367457835856245,0.07367457835856245,85.28294897868737,-0.001567657431257006,163369.49827230338,215239.3139737597,0.17315792021061452,1.3207793553866565,0.055781140171587786
