pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-0.75,0.03,1,1,False,0.0,-1.024818337961008,1.024818337961008,6.131023494057194,-0.10934684678203405,nan,nan,nan,1.3207793553866565,0.7759194098404073,nan
P00001,TORUS_T2_3,gaussian,-0.75,0.03,1,2,False,0.008832776315173633,-1.5587180656071637,1.5587180656071637,4.030995371014778,-0.4485717077390397,951.5662103694157,641.5935173415786,2.0914989351142244,1.3207793553866565,1.1801502342159573,nan
P00002,TORUS_T2_3,gaussian,-0.75,0.05,1,1,False,0.0,-1.0239846268739443,1.0239846268739443,6.136015270425603,-0.09802759751470978,2612.6051693644145,2196.874371789302,-0.9309958750727791,1.3207793553866565,0.775288183221318,nan
P00003,TORUS_T2_3,gaussian,-0.75,0.05,1,2,True,0.022066057887597922,-1.4668931178259348,1.4668931178259348,4.283328642574737,-0.7004046296023851,365.6563608848437,365.5649467946225,-2.2304822988307795,1.3207793553866565,1.110626927838756,0.007401316890341861
P00004,TORUS_T2_3,gaussian,-0.75,0.07,1,1,False,0.010276978237427504,-1.4603451861423835,1.4603451861423835,4.302534336951604,-0.4866200928971354,375.92747511358994,286.9736363148367,-0.22172945778648595,1.3207793553866565,1.1056693006190041,nan
P00005,TORUS_T2_3,gaussian,-0.75,0.07,1,2,True,0.02833979862071327,-1.4365926103549957,1.4365926103549957,4.373672300616214,-0.6542591498086058,279.6045923329852,284.9520301613535,2.440899370496895,1.3207793553866565,1.0876855430061103,0.012083450389248612
P00006,TORUS_T2_3,gaussian,0.75,0.03,1,1,False,0.0,-0.9793445118953078,0.9793445118953078,6.415704821809693,-0.020652973970026786,nan,nan,nan,1.3207793553866565,0.7414898695237448,nan
P00007,TORUS_T2_3,gaussian,0.75,0.03,1,2,False,0.000462025865405671,-0.06510090719594012,0.06510090719594012,96.51455836503955,-0.00911549405694812,46826.39002839563,45181.61307864824,-3.123647119268949,1.3207793553866565,0.0492897673865306,nan
P00008,TORUS_T2_3,gaussian,0.75,0.05,1,1,False,0.00028863160906737474,-0.06463684498853782,0.06463684498853782,97.20748759154003,-0.006696001355887419,nan,nan,nan,1.3207793553866565,0.04893841255537755,nan
P00009,TORUS_T2_3,gaussian,0.75,0.05,1,2,True,0.001107058994659179,-0.07367457835856245,0.07367457835856245,85.28294897868737,-0.001567657431257006,163369.49827230338,215239.3139737597,0.17315792021061452,1.3207793553866565,0.055781140171587786,-0.030058498126500976
P00010,TORUS_T2_3,gaussian,0.75,0.07,1,1,False,0.00048631451826593197,-0.06509641879026465,0.06509641879026465,96.52121305510671,-0.006756342627753078,27075.871213357645,31370.781284576504,1.1666463678444388,1.3207793553866565,0.04928636908562805,nan
P00011,TORUS_T2_3,gaussian,0.75,0.07,1,2,True,0.0018115789810189422,-0.08281167755850656,0.08281167755850656,75.87317987539267,0.0088591268692956,20649.197777760917,14002.737243044121,0.3680799519162606,1.3207793553866565,0.06269910051271474,-0.02856039917634324
P00012,TORUS_T2_3,compact_poly,-0.75,0.03,1,1,False,0.00213175361109113,-0.05563769632402939,0.05563769632402939,112.93036416509464,-1.6275842331943416e-05,nan,nan,nan,2.0564552448626587,0.027055145723701452,nan
P00013,TORUS_T2_3,compact_poly,-0.75,0.03,1,2,False,0.010240302207905243,-2.9648723285435725,2.9648723285435725,2.1192093995717047,-0.7679212342825851,nan,nan,nan,2.0564552448626587,1.441739291895741,nan
P00014,TORUS_T2_3,compact_poly,-0.75,0.05,1,1,False,0.002063783128647011,-0.05563850635615483,0.05563850635615483,112.92872002996408,-0.0001735434592847714,nan,nan,nan,2.0564552448626587,0.027055539620980507,nan
P00015,TORUS_T2_3,compact_poly,-0.75,0.05,1,2,True,0.02850624058365201,-2.8632884417568243,2.8632884417568243,2.194394813861093,-0.7478790003520048,342.4449782475009,346.3402898750662,1.0323587676249377,2.0564552448626587,1.392341724387029,0.012740590620311033
P00016,TORUS_T2_3,compact_poly,-0.75,0.07,1,1,False,0.010514544956799904,-2.963814149692419,2.963814149692419,2.119966026827845,-0.7669412364183495,nan,nan,nan,2.0564552448626587,1.441224727402399,nan
P00017,TORUS_T2_3,compact_poly,-0.75,0.07,1,2,True,0.03587253994571742,-2.8499664032445384,2.8499664032445384,2.204652412753535,-0.7450242888726801,245.54080396380598,246.4308893781748,1.2990595205857562,2.0564552448626587,1.38586356808114,0.01061082195036498
P00018,TORUS_T2_3,compact_poly,0.75,0.03,1,1,False,0.0020633269324372276,-0.0593772923798759,0.0593772923798759,105.81798285751874,-0.00023395735852182114,nan,nan,nan,2.0564552448626587,0.02887361275097501,nan
P00019,TORUS_T2_3,compact_poly,0.75,0.03,1,2,False,0.0018028185466483302,-0.05937319042110137,0.05937319042110137,105.82529358143651,-0.0003323166092385167,nan,nan,nan,2.0564552448626587,0.028871618076505543,nan
