id,name,status,primary_metrics
T01,material swirl-tonic / Stokes,PASS,line_circulation=2.1203685141989137; surface_vorticity_flux=2.1203708562973986; exact=2.12036864725401; stokes_rel=1.1045713621374686e-06; curl_rel=7.937295683634928e-11; div_rel=3.1177064399471113e-12
T02,circulation topological holonomy,PASS,gamma_input=9.683619203488876e-09; gauss_linking=1.0000186699032099; circulation=9.640917221277015e-09; topological_target=9.683799995722126e-09; holonomy_rel=0.00442830030195331; orientation_control=0.0; probe_radius=0.11961702655310853; core_a=0.007974468436873902
T03,moving-loop relative-motion identity,PASS,dGamma_dt_numeric=-0.36400000000047505; rhs_loop_integral=-0.3640000000000001; exact=-0.364; relative_error=1.3051220665854519e-12
T04,exterior harmonic/Hodge sector,PASS,gamma_true=1.7; gamma_fit=1.699999999999999; gamma_fit_rel=5.224578939412502e-16; fit_rel=5.324264745933808e-16; curl_rel=4.769904822862892e-05; div_rel=4.68115376353446e-09
T05,energy--helicity stationarity,PASS,beltrami_lambda=0.9999999999728086; beltrami_rel=1.8344290756276496e-11; beltrami_div_rel=0.0
T06,cyclic-work / chirality response,PASS,conservative_cycle_work=0.0; conservative_work_rel=0.0; nonconservative_cycle_work=-2.2870785112897596; nonconservative_work_rel=-0.6321486132699381; symmetric_asymmetry_ratio=0.0; antisymmetric_control_ratio=0.42961729083284383
T07,derived radial force-flux,REJECTED_NEGATIVE_CONTROL,mean_radial_coherence=0.9346888643749459; rms_decay_exponent=6.9665381112196485; signed_flux_cv=1.277968413681593
