direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
y,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
z,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
diag,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,8.112963402710449e-37,0.0,1.1608475638433992e-16
y,0.0005,2.5e-07,0.0,8.112963402710449e-37,0.0,0.0
z,0.0005,2.5e-07,2.5e-07,8.112963402710449e-37,0.0,0.0
diag,0.0005,2.5e-07,8.333333333333335e-08,8.112963402710449e-37,0.0,3.2865775918518957e-16
x,0.001,1e-06,0.0,8.112963402710449e-37,0.0,1.1965742802418188e-16
y,0.001,1e-06,0.0,8.112963402710449e-37,0.0,1.1965742802418188e-16
z,0.001,1e-06,1e-06,8.112963402710449e-37,0.0,0.0
diag,0.001,1e-06,3.333333333333334e-07,8.112963402710449e-37,0.0,2.339763066547485e-16
x,0.002,4e-06,0.0,8.112963402710449e-37,0.0,1.451059454804249e-17
y,0.002,4e-06,0.0,8.112963402710449e-37,0.0,0.0
z,0.002,4e-06,4e-06,8.112963402710449e-37,0.0,2.339763066547485e-16
diag,0.002,4e-06,1.3333333333333336e-06,8.112963402710449e-37,0.0,1.1698815332737424e-16
x,0.00364867628,1.331283859623464e-05,0.0,8.112963402710449e-37,0.0,1.1965742802418188e-16
y,0.00364867628,1.331283859623464e-05,0.0,8.112963402710449e-37,0.0,1.451059454804249e-17
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,8.112963402710449e-37,0.0,2.339763066547485e-16
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,8.112963402710449e-37,0.0,1.6480867296280488e-16
