pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_AF6109B3FDA8,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_97B088A8C0B2F3ED,0.75,0.75,total_beta,1.0,3,1.0
PAIR_D336B2BFAFC2,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_67DBC1AA4D8CC5E7,1.0,1.0,total_beta,1.0,3,1.0
PAIR_B793C528F727,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_57BF792A45D5CA2E,1.5,1.5,total_beta,1.0,3,1.0
PAIR_CE3D2D08531F,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_3EE00F1CF69A71BF,2.0,2.0,total_beta,1.0,3,1.0
PAIR_56BA25CE2CD4,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_C122FFB38C1C6E88,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_C23CC4A9D74A,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_8B8ED877C47306CD,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_CFF5B2EF8C4B,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_7FAEDE061AC9763A,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_BA01E60EB979,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_8D0FC541ACE5288D,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_401846201386,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_E7507463D3831BF1,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_DC191FD986C1,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_EF5636ED7AB3971C,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_61D08E35ACB2,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_38542E0A0F099668,0.25,0.25,total_beta,1.0,3,1.0
PAIR_A83EB139C694,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_98B4C2190ACE3941,0.5,0.5,total_beta,1.0,3,1.0
