1 78.212115 
2 78.21096 
3 78.20803 
4 78.207226 
5 78.20358 
6 78.189841 
7 78.001188 
8 77.994722 
9 77.988906 
10 77.9842 
11 77.983143 
12 77.982061 
13 77.979912 
14 77.978619 
15 77.976217 
16 77.973986 
17 77.972419 
18 77.970886 
19 77.966775 
20 77.961519 
21 77.959401 
22 77.957851 
23 77.957845 
24 77.957834 
25 77.957801 
26 77.957754 
27 77.957684 
28 77.957627 
29 77.957489 
30 77.95746 
31 77.957358 
32 77.95734 
33 77.957299 
34 77.95728 
35 77.957268 
36 77.957254 
37 77.957206 
38 77.957163 
