1 39.105629 
2 39.105036 
3 39.103521 
4 39.103115 
5 39.098582 
6 39.091706 
7 38.952378 
8 38.996479 
9 38.993031 
10 38.990391 
11 38.989849 
12 38.989307 
13 38.988195 
14 38.987538 
15 38.986298 
16 38.985117 
17 38.984317 
18 38.983538 
19 38.98138 
20 38.97055 
21 38.979697 
22 38.978913 
23 38.97891 
24 38.978905 
25 38.978888 
26 38.978865 
27 38.97883 
28 38.978801 
29 38.978732 
30 38.978717 
31 38.978666 
32 38.978657 
33 38.978637 
34 38.978627 
35 38.978621 
36 38.978614 
37 38.97859 
38 38.978569 
