catalog_id,slug,status,expected_on_disk,file_count,byte_count,resolved_root_count,status_reason
A001,knotplot_relaxed,INGESTED,True,10612,8228698574,1,one or more geometry/catalog candidates discovered
A002,knotplot_fourier_series,INGESTED,True,150,763331,1,one or more geometry/catalog candidates discovered
A003,knotplot_qhp,INGESTED,False,1596,30218286,1,one or more geometry/catalog candidates discovered
A004,ideal_gilbert,INGESTED,True,19,29335026,1,one or more geometry/catalog candidates discovered
A005,katlas_sources,INGESTED,True,8988,78779137,1,topology/reference source discovered
A006,fremlin_fourier_series,INGESTED,True,310,142314625,1,one or more geometry/catalog candidates discovered
A007,knot_library_sources,INGESTED,True,647,183059462,1,one or more geometry/catalog candidates discovered
A008,parametric_trefoil_seed_atlas,INGESTED,True,57,1562287,1,one or more geometry/catalog candidates discovered
