candidate_id,family,canonical_id,topology_class,family_index,variant_index,component_count,points_per_component,construction_method,source_record,legacy_ptsa_id,parameters_json
PKLSA_34a425f4c93d90,knot_0.1,0_1,unknot,0,0,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.24,""weave_shear"":-0.2}"
PKLSA_e3387ce78854ab,knot_0.1,0_1,unknot,0,1,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.24,""weave_shear"":-0.06}"
PKLSA_4e933f941ef33c,knot_0.1,0_1,unknot,0,2,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.24,""weave_shear"":0.06}"
PKLSA_1f507b8563d348,knot_0.1,0_1,unknot,0,3,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.24,""weave_shear"":0.2}"
PKLSA_b448f3c96235c3,knot_0.1,0_1,unknot,0,4,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.08,""weave_shear"":-0.2}"
PKLSA_01044298365abe,knot_0.1,0_1,unknot,0,5,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.08,""weave_shear"":-0.06}"
PKLSA_108d5a56f43743,knot_0.1,0_1,unknot,0,6,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.08,""weave_shear"":0.06}"
PKLSA_7138ac040f43a5,knot_0.1,0_1,unknot,0,7,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":-0.08,""weave_shear"":0.2}"
PKLSA_1056cd8936851c,knot_0.1,0_1,unknot,0,8,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.08,""weave_shear"":-0.2}"
PKLSA_92689a32f1fc60,knot_0.1,0_1,unknot,0,9,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.08,""weave_shear"":-0.06}"
PKLSA_c6748e396e509c,knot_0.1,0_1,unknot,0,10,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.08,""weave_shear"":0.06}"
PKLSA_77ef47772d410d,knot_0.1,0_1,unknot,0,11,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.08,""weave_shear"":0.2}"
PKLSA_c61e9d9eeb118c,knot_0.1,0_1,unknot,0,12,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.24,""weave_shear"":-0.2}"
PKLSA_6ca0211185aa66,knot_0.1,0_1,unknot,0,13,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.24,""weave_shear"":-0.06}"
PKLSA_d170b44c3905ce,knot_0.1,0_1,unknot,0,14,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.24,""weave_shear"":0.06}"
PKLSA_72349e6f069d85,knot_0.1,0_1,unknot,0,15,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":0.88,""bulge_shear"":0.24,""weave_shear"":0.2}"
PKLSA_984a50cb7a26eb,knot_0.1,0_1,unknot,0,16,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.24,""weave_shear"":-0.2}"
PKLSA_313c94a4cdf157,knot_0.1,0_1,unknot,0,17,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.24,""weave_shear"":-0.06}"
PKLSA_148b6ee63fa64c,knot_0.1,0_1,unknot,0,18,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.24,""weave_shear"":0.06}"
PKLSA_d744d9c4718446,knot_0.1,0_1,unknot,0,19,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.24,""weave_shear"":0.2}"
PKLSA_5ff9117fc781cf,knot_0.1,0_1,unknot,0,20,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.08,""weave_shear"":-0.2}"
PKLSA_6e4dffab2000c6,knot_0.1,0_1,unknot,0,21,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.08,""weave_shear"":-0.06}"
PKLSA_0619597af06319,knot_0.1,0_1,unknot,0,22,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.08,""weave_shear"":0.06}"
PKLSA_826cfa69f9f7a1,knot_0.1,0_1,unknot,0,23,1,512,analytic-circle-plus-SIAF-global-diffeomorphism,analytic unit circle,,"{""aspect"":1.0,""bulge_shear"":-0.08,""weave_shear"":0.2}"
