lambda_,epsilon,R,v0,Xi_filament,Xi_cavitation,Xi_renormalization,Xi_total,Xi_mass,chi_K,chi_cavitation,chi_renormalization,chi_E_hollow_total,chi_E,E_loop,target_residual,mass_mode,kernel,quadrature_n,target_chi_E,target_xi_E,status
1.0,0.2,1.0,0.15915494309189535,0.8569920759251616,0.25,0.0,1.1069920759251617,1.1069920759251617,33.83269105699872,9.869604401089358,0.0,43.70229545808808,43.70229545808808,1.1069920759251617,5.955436346617205,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.25,1.0,0.15915494309189535,0.7511528718455439,0.25,0.0,1.001152871845544,1.001152871845544,29.654326759430763,9.869604401089358,0.0,39.52393116052013,39.52393116052013,1.001152871845544,5.29042901462057,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.30000000000000004,1.0,0.15915494309189535,0.6664666088735837,0.25,0.0,0.9164666088735837,0.9164666088735837,26.311047104471285,9.869604401089358,0.0,36.18065150556064,36.18065150556064,0.9164666088735837,4.758329531395201,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.35000000000000003,1.0,0.15915494309189535,0.596514740413072,0.25,0.0,0.846514740413072,0.846514740413072,23.549458029182123,9.869604401089358,0.0,33.41906243027148,33.41906243027148,0.846514740413072,4.318808979274356,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.4,1.0,0.15915494309189535,0.5374419215381617,0.25,0.0,0.7874419215381617,0.7874419215381617,21.21735661657185,9.869604401089358,0.0,31.086961017661206,31.086961017661206,0.7874419215381617,3.9476435116658384,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.45,1.0,0.15915494309189535,0.4867431464624352,0.25,0.0,0.7367431464624352,0.7367431464624352,19.21584920210293,9.869604401089358,0.0,29.08545360319229,29.08545360319229,0.7367431464624352,3.629093713018031,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.5,1.0,0.15915494309189535,0.4426938086047776,0.25,0.0,0.6926938086047776,0.6926938086047776,17.476851046962892,9.869604401089358,0.0,27.34645544805225,27.34645544805225,0.6926938086047776,3.352323560599807,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.55,1.0,0.15915494309189535,0.4040525398145016,0.25,0.0,0.6540525398145016,0.6540525398145016,15.951354900898153,9.869604401089358,0.0,25.82095930198751,25.82095930198751,0.6540525398145016,3.1095333082859677,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.6000000000000001,1.0,0.15915494309189535,0.36989370019451095,0.25,0.0,0.619893700194511,0.619893700194511,14.602817965499892,9.869604401089358,0.0,24.47242236658925,24.47242236658925,0.619893700194511,2.8949069890753387,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.65,1.0,0.15915494309189535,0.33950701571537223,0.25,0.0,0.5895070157153722,0.5895070157153722,13.403199746020606,9.869604401089358,0.0,23.272804147109966,23.272804147109966,0.5895070157153722,2.7039818196221126,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.7,1.0,0.15915494309189535,0.3123344207230724,0.25,0.0,0.5623344207230724,0.5623344207230724,12.33046869352052,9.869604401089358,0.0,22.20007309460988,22.20007309460988,0.5623344207230724,2.5332513700085526,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.75,1.0,0.15915494309189535,0.2879286710117598,0.25,0.0,0.5379286710117598,0.5379286710117598,11.366968314469897,9.869604401089358,0.0,21.236572715559255,21.236572715559255,0.5379286710117598,2.3799055220117307,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.8,1.0,0.15915494309189535,0.26592528387831976,0.25,0.0,0.5159252838783197,0.5159252838783197,10.498309408505607,9.869604401089358,0.0,20.367913809594963,20.367913809594963,0.5159252838783197,2.2416541632667157,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.0,0.8500000000000001,1.0,0.15915494309189535,0.246022952023036,0.25,0.0,0.49602295202303603,0.49602295202303603,9.712596840222208,9.869604401089358,0.0,19.58220124131157,19.58220124131157,0.49602295202303603,2.116604124174985,kinetic_plus_cavity,regularized_circular_filament,8192,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
