amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,temporal_frequency_rel_change,case_index,source_name,source_path,source_sha256,geometry_sha256,resolution_N,family_hint
0.004,-1.7503443446052758e-05,0.01955372783835029,-0.0008951461118183125,False,47.124304267161236,296.0907361824878,0.6893248673042104,0.9870129870129835,inf,0.7043859050184003,nan,0.29264734584533547,0.1431034997849507,0.15189940749537664,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,4f89b931015719e0bfd8725448cc3c41944c1848ba423fcb2d478ca53424b756,48,knot_10.123_final
0.006,-3.923258539182892e-05,0.01955372783835029,-0.002006399276708911,False,47.124304267161236,296.0907361824878,0.7784925854667227,0.9870129870129835,inf,0.6955288916890245,nan,0.29264734584533547,0.15596326310524491,0.14392753934873126,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,4f89b931015719e0bfd8725448cc3c41944c1848ba423fcb2d478ca53424b756,48,knot_10.123_final
0.002,-6.862971240410853e-06,0.01886608052641148,-0.00036377302804379896,False,47.124304267161236,296.0907361824878,0.5749452704764842,0.9870129870129835,inf,0.694555622252061,0.9780622219201891,0.28475099293336903,0.14557384590980219,0.1495612250733712,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,7e8df79f4ab8d64a4c37197e10a24af6686088bd44031794f9fa97547862386c,64,knot_10.123_final
0.003,-1.5427537229727867e-05,0.01886608052641148,-0.0008177393925638216,False,47.124304267161236,296.0907361824878,0.5496977165020924,0.9870129870129835,inf,0.6869528457310179,nan,0.28475099293336903,0.15033400570062663,0.1561848340060696,8.83083112676597e-07,0.00027559055118110687,140,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,7e8df79f4ab8d64a4c37197e10a24af6686088bd44031794f9fa97547862386c,64,knot_10.123_final
0.004,-2.7391697074111848e-05,0.01886608052641148,-0.001451901842344252,False,47.124304267161236,296.0907361824878,0.5280068991434681,0.9870129870129835,inf,0.6755257245706574,nan,0.28475099293336903,0.1518355161719774,0.15164021059818614,5.516341370984112e-07,0.00027559055118110687,137,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,7e8df79f4ab8d64a4c37197e10a24af6686088bd44031794f9fa97547862386c,64,knot_10.123_final
0.006,-6.140861169798631e-05,0.01886608052641148,-0.0032549745354906977,False,47.124304267161236,296.0907361824878,0.5136234433315046,0.9870129870129835,inf,0.6640422051148245,nan,0.28475099293336903,0.1577243414119402,0.13828593242711074,6.63241995161809e-06,0.0002755905511811034,156,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,7e8df79f4ab8d64a4c37197e10a24af6686088bd44031794f9fa97547862386c,64,knot_10.123_final
0.002,9.264083679088111e-06,0.0039031092844977744,0.002373513781918138,True,47.124304267161236,296.0907361824878,0.6040611831954105,0.9870129870129835,inf,0.6860975635164586,0.9382528670816481,0.45386498554345567,0.07461378136046404,0.07165338072035174,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,6af5ff107d1d9eb9cbffb79624011001b21f0a490db690b9459c89bd4557eea4,48,knot_10.1_final
0.003,2.080240866111048e-05,0.0039031092844977744,0.005329701820989927,True,47.124304267161236,296.0907361824878,0.6286533424902176,0.9870129870129835,inf,0.6557356429462506,nan,0.45386498554345567,0.07246826767725681,0.07013483406736744,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,6af5ff107d1d9eb9cbffb79624011001b21f0a490db690b9459c89bd4557eea4,48,knot_10.1_final
0.004,3.687850510033369e-05,0.0039031092844977744,0.009448494113861065,True,47.124304267161236,296.0907361824878,0.6271654409297582,0.9870129870129835,inf,0.5663055701441995,nan,0.45386498554345567,0.07332123457576302,0.07267951027019642,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,6af5ff107d1d9eb9cbffb79624011001b21f0a490db690b9459c89bd4557eea4,48,knot_10.1_final
0.006,8.231707744897447e-05,0.0039031092844977744,0.021090128779103982,True,47.124304267161236,296.0907361824878,0.8950360552423549,0.9870129870129835,inf,0.6501035745332003,nan,0.45386498554345567,0.08727627276787987,0.06997483480316634,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,6af5ff107d1d9eb9cbffb79624011001b21f0a490db690b9459c89bd4557eea4,48,knot_10.1_final
0.002,8.416558270443568e-06,0.004025766658699471,0.00209067215861998,True,47.124304267161236,296.0907361824878,0.5365985263979883,0.9870129870129835,inf,0.6706226646053817,0.9384837558667315,0.4462091163291028,0.06714618038326836,0.06689200236955592,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,2023f8479d5f2aff0c9018bf4a36574c3485f1966cfdd77109f893d9d908ff15,64,knot_10.1_final
0.003,1.890350082077441e-05,0.004025766658699471,0.0046956275470971314,True,47.124304267161236,296.0907361824878,0.5106516251123163,0.9870129870129835,inf,0.6453936894889876,nan,0.4462091163291028,0.07041636013945149,0.06441468659226335,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,2023f8479d5f2aff0c9018bf4a36574c3485f1966cfdd77109f893d9d908ff15,64,knot_10.1_final
0.004,3.352191945347853e-05,0.004025766658699471,0.00832684114491321,True,47.124304267161236,296.0907361824878,0.5266503763671754,0.9870129870129835,inf,0.6222621532015995,nan,0.4462091163291028,0.07735960761846647,0.06427433729368161,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,2023f8479d5f2aff0c9018bf4a36574c3485f1966cfdd77109f893d9d908ff15,64,knot_10.1_final
0.006,7.487890893237079e-05,0.004025766658699471,0.01859991283164944,True,47.124304267161236,296.0907361824878,0.6204270906384668,0.9870129870129835,inf,0.6053643831370312,nan,0.4462091163291028,0.09326350939713374,0.07816038776382293,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,2,knot_10.1_final.txt,..\..\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,2023f8479d5f2aff0c9018bf4a36574c3485f1966cfdd77109f893d9d908ff15,64,knot_10.1_final
