amplitude_hat,delta_E_hat,base_energy_hat,delta_E_over_abs_base,energy_signal_valid,frequency_hat,omega_hat,spectral_power,cycles,period_cv,harmonic_r2,pod_discovery_fraction,epsilon_RE,mesh_cv_plus,mesh_cv_minus,dt_hat_min,dt_hat_max,n_steps,normalization_L_hat,normalization_Gamma_hat,core_fraction_hat,temporal_frequency_rel_change,case_index,source_name,source_path,source_sha256,geometry_sha256,resolution_N,family_hint
0.002,-1.0647905668792479e-05,0.0958813642632702,-0.00011105292202096285,False,47.124304267161236,296.0907361824878,0.8070166556716767,0.9870129870129835,inf,0.6829541062738537,0.8605177388194536,0.00019516797037750632,0.0006157348092111218,0.0006168479605973339,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,7f272eb440af4b19eb6787f2f7aaf883cf296d8c237e2e2b1684cdb41c4cb0fe,48,knot_0.1_final
0.003,-2.3951332558419525e-05,0.0958813642632702,-0.00024980174971910257,False,47.124304267161236,296.0907361824878,0.8071428519357983,0.9870129870129835,inf,0.6829309143000978,nan,0.00019516797037750632,0.0009388168182247635,0.0009346825782085023,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,7f272eb440af4b19eb6787f2f7aaf883cf296d8c237e2e2b1684cdb41c4cb0fe,48,knot_0.1_final
0.004,-4.256409756014934e-05,0.0958813642632702,-0.000443924613371971,False,47.124304267161236,296.0907361824878,0.8073097008863397,0.9870129870129835,inf,0.6829002147365356,nan,0.00019516797037750632,0.0012847426931116399,0.0012807687893529182,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,7f272eb440af4b19eb6787f2f7aaf883cf296d8c237e2e2b1684cdb41c4cb0fe,48,knot_0.1_final
0.006,-9.5666291778429e-05,0.0958813642632702,-0.0009977568896052558,False,47.124304267161236,296.0907361824878,0.8077570558010055,0.9870129870129835,inf,0.682817688241617,nan,0.00019516797037750632,0.0020633682446529046,0.002059796620833011,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,7f272eb440af4b19eb6787f2f7aaf883cf296d8c237e2e2b1684cdb41c4cb0fe,48,knot_0.1_final
0.002,-1.0765740404553026e-05,0.09586612977774653,-0.00011229972910674532,False,47.124304267161236,296.0907361824878,0.8136358343238204,0.9870129870129835,inf,0.6817116816966345,0.8597840996949595,0.0001870933452450932,0.0006227656514461349,0.0006236672878936798,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,c9925c738bea5f6ddb2cb0d56ff2e621454e4f4321733a3a311d49d571052db3,64,knot_0.1_final
0.003,-2.421634051599786e-05,0.09586612977774653,-0.00025260580115355,False,47.124304267161236,296.0907361824878,0.8137562705794071,0.9870129870129835,inf,0.6816883716693302,nan,0.0001870933452450932,0.0009471681711809898,0.0009480199210850256,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,c9925c738bea5f6ddb2cb0d56ff2e621454e4f4321733a3a311d49d571052db3,64,knot_0.1_final
0.004,-4.303492407586873e-05,0.09586612977774653,-0.00044890645085641557,False,47.124304267161236,296.0907361824878,0.8139191890878904,0.9870129870129835,inf,0.6816568045430207,nan,0.0001870933452450932,0.0012967968876098192,0.0012976900836344405,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,c9925c738bea5f6ddb2cb0d56ff2e621454e4f4321733a3a311d49d571052db3,64,knot_0.1_final
0.006,-9.672373697998393e-05,0.09586612977774653,-0.0010089458832251354,False,47.124304267161236,296.0907361824878,0.8143658481940153,0.9870129870129835,inf,0.6815700478558571,nan,0.0001870933452450932,0.002082969941892579,0.002083973436603581,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,0,knot_0.1_final.txt,..\..\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,c9925c738bea5f6ddb2cb0d56ff2e621454e4f4321733a3a311d49d571052db3,64,knot_0.1_final
0.002,-4.3863119697680475e-06,0.01955372783835029,-0.0002243210095808571,False,47.124304267161236,296.0907361824878,0.6635933078085264,0.9870129870129835,inf,0.7092063936278046,0.9797400206284885,0.29264734584533547,0.13034376711442408,0.13109873372511613,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,4f89b931015719e0bfd8725448cc3c41944c1848ba423fcb2d478ca53424b756,48,knot_10.123_final
0.003,-9.859312046587437e-06,0.01955372783835029,-0.000504216491509644,False,47.124304267161236,296.0907361824878,0.6383968127621272,0.9870129870129835,inf,0.7045017340609223,nan,0.29264734584533547,0.1307055892693068,0.13703277376007064,5.511811023621929e-05,0.00027559055118110687,131,1.0,1.0,0.055,0.0,1,knot_10.123_final.txt,..\..\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,4f89b931015719e0bfd8725448cc3c41944c1848ba423fcb2d478ca53424b756,48,knot_10.123_final
