case_id,dataset,overall,backend,components,original_points,resampled_points,thickness,rr_residual,relative_equilibrium_residual,omega_eff,spectral_modes,gap_sigma0,gap_to_2omega_ratio,dispersion_train_r2,dispersion_holdout_nrmse,gap_delta_aic,c_eff,evanescent_observed_length,evanescent_predicted_length,evanescent_length_ratio,evanescent_exp_r2,evanescent_delta_aic,geometry_qc,relative_equilibrium_gate,kelvin_gap_gate,evanescent_gate,kirchhoff_detailed_balance
CASE_EFD4E91DB21D652A,knot_0.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999913,0.997774,0.00010906267805806843,1.28165978941595e-09,6,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_ED0DC9D5004BD41D,knot_10.123_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999803,0.00499112,0.682383207903409,0.00012145266742417733,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_4255D55C27B23FE0,knot_10.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999811,0.0665496,0.8255943837489508,0.03708311671972743,0,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_F8E7D2FA8B976A80,knot_3.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.499984,0.00999506,0.4969461438325265,0.08461914464066093,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_698CF71EC98A9F1E,knot_4.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999792,0.00999795,0.6788282167304788,0.10214043968831384,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_B87F826896CD0D4C,knot_5.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999952,0.0486732,0.5351332552273974,0.10183724851830002,3,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_5AA49E5633A6A5B1,knot_5.2_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.499998,0.0361876,0.8633996761771652,0.059591206970715536,0,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_08FE1B754F5F6DAD,knot_6.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999974,0.0257312,0.7595886729003758,0.06948108535201446,1,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_56F3B85DC50BBD18,knot_6.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999956,0.00499708,0.6599861776286804,0.04863100736899025,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_D7CE4E99BBA7B761,knot_6.3_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999913,0.00497171,0.6393194831223563,0.00441223878241135,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
