low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_m,high_m,low_omega_hat,high_omega_hat,frequency_rel_error,low_sigma_hat,high_sigma_hat,sigma_hat_abs_error,overlap,minimum_overlap,low_circularity_eigs,high_circularity_eigs,circularity_error,low_class,high_class,converged,physical_interpretation_allowed
38,58,2,2,74;75,114;122,0,0,-0.0,-0.0,0.0,0.00395522708508775,0.0033493864872497173,0.0006058405978380324,0.9976194404889143,0.9976194404889143,-5.0748267572e-16;5.0748267572e-16,-5.44516866648e-16;5.44516866648e-16,3.7034190928124405e-17,real_dominant,real_dominant,True,True
39,62,2,2,76;77,120;121,0,0,-0.0,-0.0,0.0,-0.003955227085087769,-0.0033493864872497585,0.0006058405978380103,0.9976194404889136,0.9976194404889133,-3.5138716545e-15;3.5138716545e-15,-2.34520612769e-15;2.34520612769e-15,1.1686655268131788e-15,real_dominant,real_dominant,True,True
36,60,2,2,70;72,116;118,1;3,-1;1,-0.013252774412093368,-0.015233654835295448,0.13003316962469838,9.480332660103053e-19,-6.187978002599873e-18,7.136011268610179e-18,0.9995833193145374,0.9995833193145373,0.908426235001;0.908426235001,0.930933894879;0.930933894879,0.022507659877659347,oscillatory,oscillatory,True,True
48,64,2,2,92;94,124;126,3,-3;3,-0.0240382163672908,-0.028444339131980093,0.15490332695884187,1.319002804883903e-18,6.9247647256404916e-18,5.6057619207565885e-18,0.9996961182489279,0.9996961182489277,0.96510492032;0.96510492032,0.97602889751;0.97602889751,0.010923977190117062,oscillatory,oscillatory,False,False
49,65,2,2,93;95,125;127,-3,-3;3,0.0240382163672908,0.028444339131980093,0.15490332695884187,1.319002804883903e-18,6.9247647256404916e-18,5.6057619207565885e-18,0.9996961182489279,0.9996961182489277,-0.96510492032;-0.96510492032,-0.97602889751;-0.97602889751,0.010923977190117062,oscillatory,oscillatory,False,False
34,48,2,2,66;68,94;96,4,-4;4,-0.03179355159944627,-0.04002513546500332,0.20566036241787308,-5.029986282296525e-18,1.2200775945176104e-17,1.723076222747263e-17,0.9995823035359619,0.9995823035359619,0.977455914346;0.977455914346,0.986510366858;0.986510366858,0.009054452512272881,oscillatory,oscillatory,False,False
35,49,2,2,67;69,95;97,-4,-4;4,0.03179355159944627,0.04002513546500332,0.20566036241787308,-5.029986282296525e-18,1.2200775945176104e-17,1.723076222747263e-17,0.9995823035359619,0.9995823035359619,-0.977455914346;-0.977455914346,-0.986510366858;-0.986510366858,0.009054452512272881,oscillatory,oscillatory,False,False
32,44,2,2,60;62,86;88,5,-5;5,-0.03507629898530457,-0.048658792930960724,0.27913750275161175,9.562770335408298e-18,2.638005609767806e-18,6.9247647256404916e-18,0.9992622236587569,0.9992622236587567,0.979853095623;0.979853095623,0.990109610445;0.990109610445,0.010256514821853635,oscillatory,oscillatory,False,False
33,45,2,2,61;63,87;89,-5,-5;5,0.03507629898530457,0.048658792930960724,0.27913750275161175,9.562770335408298e-18,2.638005609767806e-18,6.9247647256404916e-18,0.9992622236587569,0.9992622236587567,-0.979853095623;-0.979853095623,-0.990109610445;-0.990109610445,0.010256514821853635,oscillatory,oscillatory,False,False
28,40,2,2,54;64,78;80,6,-6;6,-0.03275039110089887,-0.0532735568013253,0.38524113899441886,5.770637271367076e-18,2.7039557500120015e-17,2.1268920228752938e-17,0.9984552512506795,0.9984552512506795,0.975596701722;0.975596701722,0.99121113827;0.99121113827,0.015614436548217814,oscillatory,oscillatory,False,False
29,41,2,2,55;65,79;81,-6,-6;6,0.03275039110089887,0.0532735568013253,0.38524113899441886,5.770637271367076e-18,2.7039557500120015e-17,2.1268920228752938e-17,0.9984552512506795,0.9984552512506795,-0.975596701722;-0.975596701722,-0.99121113827;-0.99121113827,0.015614436548217814,oscillatory,oscillatory,False,False
46,42,2,2,88;90,82;84,-7,-7,-0.02396813572871425,-0.05306880933732202,0.5483573867963524,-6.595014024419515e-19,6.595014024419516e-18,7.254515426861467e-18,0.9954535120388928,0.9954535120388927,0.953992895118;0.953992895118,0.99069517292;0.99069517292,0.036702277802155736,oscillatory,oscillatory,False,False
47,43,2,2,89;91,83;85,7,7,0.02396813572871425,0.05306880933732202,0.5483573867963524,-6.595014024419515e-19,6.595014024419516e-18,7.254515426861467e-18,0.9954535120388928,0.9954535120388927,-0.953992895118;-0.953992895118,-0.99069517292;-0.99069517292,0.036702277802155736,oscillatory,oscillatory,False,False
22,38,2,2,42;44,74;76,-13;13,-13;13,-0.1519930787098227,-0.06402195531982365,0.5787837455279721,7.419390777471955e-18,-1.7724100190627448e-17,2.5143490968099403e-17,0.9845575364103896,0.984557536410389,-0.99881298152;-0.99881298152,-0.992796564131;-0.992796564131,0.006016417388891249,oscillatory,oscillatory,False,False
23,39,2,2,43;45,75;77,-13;13,-13;13,0.1519930787098227,0.06402195531982365,0.5787837455279721,7.419390777471955e-18,-1.7724100190627448e-17,2.5143490968099403e-17,0.9845575364103896,0.984557536410389,0.99881298152;0.99881298152,0.992796564131;0.992796564131,0.006016417388891249,oscillatory,oscillatory,False,False
20,36,2,2,38;40,70;72,-14;14,-14,-0.1962656714035348,-0.10237995301218523,0.47836036592621695,-2.3082549085468305e-18,-2.4813740266878428e-17,2.25054853583316e-17,0.9786920093710467,0.9786920093710462,-0.999316461445;-0.999316461445,-0.997179016665;-0.997179016665,0.002137444780486053,oscillatory,oscillatory,False,False
21,37,2,2,39;41,71;73,-14;14,14,0.1962656714035348,0.10237995301218523,0.47836036592621695,-2.3082549085468305e-18,-2.4813740266878428e-17,2.25054853583316e-17,0.9786920093710467,0.9786920093710462,0.999316461445;0.999316461445,0.997179016665;0.997179016665,0.002137444780486053,oscillatory,oscillatory,False,False
16,32,2,2,30;32,62;64,-16;16,-16,-0.28707354928345985,-0.19073093139281685,0.33560255945250167,-9.892521036629273e-19,5.6057619207565885e-18,6.595014024419516e-18,0.9675459705620217,0.9363084044032864,-0.999710355177;-0.999710355177,-0.999205530166;-0.999205530166,0.0005048250107799745,oscillatory,oscillatory,False,False
17,33,2,2,31;33,63;65,-16;16,16,0.28707354928345985,0.19073093139281685,0.33560255945250167,-9.892521036629273e-19,5.6057619207565885e-18,6.595014024419516e-18,0.9675459705620217,0.9363084044032864,0.999710355177;0.999710355177,0.999205530166;0.999205530166,0.0005048250107799745,oscillatory,oscillatory,False,False
18,34,2,2,34;36,66;68,-15;15,15,-0.24173679135564552,-0.14481664719665796,0.40093253333704465,1.5168532256164885e-17,-1.8466039268374644e-17,3.3634571524539527e-17,0.9703291129867961,0.9703291129867957,-0.999570101933;-0.999570101933,-0.998601883293;-0.998601883293,0.0009682186397361736,oscillatory,oscillatory,False,False
19,35,2,2,35;37,67;69,-15;15,-15,0.24173679135564552,0.14481664719665796,0.40093253333704465,1.5168532256164885e-17,-1.8466039268374644e-17,3.3634571524539527e-17,0.9703291129867961,0.9703291129867957,0.999570101933;0.999570101933,0.998601883293;0.998601883293,0.0009682186397361736,oscillatory,oscillatory,False,False
45,59,1,1,87,115,0,0,3.027687337222563e-10,-0.0,1.0,-2.5224379536197906e-18,4.2331977437810946e-10,4.233197769005474e-10,0.9999999999999982,0.9999999999999982,7.20749731624e-08,0,7.207497316237331e-08,oscillatory,real_dominant,False,False
44,63,1,1,86,123,0,0,-3.027687337222563e-10,-0.0,1.0,-2.5224379536197906e-18,-4.233197512860691e-10,4.2331974876363115e-10,0.999999999999998,0.999999999999998,-7.20749731624e-08,0,7.207497316237331e-08,oscillatory,real_dominant,False,False
24,50,2,2,46;48,98;108,-12,-12;12,-0.11019220132389328,-0.03006143105864333,0.7271909382200079,7.275124845687778e-18,-9.727645686018898e-18,1.7002770531706677e-17,0.9856932335450406,0.9856932335450397,-0.997668329042;-0.997668329042,-0.968547506983;-0.968547506983,0.029120822059007123,oscillatory,oscillatory,False,False
25,51,2,2,47;49,99;109,12,-12;12,0.11019220132389328,0.03006143105864333,0.7271909382200079,7.275124845687778e-18,-9.727645686018898e-18,1.7002770531706677e-17,0.9856932335450406,0.9856932335450397,0.997668329042;0.997668329042,0.968547506983;0.968547506983,0.029120822059007123,oscillatory,oscillatory,False,False
37,61,2,2,71;73,117;119,-3,-1;1,0.013252774412093368,0.015233654835295448,0.13003316962469838,9.480332660103053e-19,-6.187978002599873e-18,7.136011268610179e-18,0.9995833193145374,0.9995833193145373,-0.908426235001;-0.908426235001,-0.930933894879;-0.930933894879,0.022507659877659347,oscillatory,oscillatory,True,True
14,30,2,2,26;28,58;60,16,-16;16,-0.33093447170720663,-0.23941873187040616,0.2765373439783836,1.3190028048839032e-17,-1.0552022439071224e-17,2.3742050487910256e-17,0.9445368007579096,0.9445368007579087,-0.999793301451;-0.999793301451,-0.999505301286;-0.999505301286,0.00028800016460928113,oscillatory,oscillatory,False,False
15,31,2,2,27;29,59;61,-16,-16;16,0.33093447170720663,0.23941873187040616,0.2765373439783836,1.3190028048839032e-17,-1.0552022439071224e-17,2.3742050487910256e-17,0.9445368007579096,0.9445368007579087,0.999793301451;0.999793301451,0.999505301286;0.999505301286,0.00028800016460928113,oscillatory,oscillatory,False,False
12,28,2,2,20;22,54;56,-16;16,-16;16,-0.3720158073130678,-0.290114245738034,0.2201561330594482,-1.5828033658606837e-17,9.81008336132403e-18,2.5638117019930865e-17,0.9257686018816822,0.9257686018816806,-0.999844818867;-0.999844818867,-0.999670659749;-0.999670659749,0.00017415911846063725,oscillatory,oscillatory,False,False
13,29,2,2,21;23,55;57,-16;16,-16;16,0.3720158073130678,0.290114245738034,0.2201561330594482,-1.5828033658606837e-17,9.81008336132403e-18,2.5638117019930865e-17,0.9257686018816822,0.9257686018816806,0.999844818867;0.999844818867,0.999670659749;0.999670659749,0.00017415911846063725,oscillatory,oscillatory,False,False
6,26,2,2,10;24,50;52,-16;16,-16;16,-0.4090940364556038,-0.3420126405394478,0.1639754920344234,3.2975082701088562e-18,-2.638005609767806e-18,5.935513879876662e-18,0.9021043031610477,0.9021043031610461,-0.999877918017;-0.999877918017,-0.999769035333;-0.999769035333,0.0001088826834284573,oscillatory,oscillatory,False,False
7,27,2,2,11;25,51;53,-16;16,-16;16,0.4090940364556038,0.3420126405394478,0.1639754920344234,3.2975082701088562e-18,-2.638005609767806e-18,5.935513879876662e-18,0.9021043031610477,0.9021043031610461,0.999877918017;0.999877918017,0.999769035333;0.999769035333,0.0001088826834284573,oscillatory,oscillatory,False,False
42,46,2,2,82;84,90;92,-9;-7,-8;8,-0.006654019897356858,-0.047477491155209696,0.8598489571488929,-8.77961242000848e-18,-7.914016829303418e-18,8.655955907050613e-19,0.9383282014598107,0.9375670780628753,0.65692757118;0.65692757118,0.987949973239;0.987949973239,0.33102240205933364,oscillatory,oscillatory,False,False
43,47,2,2,83;85,91;93,7,-8;8,0.006654019897356858,0.047477491155209696,0.8598489571488929,-8.77961242000848e-18,-7.914016829303418e-18,8.655955907050613e-19,0.9383282014598107,0.9375670780628753,-0.65692757118;-0.65692757118,-0.987949973239;-0.987949973239,0.33102240205933364,oscillatory,oscillatory,False,False
