abs_rel_error,rel_error,ratio,G_value,k_density_ratio,n_v_over_c,p_pi,m_two,complexity,log_error
0.0017027320871616514,-0.0017027320871616514,0.9982972679128383,6.662935455230656e-11,0,15,-6,7,28,0.0017041833831214178
0.0021409061688644204,0.0021409061688644204,1.0021409061688644,6.688589050042851e-11,3,-16,1,-9,29,0.0021386176949423704
0.002977845289766301,-0.002977845289766301,0.9970221547102337,6.654424967182512e-11,3,-15,-5,9,32,0.002982287892833034
0.0034225658534452474,0.0034225658534452474,1.0034225658534452,6.697143231275649e-11,0,14,0,-11,25,0.003416722204653895
0.005715650295536001,-0.005715650295536001,0.994284349704464,6.636152035232503e-11,1,5,2,-5,13,0.005732047133598066
0.006185533333032511,0.006185533333032511,1.0061855333330325,6.715584105124658e-11,2,-6,-7,3,18,0.006166481445419092
0.007544980441303251,0.007544980441303251,1.0075449804413033,6.724657462959389e-11,3,-13,3,12,31,0.007516659441424325
0.008325479271289571,-0.008325479271289571,0.9916745207287104,6.618733253699631e-11,3,-18,-7,-12,40,0.008360329639315
0.0088335515133795,0.0088335515133795,1.0088335515133795,6.733257772865748e-11,0,17,2,10,29,0.008794763951135931
0.014012943153703716,0.014012943153703716,1.0140129431537037,6.767826586490764e-11,0,16,8,-8,32,0.01391566953891084
0.014770644283458312,-0.014770644283458312,0.9852293557165417,6.575716288858914e-11,2,-4,4,1,11,0.0148808164718499
0.016099981657583196,-0.016099981657583196,0.9839000183424168,6.566843892422792e-11,1,3,-6,-8,18,0.01623099446785539
0.01680507169571177,0.01680507169571177,1.0168050716957118,6.786462090018689e-11,2,-4,1,6,13,0.016665428779676143
0.02202538943819765,0.02202538943819765,1.0220253894381977,6.821304056727363e-11,2,-5,7,-12,26,0.021786334367451348
0.022494618043958026,-0.022494618043958026,0.977505381956042,6.52416417078921e-11,0,17,5,5,27,0.02275148130039019
0.023743174018427737,-0.023743174018427737,0.9762568259815723,6.515830933648808e-11,3,-13,6,7,29,0.024029585810101922
0.025060405055030155,-0.025060405055030155,0.9749395949449698,6.507039338541212e-11,2,-6,-4,-2,14,0.025379763806107198
0.026150270108316498,0.026150270108316498,1.0261502701083165,6.848834747783936e-11,1,5,-1,0,7,0.025814198117928195
0.031396805189319976,-0.031396805189319976,0.96860319481068,6.464748303124921e-11,1,8,7,11,27,0.031900250638642005
0.032703709434598105,-0.032703709434598105,0.9672962905654019,6.456025632120661e-11,0,15,-3,2,20,0.03325042863464747
0.03393922545830652,-0.03393922545830652,0.9660607745416935,6.447779427523624e-11,3,-15,-2,4,24,0.034528533144359295
0.034258622151131846,0.034258622151131846,1.0342586221511318,6.902952321823299e-11,3,-16,-2,-4,25,0.03368486294646842
0.03558135787749683,0.03558135787749683,1.0355813578774968,6.911780656881777e-11,0,14,-3,-6,23,0.034962967456180064
0.03659201106785648,-0.03659201106785648,0.9634079889321435,6.430073940529805e-11,1,5,5,-10,21,0.03727829238512412
0.036980521387314225,0.036980521387314225,1.0369805213873142,6.921119093895351e-11,1,7,7,3,18,0.03631314545218538
