knot_target,knot_source,orientation_deg,impact_parameter_R,separation_R,core_radius_R,gamma_proxy,velocity_rms_proxy,shape_velocity_rms_proxy,translation_fraction,rotation_fraction,shape_fraction,mode_capture_fraction,dominant_mode_id,dominant_mode_fraction,writhe_directional_response_per_Rrms,min_segment_distance_R,interpretation
knot_0.1_final,knot_0.1_final,0.0,0.0,3.5,0.075,1.0,0.009717296991177514,0.002039812398650621,0.6862896830628124,0.2696457504530979,0.04406456648408925,0.9999943910200295,kelvin_m02_N_cos,0.6979333212133745,-0.0005081651627348845,1.5000680553782488,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,0.0,0.0,3.5,0.075,1.0,0.0152186798300846,0.009004743845277604,0.6394391378272848,0.0104635590642232,0.350097303108491,0.25220090036751597,kelvin_m02_B_cos,0.08031932968871193,1.381603136019413,1.3710904317058015,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.1_final,knot_10.1_final,0.0,0.0,3.5,0.075,1.0,0.010724448625593377,0.00814401837759309,0.4059276446884467,0.017402109639688072,0.5766702456718654,0.34737904945913617,kelvin_m01_N_cos,0.06800398271304517,-0.4137649944357946,1.0610294902653894,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_3.1_final,knot_3.1_final,0.0,0.0,3.5,0.075,1.0,0.01511542587399075,0.008495976440005678,0.5803764524763817,0.1036972170504645,0.31592633047315405,0.5455110516077376,kelvin_m01_N_sin,0.15707263522206155,-0.011080372726013366,1.1434296160220483,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_4.1_final,knot_4.1_final,0.0,0.0,3.5,0.075,1.0,0.008793776362742886,0.006049882594084548,0.48964061021608696,0.03705224556799697,0.47330714421591613,0.41169373636632567,kelvin_m04_N_sin,0.0790947813285328,-0.003269367599423312,1.4441163190954456,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_5.1_final,knot_5.1_final,0.0,0.0,3.5,0.075,1.0,0.01877086803840838,0.010013197067248817,0.542826889894999,0.17261116953542888,0.2845619405695722,0.366965611010241,kelvin_m02_B_cos,0.08857301473872482,0.007849938139514734,1.0218593879029036,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_5.2_final,knot_5.2_final,0.0,0.0,3.5,0.075,1.0,0.006348349680175815,0.004880904473255247,0.39119661993481875,0.01767891404054854,0.5911244660246329,0.4166372463439584,kelvin_m03_B_cos,0.08653430114116918,-0.22848681647147373,1.6943701296067943,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_6.1_final,knot_6.1_final,0.0,0.0,3.5,0.075,1.0,0.0035108104494521674,0.0017473377388943917,0.6900217983729355,0.062270819723234214,0.24770738190382963,0.36732309619691234,kelvin_m04_N_cos,0.07072025883510993,0.20001985423068191,1.7831133244437696,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_6.2_final,knot_6.2_final,0.0,0.0,3.5,0.075,1.0,0.014526595660702456,0.008108962220042695,0.6878589713209531,0.0005371482589433644,0.3116038804201035,0.6260757251727741,kelvin_m02_N_sin,0.11774440896482964,1.4580597552971142,1.662327206206472,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_6.3_final,knot_6.3_final,0.0,0.0,3.5,0.075,1.0,0.013997924942368255,0.00782554375799552,0.6844746482212642,0.002988144234572703,0.31253720754416325,0.5055338410600196,kelvin_m01_N_sin,0.09130719486306967,0.9287688089684384,1.6243486252523813,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
