R_core,v_rms_norm,v2_mean_norm,v2_cv,phi_mean_norm,mu_amp_norm,I_poisson_norm,I_phi_norm,mu_poisson_norm,mu_phi_norm,poisson_cancellation,phi_cancellation,beltrami_misalignment_median,divergence_rms_norm,poisson_identity_rel_rms,clock_min,clock_mean,metric_det_error_max,clock_identity_error_max
217.2245746081123,5.313929628108989e-05,2.823784809249454e-09,0.6634485046696657,-1.411892404624727e-09,3.066977269870311e-07,3.176669376597781e-05,3.176509552911385e-05,2.5279131692709326e-06,2.527785985622367e-06,1.0,1.0,0.8987336307586726,1.4274922692083805e-21,1.4630035755844827e-16,0.9999999999979358,0.9999999999992579,2.220446049250313e-16,0.0
266.98355284873105,2.2879396654244717e-05,5.234667912622644e-10,0.6227006226136996,-2.617333956311322e-10,6.987851186476222e-08,7.120030376727026e-06,7.119818257985501e-06,5.66594014710278e-07,5.665771348371599e-07,1.0,1.0,0.9228107662634693,6.872728627796509e-22,1.3596907989895164e-16,0.9999999999996563,0.9999999999998624,2.220446049250313e-16,0.0
328.14067018119584,9.969874149262735e-06,9.939839055213732e-11,0.6020949765891157,-4.969919527606866e-11,1.6308327245355294e-08,1.6404239939074388e-06,1.6403938173265004e-06,1.3054079369845905e-07,1.3053839232244807e-07,1.0,1.0,0.9455073097107456,3.002350196620971e-22,1.614182434156206e-16,0.999999999999935,0.9999999999999739,2.220446049250313e-16,0.0
403.30686395492,4.388604123661904e-06,1.9259846154222272e-11,0.5969064009686285,-9.629923077111136e-12,3.8838140763568054e-09,3.860062410685829e-07,3.8600174636244246e-07,3.0717400665193375e-08,3.071704298784338e-08,1.0,1.0,0.9660236918083919,1.5530211091142031e-22,1.3336905189515336e-16,0.9999999999999873,0.999999999999995,2.220446049250313e-16,0.0
495.69115106437494,1.9513777276005847e-06,3.807875035775622e-12,0.6036160376581832,-1.903937517887811e-12,9.437649797964578e-10,9.258636978258512e-08,9.258567701525639e-08,7.3677892069162565e-09,7.367734078243867e-09,1.0,1.0,0.9675954492355778,7.831842559240299e-23,1.4626056220182895e-16,0.9999999999999973,0.9999999999999991,2.220446049250313e-16,0.0
609.237628226901,8.776138298351084e-07,7.702060343178465e-13,0.6187198738588585,-3.8510301715892326e-13,2.34619248796926e-10,2.2662278655187466e-08,2.2662168687165413e-08,1.8034068348495178e-09,1.803398083872372e-09,1.0,1.0,0.9662899317454832,4.097543893966014e-23,1.5012442706990932e-16,0.9999999999999994,0.9999999999999997,2.220446049250313e-16,0.0
748.7938545010179,4.0013215847874854e-07,1.6010574424886236e-13,0.6378556029920637,-8.005287212443118e-14,5.994309868192991e-11,5.680187794213043e-09,5.680169820050257e-09,4.520149825696277e-10,4.5201355223120004e-10,1.0,1.0,0.9649238141475103,2.245459222317909e-23,1.4712446794184858e-16,0.9999999999999999,1.0,2.220446049250313e-16,0.0
920.317804680427,1.8546384232842957e-07,3.439683681122459e-14,0.6555508804205075,-1.7198418405612294e-14,1.5828010671028555e-11,1.4653240631577055e-09,1.4653210296044667e-09,1.1660678394152474e-10,1.166065425390282e-10,1.0,1.0,0.9583848422964066,1.1191658295463928e-23,1.315769537223815e-16,1.0,1.0,0.0,0.0
1131.1322288778872,8.762755298910636e-08,7.678588042858645e-15,0.6659978653798889,-3.839294021429322e-15,4.342749203776896e-12,3.9130484669212213e-10,3.91304315696453e-10,3.113905030343376e-11,3.113900804814101e-11,1.0,1.0,0.9468524169284553,6.203485182869767e-24,1.4252298130660302e-16,1.0,1.0,0.0,0.0
1390.2372774919188,4.2280763843296374e-08,1.7876629911725978e-15,0.664783021196933,-8.938314955862989e-16,1.2426378649604261e-12,1.0871914949304066e-10,1.0871905266839205e-10,8.651595025282075e-12,8.651587320221355e-12,1.0,1.0,0.9328884584168415,3.2891460973378557e-24,1.2355396128311198e-16,1.0,1.0,0.0,0.0
