R_core,v_rms_norm,v2_mean_norm,v2_cv,phi_mean_norm,mu_amp_norm,I_poisson_norm,I_phi_norm,mu_poisson_norm,mu_phi_norm,poisson_cancellation,phi_cancellation,beltrami_misalignment_median,divergence_rms_norm,poisson_identity_rel_rms,clock_min,clock_mean,metric_det_error_max,clock_identity_error_max
16.334708962138627,0.0006930622575699221,4.803352928679171e-07,0.5650318053085099,-2.4016764643395853e-07,3.923068606620523e-06,0.0003686164624381224,0.0003656632721972876,2.9333566051037574e-05,2.9098558638677775e-05,1.0,1.0,0.89738392108909,2.186356305471153e-19,1.4578177080455423e-16,0.9999999996548123,0.9999999998737751,2.220446049250313e-16,0.0
20.076451484964316,0.0003293940559744493,1.0850044411129863e-07,0.4960151601183598,-5.4250222055649314e-08,1.0891519511487845e-06,9.658794792805205e-05,9.612274954486339e-05,7.686224677926038e-06,7.649205366824621e-06,1.0,1.0,0.9128737451856473,9.802735811593707e-20,1.4581952660256135e-16,0.9999999999305451,0.9999999999714877,3.3306690738754696e-16,0.0
24.675303683853,0.00016231680618589367,2.634674557038897e-08,0.44154721850931383,-1.3173372785194486e-08,3.250569740152783e-07,2.7517136508556477e-05,2.7434294583275672e-05,2.189744147535611e-06,2.183151796583766e-06,1.0,1.0,0.9275624306284078,5.152949956043472e-20,1.3983987229825173e-16,0.9999999999847771,0.9999999999930763,2.220446049250313e-16,0.0
30.32760108759089,8.220295560418409e-05,6.757325910063461e-09,0.41104768240714806,-3.3786629550317307e-09,1.0246674230962336e-07,8.373832012257e-06,8.35771502907704e-06,6.663683786859272e-07,6.650858299155173e-07,1.0,1.0,0.9459330196338565,2.823942195608336e-20,1.3860488751725853e-16,0.9999999999964184,0.9999999999982242,2.220446049250313e-16,0.0
37.27465321247163,4.245796391835549e-05,1.8026787000923767e-09,0.40222709114074107,-9.013393500461883e-10,3.359711169972624e-08,2.67653642577522e-06,2.6731990538376253e-06,2.1299200126382004e-07,2.1272642164341786e-07,1.0,1.0,0.9581854480127092,1.3722372362770602e-20,1.3965101403157705e-16,0.9999999999990786,0.9999999999995263,2.220446049250313e-16,0.0
45.81304561799055,2.2232194387876018e-05,4.942704673003059e-10,0.40596972219895083,-2.4713523365015297e-10,1.132201773302721e-08,8.860136623082763e-07,8.85292208869578e-07,7.050672700165775e-08,7.044931556116801e-08,1.0,1.0,0.968381819457517,6.981837417583208e-21,1.3846960380332205e-16,0.9999999999997529,0.99999999999987,3.3306690738754696e-16,0.0
56.307301823369855,1.1750735563653433e-05,1.3807978628690956e-10,0.41426621714690637,-6.903989314345478e-11,3.887450101081711e-09,3.0051171188066486e-07,3.0035113018123856e-07,2.3913962201407633e-08,2.3901183515790736e-08,1.0,1.0,0.9757191097235756,3.8337468793573e-21,1.4714405503135593e-16,0.9999999999999313,0.9999999999999636,2.220446049250313e-16,0.0
69.2054456511188,6.2500484084747236e-06,3.906310510827742e-11,0.4227699985311173,-1.953155255413871e-11,1.351689798767417e-09,1.0362664834943481e-07,1.035901973942008e-07,8.246346660429074e-09,8.243445985576117e-09,1.0,1.0,0.9828010195594321,2.227515300508447e-21,1.3221141796532592e-16,0.9999999999999802,0.9999999999999897,2.220446049250313e-16,0.0
85.05812838970313,3.338351828090777e-06,1.1144592928117035e-11,0.42983971191044723,-5.572296464058518e-12,4.739691080653781e-10,3.6134776958103584e-08,3.612639361925821e-08,2.8755141852026535e-09,2.8748470602942256e-09,1.0,1.0,0.9874533229932233,1.054293640041866e-21,1.566798125282769e-16,0.9999999999999943,0.999999999999997,3.3306690738754696e-16,0.0
104.54213735768721,1.7881356366847958e-06,3.19742905518214e-12,0.43518174157405565,-1.59871452759107e-12,1.6713303373915565e-10,1.26946704904021e-08,1.2692725505393102e-08,1.0102097797351548e-09,1.010055002745944e-09,1.0,1.0,0.9899436477672983,6.143356240358046e-22,1.3182601935585185e-16,0.9999999999999983,0.9999999999999992,3.3306690738754696e-16,0.0
