R_core,v_rms_norm,v2_mean_norm,v2_cv,phi_mean_norm,mu_amp_norm,I_poisson_norm,I_phi_norm,mu_poisson_norm,mu_phi_norm,poisson_cancellation,phi_cancellation,beltrami_misalignment_median,divergence_rms_norm,poisson_identity_rel_rms,clock_min,clock_mean,metric_det_error_max,clock_identity_error_max
20.030555450998047,0.0005024347737708713,2.524407018941867e-07,1.1256265334088107,-1.2622035094709335e-07,2.5282637386901874e-06,0.00023130389725832808,0.0002299222428712495,1.8406579302541405e-05,1.8296630739867327e-05,0.9993612706758959,0.999358573472475,0.9279017871118788,1.4973649277967292e-19,1.3944287819002778e-16,0.9999999996868439,0.9999999999336623,2.220446049250313e-16,0.0
24.618894383790675,0.00024671163337353796,6.086663004183901e-08,0.9639125961776415,-3.0433315020919507e-08,7.492345682486476e-07,6.249067983050871e-05,6.227314752069595e-05,4.972850296099233e-06,4.955539624904784e-06,0.999768014354608,0.9997619265908351,0.949657906975636,7.344323537744698e-20,1.5356671706444559e-16,0.9999999999382233,0.9999999999840051,3.3306690738754696e-16,0.0
30.258270279271798,0.0001271212351037645,1.6159808414306567e-08,0.8117215782194502,-8.079904207153284e-09,2.4448392533066935e-07,1.9346917609646003e-05,1.9305897557419456e-05,1.5395787855833987e-06,1.5363145135445274e-06,1.0,1.0,0.9690796933476107,3.94184384916379e-20,1.55381878593973e-16,0.9999999999863498,0.9999999999957535,3.3306690738754696e-16,0.0
37.189441004965644,6.71019870057068e-05,4.502676660114043e-09,0.6937444747457714,-2.2513383300570217e-09,8.372601400787348e-08,6.455280381673054e-06,6.446694206614261e-06,5.136948908937016e-07,5.13011624792272e-07,1.0,1.0,0.9803854637225138,1.770110952315564e-20,1.467673971497493e-16,0.999999999996692,0.9999999999988168,3.3306690738754696e-16,0.0
45.70831410707806,3.581814761789004e-05,1.2829396987769618e-09,0.6107217296555699,-6.414698493884809e-10,2.932050536606874e-08,2.233455385048448e-06,2.231555581434185e-06,1.7773273235283647e-07,1.7758155078477956e-07,1.0,1.0,0.9894310734957479,9.515485062804321e-21,1.4272513769666415e-16,0.9999999999991495,0.9999999999996628,3.3306690738754696e-16,0.0
56.17857978108217,1.921496983137475e-05,3.692150656206418e-10,0.5548482703178674,-1.846075328103209e-10,1.0370989010173358e-08,7.856721380318431e-07,7.852394735297273e-07,6.252180220867287e-08,6.24873718615668e-08,1.0,1.0,0.9948976189864063,4.830926035433442e-21,1.4613535898622826e-16,0.9999999999997731,0.9999999999999029,2.220446049250313e-16,0.0
69.04723763877989,1.033085636840911e-05,1.067265933046991e-10,0.5179421015255286,-5.336329665234955e-11,3.6845882251434867e-09,2.784364070685702e-07,2.783363577162882e-07,2.215726526085505e-08,2.2149303586370634e-08,1.0,1.0,0.9981061009774246,2.513618910399937e-21,1.408276526900183e-16,0.9999999999999378,0.9999999999999719,2.220446049250313e-16,0.0
84.86368014507158,5.5597889028379615e-06,3.0911252644120146e-11,0.49371635092464033,-1.5455626322060073e-11,1.3116213286370551e-09,9.900250285654229e-08,9.897917395543885e-08,7.878368854044098e-09,7.87651239908034e-09,1.0,1.0,0.9990076532768948,1.3316926986775792e-21,1.5080994089580383e-16,0.9999999999999826,0.999999999999992,2.220446049250313e-16,0.0
104.30314744003827,2.9934363841215787e-06,8.960661385782872e-12,0.47782594434228964,-4.480330692891436e-12,4.673125928407843e-10,3.5254139331574337e-08,3.524867384624974e-08,2.8054352695352316e-09,2.8050003400323283e-09,1.0,1.0,0.9974493717773398,6.931061913755657e-22,1.2254446666548606e-16,0.999999999999995,0.9999999999999977,2.220446049250313e-16,0.0
128.1955548863875,1.6120086081728276e-06,2.598571752823297e-12,0.4673890718155369,-1.2992858764116486e-12,1.6656267388263757e-10,1.2562219497043541e-08,1.2560935470767975e-08,9.996696645799314e-10,9.995674850155232e-10,1.0,1.0,0.9943981468791794,3.832740715892859e-22,1.4147505592913646e-16,0.9999999999999986,0.9999999999999994,2.220446049250313e-16,0.0
