pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-0.75,0.05,1,1,False,9.796211554607037e-05,-0.044516986623023204,0.044516986623023204,141.14129872236367,-0.004464713317174737,nan,nan,nan,1.3167214819603816,0.03380896205683888,nan
P00001,TORUS_T2_3,gaussian,-0.75,0.05,1,2,True,0.01933195289062926,-1.4663540989029002,1.4663540989029002,4.284903156666287,-0.6751915487295415,379.3208510508117,384.51754671020785,-1.9295685253270347,1.3167214819603816,1.1136402944681516,0.002689724197405986
P00002,TORUS_T2_3,gaussian,-0.75,0.05,2,1,False,-1.041567565692794e-18,-2.1106348104759824,2.1106348104759824,2.9769173122671213,0.10068269137822958,2543.776188146122,3390.8536587987805,-2.502730756406032,1.3167214819603816,1.6029470464274604,nan
P00003,TORUS_T2_3,gaussian,-0.75,0.05,2,2,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3167214819603816,nan,nan
P00004,TORUS_T2_3,gaussian,0.75,0.05,1,1,False,0.0003018601052243797,-0.04572787758763525,0.04572787758763525,137.4038253828459,-0.0010493473542545083,244070.02299858796,186127.7995387232,0.12857109948168943,1.3167214819603816,0.03472858779485694,nan
P00005,TORUS_T2_3,gaussian,0.75,0.05,1,2,True,0.0011197545522896072,-0.055406637588070205,0.055406637588070205,113.40131039701353,-0.0005302355705700749,483019.7125610563,449208.33268178237,2.491619010905318,1.3167214819603816,0.042079238735878176,0.0006510628861850418
P00006,TORUS_T2_3,gaussian,0.75,0.05,2,1,True,1.4836374138843202e-16,-2.129703306649762,2.129703306649762,2.950263206880056,0.056590526492229995,4525.743949768171,2862.0804738333914,-0.8821457552708165,1.3167214819603816,1.6174288456803974,0.0
P00007,TORUS_T2_3,gaussian,0.75,0.05,2,2,True,1.7654847863528723e-16,-2.625539282569526,2.625539282569526,2.393102761361257,0.30597194533790073,837.0513597368052,729.1554394667311,2.043983971531798,1.3167214819603816,1.9939974539342442,0.0
P00008,TWIST_5_2,gaussian,-0.75,0.05,1,1,False,0.0,-0.9656872478062701,0.9656872478062701,6.506439141091441,-0.010929278883492023,nan,nan,nan,1.3167214819603816,0.7334028198343971,nan
P00009,TWIST_5_2,gaussian,-0.75,0.05,1,2,True,0.016503054523065126,-1.5105283900913777,1.5105283900913777,4.1595943170584775,-0.6747279759868595,473.04645811422176,479.52719459038656,2.6327720811407347,1.3167214819603816,1.1471889923466954,0.13471332463039284
P00010,TWIST_5_2,gaussian,-0.75,0.05,2,1,False,5.003557629160989e-18,-2.1097693407119755,2.1097693407119755,2.978138503548082,0.17785362728455603,1794.6087696063394,1557.7204120183028,-1.5527518551743769,1.3167214819603816,1.602289754983625,nan
P00011,TWIST_5_2,gaussian,-0.75,0.05,2,2,False,-5.711645208087632e-17,-2.071576236422315,2.071576236422315,3.0330456570745707,nan,nan,nan,nan,1.3167214819603816,1.573283541587002,nan
P00012,TWIST_5_2,gaussian,0.75,0.05,1,1,False,0.00019897323383404148,-0.045733115812138875,0.045733115812138875,137.3880872886393,-0.013740676558807837,23228.672756041782,12889.590512327586,2.928533633027543,1.3167214819603816,0.03473256602759286,nan
P00013,TWIST_5_2,gaussian,0.75,0.05,1,2,True,0.000812672808870631,-0.05099047250664232,0.05099047250664232,123.2227315869862,-0.0005489439531300298,581439.466472376,369504.780943195,0.09000751063496155,1.3167214819603816,0.038725328936477815,0.024474325383658197
P00014,TWIST_5_2,gaussian,0.75,0.05,2,1,False,1.0972091884564488e-16,-2.7130232450142096,2.7130232450142096,2.315934933003745,0.04417382610982028,7225.493178645108,4031.82519368397,2.7619703731026286,1.3167214819603816,2.0604382036624513,nan
P00015,TWIST_5_2,gaussian,0.75,0.05,2,2,True,2.760383551058925e-16,-2.7142818778571667,2.7142818778571667,2.3148610166236483,0.10193074985725092,3131.3188579320217,4533.2103106281875,-1.976786548561279,1.3167214819603816,2.0613940875454144,0.0
