knot,mode_id,family,m,phase,polarization,roughness_lambda_per_R2,retained_norm_fraction,omega_rad_s,gap_eV,status
knot_0.1_final,kelvin_m01_N_cos,kelvin,1,cos,N,52.63894490036558,5.2625802397663496e-05,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_B_cos,kelvin,1,cos,B,4.00002047802481,0.3536340832682846,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_N_sin,kelvin,1,sin,N,83.13319169737257,4.938222301396451e-05,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_B_sin,kelvin,1,sin,B,4.000020802043947,0.353473031196916,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_N_cos,kelvin,2,cos,N,23.84142948393371,0.908035344189961,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_B_cos,kelvin,2,cos,B,4.99903510413068,0.999999981254929,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_N_sin,kelvin,2,sin,N,10.185825378868499,0.9615167240199913,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_B_sin,kelvin,2,sin,B,4.998562697135661,0.9999999660428623,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_N_cos,kelvin,3,cos,N,44.299847993762995,0.6979352542015442,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_B_cos,kelvin,3,cos,B,9.994414293205491,0.9999999893272933,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_N_sin,kelvin,3,sin,N,19.392429055776304,0.9383424451301113,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_B_sin,kelvin,3,sin,B,9.996603626052293,0.9999999171948605,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m04_N_cos,kelvin,4,cos,N,128.48968273623186,0.6963768127841491,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
