knot,parent,file,component,closed,input_points,resampled_points,length_units,rms_radius_units,bbox_x,bbox_y,bbox_z,segment_mean,segment_cv,curvature_mean,curvature_max,writhe_midpoint,note
knot_0.1_final,knot_0.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_0.1_final.txt,1,True,300,300,3.1550275628753077,0.5021473702116563,1.004261771769713,1.0044121715056495,0.0,0.010516758542917693,9.567765661370533e-06,1.9914470041751406,2.0445388026876543,0.0,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_10.123_final,knot_10.123_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.123_final.txt,1,True,300,300,46.17833815264207,1.8114811027800324,4.095823632127965,4.027097086211937,2.784031507484783,0.15392779384214023,0.0013706205532619006,1.00869959373399,1.4465833177483867,-0.007913610301210888,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_10.1_final,knot_10.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.1_final.txt,1,True,300,300,43.877518602809886,2.004683138710367,5.305807135219709,4.9476858787545455,2.379550655778611,0.14625839534269963,0.0007229786376407996,1.0332111954598053,1.6767912319277447,3.6076425642366643,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_3.1_final,knot_3.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_3.1_final.txt,1,True,300,300,16.37634318283836,1.2394896462131837,2.966478390625743,2.7831411078280373,1.069546896269475,0.054587810609461204,8.242686392630852e-05,1.0570901338657215,1.6955623251815815,3.413305876310489,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_4.1_final,knot_4.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_4.1_final.txt,1,True,300,300,22.42624681303549,1.4633209159751797,3.0861597953496163,3.7385579229968653,1.511740951556905,0.07475415604345163,0.0005365342797458819,0.9826474445765532,1.932056130798198,0.22494564858810015,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_5.1_final,knot_5.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.1_final.txt,1,True,300,300,23.676233551947092,1.4908674512809565,3.7112522359606457,3.381939625819883,1.7535665779971488,0.0789207785064903,0.00038597790440614207,1.07390540120053,1.6107017380136028,6.283541914315297,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_5.2_final,knot_5.2_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.2_final.txt,1,True,300,300,25.979200834084335,1.5884822628562363,3.073982637116937,4.116825075190002,1.6818389211988434,0.08659733611361445,0.0004667106348802193,0.9937799857324632,1.99522350626371,4.801996393756518,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.1_final,knot_6.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.1_final.txt,1,True,300,300,29.582629499001495,1.701195313954674,3.2142485429166765,4.793535586344557,1.95316984292838,0.09860876499667165,0.0006130559855366065,1.0046108381273748,2.009060723222112,1.3616645514977457,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.2_final,knot_6.2_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.2_final.txt,1,True,300,300,28.529111546063763,1.509447356276281,2.853067012431625,3.8875837640859374,3.1299596954925413,0.09509703848687921,0.00028963880060680323,1.0201809308041299,1.557392016879433,2.782598277274068,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.3_final,knot_6.3_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,1,True,300,300,28.915087393889248,1.5000543788805933,2.980917456817541,3.710783125601681,3.001060303095077,0.09638362464629749,0.0005203104808846391,0.9767793748842919,1.6178189474173497,0.0009286670619293726,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
