pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00049,52ca020c4485d789,dd47d8b0670d7526,geometry/52ca020c4485d789.npz,geometry/dd47d8b0670d7526.npz
P00050,0b1fdf2403512461,51ca4d7194930805,geometry/0b1fdf2403512461.npz,geometry/51ca4d7194930805.npz
P00051,ccf05506bda3ab31,b3fe6758817f9a35,geometry/ccf05506bda3ab31.npz,geometry/b3fe6758817f9a35.npz
P00052,ee8a08d6ebe46faf,0a5ce1fa5cc43c2b,geometry/ee8a08d6ebe46faf.npz,geometry/0a5ce1fa5cc43c2b.npz
P00053,562a1b5a68c2ed79,b2e530d4510bc189,geometry/562a1b5a68c2ed79.npz,geometry/b2e530d4510bc189.npz
P00054,f2f111495ca3d92b,4f5c20d898837b30,geometry/f2f111495ca3d92b.npz,geometry/4f5c20d898837b30.npz
P00055,6bad75b59439a7c3,0d9b297d39d1451d,geometry/6bad75b59439a7c3.npz,geometry/0d9b297d39d1451d.npz
P00056,49493b288897c554,32ef1055ca1a56e7,geometry/49493b288897c554.npz,geometry/32ef1055ca1a56e7.npz
P00057,ac0504b1d45d9fa3,b90a8aa0cc8e6ced,geometry/ac0504b1d45d9fa3.npz,geometry/b90a8aa0cc8e6ced.npz
P00058,2b2a48098514aedf,15348955f9e9c6d0,geometry/2b2a48098514aedf.npz,geometry/15348955f9e9c6d0.npz
P00059,016a98fa5025c6b8,8fa260c560474050,geometry/016a98fa5025c6b8.npz,geometry/8fa260c560474050.npz
P00060,eda38ef8646a1fd8,bfd453f72485a8b4,geometry/eda38ef8646a1fd8.npz,geometry/bfd453f72485a8b4.npz
P00061,d7a20f29bb3ffd8b,23834a0eba41c242,geometry/d7a20f29bb3ffd8b.npz,geometry/23834a0eba41c242.npz
P00062,efef9b79947b6eb2,4fd8f958823fdb52,geometry/efef9b79947b6eb2.npz,geometry/4fd8f958823fdb52.npz
P00063,11dcf22193c266b2,fa3afe6832c79404,geometry/11dcf22193c266b2.npz,geometry/fa3afe6832c79404.npz
