knot,parent,file,component,closed,input_points,resampled_points,length_units,rms_radius_units,bbox_x,bbox_y,bbox_z,segment_mean,segment_cv,curvature_mean,curvature_max,writhe_midpoint,note
circle,circle,examples\synthetic_knots\circle.vect,1,True,96,300,6.281357603152774,0.9996436613382826,2.0,2.0,0.0,0.020937858677175913,0.00019046309257636512,1.0002766663735856,1.5635462176758779,0.0,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
trefoil_T2_3,trefoil_T2_3,examples\synthetic_knots\trefoil_T2_3.vect,1,True,96,300,28.489427754155813,2.2021682431580145,4.904021998438868,5.118470301315366,1.3974568586609744,0.09496475918051937,0.001200900351634511,0.5190488787125441,1.021179302912853,-3.2548677529038925,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
