knot,mode_id,family,m,phase,polarization,roughness_lambda_per_R2,retained_norm_fraction,omega_rad_s,gap_eV,status
circle,kelvin_m01_N_cos,kelvin,1,cos,N,5.222758045406819,0.3536114568528898,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m01_B_cos,kelvin,1,cos,B,6464.1734434600185,0.00016099422590447462,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m01_N_sin,kelvin,1,sin,N,5.2227580454068345,0.35361145685288964,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m01_B_sin,kelvin,1,sin,B,6464.173443459927,0.00016099422590447668,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m02_N_cos,kelvin,2,cos,N,5.303774752126487,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m02_B_cos,kelvin,2,cos,B,3.998891505874249,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m02_N_sin,kelvin,2,sin,N,5.303774752126483,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m02_B_sin,kelvin,2,sin,B,3.998891505874249,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m03_N_cos,kelvin,3,cos,N,10.299313187976534,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m03_B_cos,kelvin,3,cos,B,8.995861482134597,1.0000000000000002,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m03_N_sin,kelvin,3,sin,N,10.299313187976535,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m03_B_sin,kelvin,3,sin,B,8.995861482134597,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m04_N_cos,kelvin,4,cos,N,17.28999903739722,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m04_B_cos,kelvin,4,cos,B,15.98855060896323,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m04_N_sin,kelvin,4,sin,N,17.289999037397187,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m04_B_sin,kelvin,4,sin,B,15.988550608963228,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m05_N_cos,kelvin,5,cos,N,26.272765954530616,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m05_B_cos,kelvin,5,cos,B,24.97389166179859,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m05_N_sin,kelvin,5,sin,N,26.272765954530605,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m05_B_sin,kelvin,5,sin,B,24.97389166179858,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m06_N_cos,kelvin,6,cos,N,37.33641326060767,0.9999999999999999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m06_B_cos,kelvin,6,cos,B,35.94794337308658,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m06_N_sin,kelvin,6,sin,N,37.15093434123969,1.0,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
circle,kelvin_m06_B_sin,kelvin,6,sin,B,35.94794337308658,1.0000000000000002,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m01_N_cos,kelvin,1,cos,N,2.062841811496992,0.9934749527490473,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m01_B_cos,kelvin,1,cos,B,0.7122922343056459,0.9337144532718635,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m01_N_sin,kelvin,1,sin,N,2.0701822256253304,0.9927356088130056,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m01_B_sin,kelvin,1,sin,B,0.7122607621866083,0.9272877692511806,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m02_N_cos,kelvin,2,cos,N,5.315697371067702,0.393154919342189,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m02_B_cos,kelvin,2,cos,B,7.802761674612242,0.17751759388766308,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m02_N_sin,kelvin,2,sin,N,7.460860192568536,0.3543858922403259,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m02_B_sin,kelvin,2,sin,B,10.034034537088207,0.16485166830737047,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m03_N_cos,kelvin,3,cos,N,3.593422590663464,0.9983151102366081,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m03_B_cos,kelvin,3,cos,B,2.6076358208278982,0.8964381434865325,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m03_N_sin,kelvin,3,sin,N,4.745697214716232,0.8362776732184936,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m03_B_sin,kelvin,3,sin,B,2.343740186509649,0.9997472644981764,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m04_N_cos,kelvin,4,cos,N,6.3867605988938605,0.9061597266756616,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m04_B_cos,kelvin,4,cos,B,5.5551828964875165,0.8671766486168279,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m04_N_sin,kelvin,4,sin,N,6.574660073115507,0.8885735047449533,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m04_B_sin,kelvin,4,sin,B,5.842370200748568,0.8478757409094885,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m05_N_cos,kelvin,5,cos,N,9.262579453415336,0.8352289325616585,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m05_B_cos,kelvin,5,cos,B,9.842416976526726,0.7553988908900753,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m05_N_sin,kelvin,5,sin,N,12.962866055257658,0.7109510714444771,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m05_B_sin,kelvin,5,sin,B,14.05673690445275,0.6352496758227256,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m06_N_cos,kelvin,6,cos,N,10.247822026963528,0.9998106377901298,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m06_B_cos,kelvin,6,cos,B,8.676831157340596,0.992909038645599,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m06_N_sin,kelvin,6,sin,N,10.226696561839073,0.9924969285896411,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
trefoil_T2_3,kelvin_m06_B_sin,kelvin,6,sin,B,8.813955787542541,0.999774076451035,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
