axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid
-0.75,d5f7d73ad6d9b039,907ebccc4dfd6149,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.03,torus,1,1,P00000,gaussian,OFFSET_CONTROL,0.0,0.0,0.0,2.3210370469634873,0.058374999999999955,0.9807227342637239,False,True
-0.75,c9abed792de2cd85,6f7362c5158410cf,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.03,torus,1,2,P00001,gaussian,CLOSED,0.008832776315173633,0.01632940949436153,0.5409121694341458,2.0914989351142244,0.3257499999999999,0.2172451296645484,True,True
-0.75,b7881f9854a4c86c,920bfe0bfb7dcb2e,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,1,P00002,gaussian,CLOSED,0.0,0.0,0.0,-0.9309958750727791,0.15912499999999996,0.9937201119758472,True,False
-0.75,d67c0af6021ef847,49a0e6da444097cc,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00003,gaussian,OFFSET_CONTROL,0.022066057887597922,0.018335842724998698,1.203438435775495,-2.2304822988307795,0.0002500000000000835,0.27150430933619596,True,True
-0.75,26e9711eea40bb6b,bd733076c5f35efb,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.07,torus,1,1,P00004,gaussian,CLOSED,0.010276978237427504,1.2464693009762963e-15,10276978237.427504,-0.22172945778648595,0.23662499999999997,0.207053610071869,True,False
-0.75,6ff659f5f6303879,1f60c414b7a9be78,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.07,torus,1,2,P00005,gaussian,CLOSED,0.02833979862071327,0.03194379899790336,0.887176839003193,2.440899370496895,0.019124999999999837,0.3491975231512639,True,True
0.75,311290e275f717fa,9c939e3b2db3c496,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.03,torus,1,1,P00006,gaussian,INDETERMINATE,0.0,0.00021479953904922095,0.0,0.5438666206676802,0.27925,0.9848103443738603,False,False
0.75,7e4f5b4573afa3af,f7f291223a41103c,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.03,torus,1,2,P00007,gaussian,CLOSED,0.000462025865405671,0.0006534735896022644,0.7070306631472012,-3.123647119268949,0.03512499999999996,0.22737461585294896,True,True
0.75,674cc9e0d44d135c,9d0e37725cc9eefc,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,gaussian,INDETERMINATE,0.00028863160906737474,0.0,288631609.06737477,2.4532654151984943,0.32962500000000006,0.22919263689100117,False,False
0.75,78f061e783666de5,0a3161346c5282ca,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00009,gaussian,CLOSED,0.001107058994659179,0.0014853677318964486,0.7453097107783118,0.17315792021061452,0.3175000000000001,0.24676163731353315,True,True
0.75,7b497341413ecb36,4a1ff0199ee46633,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.07,torus,1,1,P00010,gaussian,CLOSED,0.00048631451826593197,7.585499309049304e-05,6.411107541540098,1.1666463678444388,0.15862500000000002,0.2282569533583376,True,False
0.75,2bcfdcd79b275cfa,069abcd79615417c,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.07,torus,1,2,P00011,gaussian,CLOSED,0.0018115789810189422,0.0024021915299664892,0.7541359456230428,0.3680799519162606,0.321875,0.2639321491052189,True,True
-0.75,d955b1d11de7ae3d,09264fc3eb065b47,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.03,torus,1,1,P00012,compact_poly,INDETERMINATE,0.00213175361109113,0.002150983033168912,0.9910601702657541,-0.4570529555855069,0.18237500000000006,0.2649812726802928,False,False
-0.75,e7fd19040aa72d03,3e15e4258c3701bf,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.03,torus,1,2,P00013,compact_poly,INDETERMINATE,0.010240302207905243,0.0020486794893200193,4.998489154252293,2.9107638067737924,0.027374999999999927,0.21706959321078806,False,False
-0.75,c57e464f912f8678,d23ab9f0bf0507d1,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00014,compact_poly,INDETERMINATE,0.002063783128647011,0.0021370567693409117,0.9657128244110712,-1.4991685162376507,0.28312499999999996,0.2612528009775795,False,False
