lambda_,epsilon,R,v0,Xi_filament,Xi_cavitation,Xi_renormalization,Xi_total,Xi_mass,chi_K,chi_cavitation,chi_renormalization,chi_E_hollow_total,chi_E,E_loop,target_residual,mass_mode,kernel,quadrature_n,target_chi_E,target_xi_E,status
1.0,1.0,1.0,0.15915494309189535,0.19658757418600004,0.25,0.0,0.44658757418600004,0.44658757418600004,7.760966349542507,9.869604401089358,0.0,17.630570750631865,17.630570750631865,0.44658757418600004,1.805992484494449,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.21875,1.0,1.21875,0.15915494309189535,0.3138541789137785,0.3046875,0.0,0.6185416789137785,0.6185416789137785,12.390466342030859,12.028580363827656,0.0,24.419046705858516,24.419046705858516,0.6185416789137785,2.8864119888292468,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.4375,1.0,1.4375,0.15915494309189535,0.45221108038831304,0.359375,0.0,0.811586080388313,0.811586080388313,17.85257787688747,14.187556326565952,0.0,32.04013420345343,32.04013420345343,0.811586080388313,4.0993457358073195,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.65625,1.0,1.65625,0.15915494309189535,0.6086330104881112,0.4140625,0.0,1.0226955104881112,1.0226955104881112,24.027868155846914,16.34653228930425,0.0,40.37440044515116,40.37440044515116,1.0226955104881112,5.425785405217427,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
1.875,1.0,1.875,0.15915494309189535,0.7807394968387762,0.46875,0.0,1.2494894968387762,1.2494894968387762,30.822359896417105,18.505508252042546,0.0,49.32786814845965,49.32786814845965,1.2494894968387762,6.850774048012613,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
2.09375,1.0,2.09375,0.15915494309189535,0.9666497910272964,0.5234375,0.0,1.4900872910272964,1.4900872910272964,38.16180412734045,20.664484214780842,0.0,58.826288342121295,58.826288342121295,1.4900872910272964,8.362494573397742,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
2.3125,1.0,2.3125,0.15915494309189535,1.1648580788307652,0.578125,0.0,1.7429830788307652,1.7429830788307652,45.986753685890456,22.82346017751914,0.0,68.8102138634096,68.8102138634096,1.7429830788307652,9.951485671572103,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
2.53125,1.0,2.53125,0.15915494309189535,1.374139883394702,0.6328125,0.0,2.006952383394702,2.006952383394702,54.24886816345907,24.982436140257438,0.0,79.2313043037165,79.2313043037165,2.006952383394702,11.610053727554643,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
2.75,1.0,2.75,0.15915494309189535,1.5934842216077107,0.6875,0.0,2.280984221607711,2.280984221607711,62.90823554658365,27.141412102995734,0.0,90.04964764957938,90.04964764957938,2.280984221607711,13.331846547114033,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
2.96875,1.0,2.96875,0.15915494309189535,1.822044546092768,0.7421875,0.0,2.564232046092768,2.564232046092768,71.93143548439217,29.300388065734033,0.0,101.23182355012621,101.23182355012621,2.564232046092768,15.111545116209129,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
3.1875,1.0,3.1875,0.15915494309189535,2.059102939906548,0.796875,0.0,2.855977939906548,2.855977939906548,81.2901257519908,31.45936402847233,0.0,112.74948978046314,112.74948978046314,2.855977939906548,16.944638629649845,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
3.40625,1.0,3.40625,0.15915494309189535,2.3040436247458214,0.8515625,0.0,3.1556061247458214,3.1556061247458214,90.95999639637294,33.618339991210625,0.0,124.57833638758356,124.57833638758356,3.1556061247458214,18.827258038248857,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
3.625,1.0,3.625,0.15915494309189535,2.5563330650905285,0.90625,0.0,3.4625830650905285,3.4625830650905285,100.91998427947091,35.77731595394892,0.0,136.69730023341984,136.69730023341984,3.4625830650905285,20.756051039465664,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
3.84375,1.0,3.84375,0.15915494309189535,2.8155048020231463,0.9609375,0.0,3.7764423020231463,3.7764423020231463,111.15167434134347,37.93629191668722,0.0,149.0879662580307,149.0879662580307,3.7764423020231463,22.728086785483285,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
4.0625,1.0,4.0625,0.15915494309189535,3.0811477267021803,1.015625,0.0,4.096772726702181,4.096772726702181,121.63883665546524,40.09526787942551,0.0,161.73410453489078,161.73410453489078,4.096772726702181,24.74078220326919,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
4.28125,1.0,4.28125,0.15915494309189535,3.352896891643265,1.0703125,0.0,4.423209391643265,4.423209391643265,132.36706367264478,42.25424384216382,0.0,174.62130751480862,174.62130751480862,4.423209391643265,26.79184426015172,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
4.5,1.0,4.5,0.15915494309189535,3.630426220922049,1.125,0.0,4.755426220922049,4.755426220922049,143.32348243136985,44.41321980490211,0.0,187.73670223627192,187.73670223627192,4.755426220922049,28.879224160673957,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
4.71875,1.0,4.71875,0.15915494309189535,3.9134426604074632,1.1796875,0.0,5.093130160407464,5.093130160407464,154.4965236182734,46.57219576764041,0.0,201.0687193859138,201.0687193859138,5.093130160407464,31.00108059142538,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
4.9375,1.0,4.9375,0.15915494309189535,4.201681433876576,1.234375,0.0,5.436056433876576,5.436056433876576,165.8757342870548,48.731171730378705,0.0,214.60690601743352,214.60690601743352,5.436056433876576,33.15574991433236,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
5.15625,1.0,5.15625,0.15915494309189535,4.494902158462201,1.2890625,0.0,5.783964658462201,5.783964658462201,177.4516245024984,50.890147693117,0.0,228.3417721956154,228.3417721956154,5.783964658462201,35.341721759295694,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
