pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_62164B150E9E,TRIPLE_GEAR_T3_3,triple_gear,CAND_9A96686860F7133E,CAND_BE30B71D01933478,-1.0,-1.0,total_beta,1.0,1,0.0
PAIR_225B0B9A35F7,TRIPLE_GEAR_T3_3,triple_gear,CAND_9A96686860F7133E,CAND_A18F29915F2BBB99,-0.5,-0.5,total_beta,1.0,1,0.0
PAIR_EA0D3FAC99A0,TRIPLE_GEAR_T3_3,triple_gear,CAND_9A96686860F7133E,CAND_445958481D7968F2,0.5,0.5,total_beta,1.0,1,0.0
PAIR_DC2D9129C0E9,TRIPLE_GEAR_T3_3,triple_gear,CAND_9A96686860F7133E,CAND_031C0C54148A6956,1.0,1.0,total_beta,1.0,1,0.0
PAIR_4526486C77A9,TRIPLE_GEAR_T3_3,triple_gear,CAND_1E08D3AE35C516F4,CAND_33DE99BEF33D77FE,-1.0,-1.0,total_beta,1.0,1,1.0
PAIR_F61E140C724A,TRIPLE_GEAR_T3_3,triple_gear,CAND_1E08D3AE35C516F4,CAND_B92824DB75B2DC4D,-0.5,-0.5,total_beta,1.0,1,1.0
PAIR_B9A1326ABEC5,TRIPLE_GEAR_T3_3,triple_gear,CAND_1E08D3AE35C516F4,CAND_4AC7818901A6F152,0.5,0.5,total_beta,1.0,1,1.0
PAIR_3CCEF567ED51,TRIPLE_GEAR_T3_3,triple_gear,CAND_1E08D3AE35C516F4,CAND_0392CEB4731AE342,1.0,1.0,total_beta,1.0,1,1.0
PAIR_D3C3F602EF41,TRIPLE_GEAR_T3_3,triple_gear,CAND_F5C5BA64E2CCBD71,CAND_3702B9C4F8FBEAB7,-1.0,-1.0,total_beta,1.0,1,3.0
PAIR_746454E87496,TRIPLE_GEAR_T3_3,triple_gear,CAND_F5C5BA64E2CCBD71,CAND_19CAE79329F7ADE1,-0.5,-0.5,total_beta,1.0,1,3.0
PAIR_2EBFD875A7CA,TRIPLE_GEAR_T3_3,triple_gear,CAND_F5C5BA64E2CCBD71,CAND_E34F9BD132B3EB6C,0.5,0.5,total_beta,1.0,1,3.0
PAIR_2C329F1CCC2B,TRIPLE_GEAR_T3_3,triple_gear,CAND_F5C5BA64E2CCBD71,CAND_95E1BAC0B01F0BDB,1.0,1.0,total_beta,1.0,1,3.0
PAIR_6C4844A691D3,TRIPLE_GEAR_T3_3,triple_gear,CAND_EA7F9C29D1439D49,CAND_1729614E4D99BFCD,-1.0,-1.0,total_beta,1.0,3,0.0
PAIR_0D8BBA9E1F1C,TRIPLE_GEAR_T3_3,triple_gear,CAND_EA7F9C29D1439D49,CAND_ACC2EA667433770B,-0.5,-0.5,total_beta,1.0,3,0.0
PAIR_D51A036F52B9,TRIPLE_GEAR_T3_3,triple_gear,CAND_EA7F9C29D1439D49,CAND_8613F1782BE3B798,0.5,0.5,total_beta,1.0,3,0.0
PAIR_165C2966D815,TRIPLE_GEAR_T3_3,triple_gear,CAND_EA7F9C29D1439D49,CAND_4A6FD6D9AC22EFCC,1.0,1.0,total_beta,1.0,3,0.0
PAIR_A3A84118BF94,TRIPLE_GEAR_T3_3,triple_gear,CAND_80A9AFA95E28354A,CAND_A0B3130C13608F3A,-1.0,-1.0,total_beta,1.0,3,1.0
