file,file_sha256,status,component_count,raw_vertices_json,analysis_samples_per_component,sampled_total_length,sampled_reach_proxy,length_over_diameter_proxy,edge_cv_max,writhe_sum_midpoint_proxy,sidecar_present,knotplot_safe,sidecar_component_count,sidecar_vertices_per_component_json,sidecar_linking_matrix_json,ridgerunner_residual,ridgerunner_ropelength,ridgerunner_thickness,candidate_status,source_role
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_0.1\knot_0.1_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,OK,1,[300],300,3.155027562875308,0.48089829302850556,3.2803480575967567,9.567765661447052e-06,0.0,True,,1,[300],,0.997774,6.3102543,0.4999913,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_10.1\knot_10.1_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,OK,1,[300],300,43.877518602809886,0.500025741557972,43.875259767724195,0.0007229786376408155,3.6891206796639784,True,,1,[300],,0.0665496,87.847262,0.4999811,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_10.123\knot_10.123_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,OK,1,[300],300,46.17833815264207,0.5000110142399948,46.17732093645184,0.001370620553261882,-0.006159105846142254,True,,1,[300],,0.00499112,92.567568,0.4999803,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_3.1\knot_3.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,9215abc72222d77ea5f33e1a021cf4a59927a30710af7e75cc2f816b478ea9cc,OK,1,[300],300,16.376470794275832,0.5001204258733121,16.372527442444667,7.839048221133167e-05,3.405508615349864,True,,1,[300],,0.00997023,32.75388,0.4999993,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_3.1\knot_3.1_trial_002k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,0301d9112581299b98294f80e0bb7d214f9b6de04ab76f587e278fa3f3ee9732,OK,1,[300],300,16.376343182838358,0.5001111041867852,16.372705030682543,8.242686392627773e-05,3.4054696267029625,True,,1,[300],,0.00999506,32.754894,0.499984,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_3.1\knot_3.1_trial_002k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,20a22174d654fb1731a02b36ee3466aedccda6bb909c0ee0afae0cd767a5c473,OK,1,[300],300,16.37570224862582,0.5000666649222103,16.373519169862284,0.00010862795967359733,3.4060854231914766,True,,1,[300],,0.00499103,32.754518,0.4999791,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_4.1\knot_4.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,edc6781b9ed771d49631ad89e250aaa22fcd153797b5a23e4949af9bbf4d18f3,OK,1,[300],300,22.42624681303549,0.4999894428705266,22.426720336616004,0.0005365342797458912,0.22797297691783666,True,,1,[300],,0.00999795,44.878002,0.4999792,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_4.1\knot_4.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,06ab89638a0e92e86da6fb4617c4c136def2b4e5e26321bcd5038b9a52f8095e,OK,1,[300],300,22.302126896251206,0.4745256701128631,23.49938928588076,0.0004204575807649055,0.2208643938076829,True,,1,[300],,0.73735,44.628544,0.4999991,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_5.1\knot_5.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,d54052906876c24f94e2975ff42a4a73de955b3c6fa66d0c19cf3aff56ab7f6a,OK,1,[300],300,23.676233551947092,0.5000043273863359,23.67602864130143,0.0003859779044061459,6.26198846258717,True,,1,[300],,0.0486732,47.384097,0.4999952,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_5.1\knot_5.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,15e640a2e815e8986a69f081ad1807604f37735ff35b2d0a7ffd3ad282567b59,OK,1,[300],300,23.59714130483198,0.4999961964206819,23.597320813394795,0.00034240891530129753,6.265579800248997,True,,1,[300],,0.00491226,47.228109,0.4999738,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_5.2\knot_5.2_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,97b268e68edccf6878ebbece4f714c4f4dd4037eb21a8599dd65d505e068d1b0,OK,1,[300],300,25.97920083408433,0.5000611992529187,25.976021407876406,0.00046671063488021547,4.810858949173755,True,,1,[300],,0.0361876,51.984454,0.499998,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_5.2\knot_5.2_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,193c95c879e3cd99c25a9ed0d408e97c98c84c757e16daf2b281f30481b72d04,OK,1,[300],300,25.202022053773483,0.5000044210230664,25.201799218302163,0.0004010201699443944,4.701200721881521,True,,1,[300],,0.0867858,50.4378,0.4999948,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_6.1\knot_6.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,44e5a96d7022d54c0abc39e9f9dbd08397e526c52000e2f8de8061d6d0f4bf13,OK,1,[300],300,29.58262949900149,0.4903825756379431,30.162806519498766,0.0006130559855366031,1.3786725415174648,True,,1,[300],,0.0257312,59.207994,0.4999974,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_6.1\knot_6.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,d47e2695234268ee32ce2f1c27d5fc1e65bc3557122befd4e8b7eb5cf2703c10,OK,1,[300],300,28.736526082856955,0.5000449974075262,28.73394017722498,0.0003894491233677282,1.2475977582315392,True,,1,[300],,0.849276,57.509444,0.4999998,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_6.2\knot_6.2_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,61f2ba7a09821bc3a9de94eb5e44692aa26ee8a4b624d8b34396203c2f20f642,OK,1,[300],300,28.52911154606376,0.5000200848825176,28.527965584389303,0.0002896388006068433,2.765539420576227,True,,1,[300],,0.00499708,57.064817,0.4999956,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_6.3\knot_6.3_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,OK,1,[300],300,28.915087393889248,0.4999934788543144,28.915464517802622,0.0005203104808846357,-0.002898969823766876,True,,1,[300],,0.00497171,57.88085,0.4999913,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_7.1\knot_7.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_020k_polish.txt,79b66c2d6bb799e8fe933ebcdf41957b275f577a82eec0c770ac55a81461516e,OK,1,[300],300,30.70592557937997,0.5000017626990736,30.70581732914845,0.000520782640735011,9.12871043625765,True,,1,[300],,0.00999204,61.473119,0.4999575,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_7.1\knot_7.1_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,bdae11102c1248a18bf250a4651ac0bc56d7022cdd46e3fc8f6444a2c01143c7,OK,1,[300],300,30.703506257204996,0.4999954597637407,30.70378506208147,0.0005316987385839639,9.128108246717694,True,,1,[300],,0.00496858,61.468208,0.4999592,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_7.2\knot_7.2_trial_001k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,24cb1998ccbef26ac4d8755fb2f845acd0a6f73d7836db2cb1f67926417f3386,OK,1,[300],300,31.93913472199722,0.5000435436374884,31.93635347200065,0.0006334504790047929,5.731328551412143,True,,1,[300],,0.00494787,63.916324,0.4999886,,
C:\workspace\projects\SST-Workbench\KnotPlot\knots\knot_7.3\knot_7.3_trial_015k_rr_010k_coarse_rr_050k_eqfinal_rr_030k_polish.txt,04e7ec789ef929f30bf24f0937343aaf0cf28a7f34cb1ca53ca2ec9ded05ae58,OK,1,[300],300,31.985448791990347,0.500031028614347,31.983463986851287,0.00036037624781838293,-7.4312685060349155,True,,1,[300],,0.00498068,63.990043,0.4999833,,
