blind_id,source,rank,eig_re,eig_im,tilt_participation,breathing_participation,torsion_participation,kelvin_participation
B01,knotplot_final,0,1.3159286620619353,0.0,0.25765065247654345,0.014878259938585865,0.4212055471556158,0.30626554042925475
B01,knotplot_final,1,0.4689812329580523,0.738554957973215,0.13690270423906037,0.16448383044468887,0.25850961079554946,0.4401038545207014
B01,knotplot_final,2,0.4689812329580523,-0.738554957973215,0.13690270423906037,0.16448383044468887,0.25850961079554946,0.4401038545207014
B01,knotplot_final,3,0.04939820012426588,-3.7181168457934723,0.02571491090050249,0.01069764727122069,0.013441193396787855,0.950146248431489
B01,knotplot_final,4,0.04939820012426588,3.7181168457934723,0.02571491090050249,0.01069764727122069,0.013441193396787855,0.950146248431489
B01,knotplot_final,5,0.011949675065158094,3.9500053820658474,0.004264920868640787,0.007265340521312193,0.05380722712266166,0.9346625114873854
B01,knotplot_final,6,0.011949675065158094,-3.9500053820658474,0.004264920868640787,0.007265340521312193,0.05380722712266166,0.9346625114873854
B01,knotplot_final,7,0.003372383496012779,-0.7773757213089795,0.13237178261035445,0.03637849194754867,0.5164370387954439,0.31481268664665313
B01,knotplot_final,8,0.003372383496012779,0.7773757213089795,0.13237178261035445,0.03637849194754867,0.5164370387954439,0.31481268664665313
B01,knotplot_final,9,0.0015314582783741357,-0.22174499151633478,0.11602949146066137,0.008723403314437597,0.013528688271946209,0.8617184169529548
B01,knotplot_final,10,0.0015314582783741357,0.22174499151633478,0.11602949146066137,0.008723403314437597,0.013528688271946209,0.8617184169529548
B01,knotplot_final,11,-7.771865415701074e-05,0.48377536177425523,0.12479097556289534,0.06427550069631764,0.6517898335612565,0.15914369017953064
B01,knotplot_final,12,-7.771865415701074e-05,-0.48377536177425523,0.12479097556289534,0.06427550069631764,0.6517898335612565,0.15914369017953064
B01,knotplot_final,13,-0.011328899032212838,0.0,0.2358692972448824,0.3668108789299718,0.0010947754449941141,0.3962250483801517
B01,knotplot_final,14,-0.013785375768155708,-0.45102473253788744,0.17102899977960237,0.07279655703645689,0.6020285458677537,0.1541458973161871
B01,knotplot_final,15,-0.013785375768155708,0.45102473253788744,0.17102899977960237,0.07279655703645689,0.6020285458677537,0.1541458973161871
B01,knotplot_final,16,-0.016083867098796722,-4.00997808802831,0.0010965378441533218,0.008285418159334555,0.02995986025418276,0.9606581837423294
B01,knotplot_final,17,-0.016083867098796722,4.00997808802831,0.0010965378441533218,0.008285418159334555,0.02995986025418276,0.9606581837423294
B01,knotplot_final,18,-0.47095967024192387,-0.7489195442675739,0.14134207176236427,0.16635300497708008,0.23934299358928557,0.45296192967127014
B01,knotplot_final,19,-0.47095967024192387,0.7489195442675739,0.14134207176236427,0.16635300497708008,0.23934299358928557,0.45296192967127014
B01,knotplot_final,20,-1.2447071831964713,0.0,0.24028647217682775,0.019305268005992866,0.4170555071995937,0.32335275261758556
B02,fremlin_fseries,0,1.2912548638165549,0.0,0.18439358008102763,0.057730067076940825,0.3775344719233654,0.38034188091866616
B02,fremlin_fseries,1,0.6438931181376821,0.7386928845846946,0.09245148671988862,0.12445957562313315,0.2339736485327829,0.5491152891241955
B02,fremlin_fseries,2,0.6438931181376821,-0.7386928845846946,0.09245148671988862,0.12445957562313315,0.2339736485327829,0.5491152891241955
B02,fremlin_fseries,3,0.04863107881618247,0.0,0.2477208968088218,0.3694352484336421,0.0046540579330714305,0.3781897968244649
B02,fremlin_fseries,4,0.02827792910473182,0.48890833919897014,0.20778123288409914,0.08703013487010534,0.46431762621016837,0.24087100603562722
B02,fremlin_fseries,5,0.02827792910473182,-0.48890833919897014,0.20778123288409914,0.08703013487010534,0.46431762621016837,0.24087100603562722
B02,fremlin_fseries,6,0.0015829981805611792,-3.814678275334919,0.007031999663652196,0.01902429876081763,0.0019487139429574876,0.9719949876325726
B02,fremlin_fseries,7,0.0015829981805611792,3.814678275334919,0.007031999663652196,0.01902429876081763,0.0019487139429574876,0.9719949876325726
B02,fremlin_fseries,8,0.0006129806541285386,-0.295702186861009,0.18040445465014823,0.11164230999618785,0.02679565282032334,0.6811575825333406
B02,fremlin_fseries,9,0.0006129806541285386,0.295702186861009,0.18040445465014823,0.11164230999618785,0.02679565282032334,0.6811575825333406
B02,fremlin_fseries,10,-0.0013338400143794935,-0.8006519810411042,0.12850679960625483,0.020116463764898153,0.5104273036762106,0.3409494329526366
B02,fremlin_fseries,11,-0.0013338400143794935,0.8006519810411042,0.12850679960625483,0.020116463764898153,0.5104273036762106,0.3409494329526366
B02,fremlin_fseries,12,-0.002050955845591229,1.1231759164128325,0.1313602250622159,0.14454610508500665,0.07840437569163296,0.6456892941611445
B02,fremlin_fseries,13,-0.002050955845591229,-1.1231759164128325,0.1313602250622159,0.14454610508500665,0.07840437569163296,0.6456892941611445
B02,fremlin_fseries,14,-0.011858549336746793,-3.742494927243014,0.025558812319225327,0.018012796169490558,0.010423365119000277,0.9460050263922839
B02,fremlin_fseries,15,-0.011858549336746793,3.742494927243014,0.025558812319225327,0.018012796169490558,0.010423365119000277,0.9460050263922839
B02,fremlin_fseries,16,-0.02842828695707078,-3.9378468871711707,0.030717914615134352,0.0015136831737444852,0.10943907328389778,0.8583293289272235
B02,fremlin_fseries,17,-0.02842828695707078,3.9378468871711707,0.030717914615134352,0.0015136831737444852,0.10943907328389778,0.8583293289272235
B02,fremlin_fseries,18,-0.6458147485712187,-0.7483152027655527,0.09675359507983029,0.11393331762868904,0.28375586667673247,0.5055572206147482
B02,fremlin_fseries,19,-0.6458147485712187,0.7483152027655527,0.09675359507983029,0.11393331762868904,0.28375586667673247,0.5055572206147482
B02,fremlin_fseries,20,-1.4205283804133024,0.0,0.2044872571755882,0.05093930743164347,0.36161686633026363,0.3829565690625048
