pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-0.75,0.05,1,1,False,0.0,-1.0239846268739443,1.0239846268739443,6.136015270425603,-0.09802759751470978,2612.6051693644145,2196.874371789302,-0.9309958750727791,1.3207793553866565,0.775288183221318,nan
P00001,TORUS_T2_3,gaussian,-0.75,0.05,1,2,True,0.022066057887597922,-1.4668931178259348,1.4668931178259348,4.283328642574737,-0.7004046296023851,365.6563608848437,365.5649467946225,-2.2304822988307795,1.3207793553866565,1.110626927838756,0.007401316890341861
P00002,TORUS_T2_3,gaussian,-0.75,0.05,2,1,False,8.027748768134401e-17,-2.3383131946090057,2.3383131946090057,2.6870589113834304,0.31773944050920866,806.0296436503688,487.244919586648,1.1218819858296123,1.3207793553866565,1.7704041065394056,nan
P00003,TORUS_T2_3,gaussian,-0.75,0.05,2,2,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan
P00004,TORUS_T2_3,gaussian,0.75,0.05,1,1,False,0.00028863160906737474,-0.06463684498853782,0.06463684498853782,97.20748759154003,-0.006696001355887419,nan,nan,nan,1.3207793553866565,0.04893841255537755,nan
P00005,TORUS_T2_3,gaussian,0.75,0.05,1,2,True,0.001107058994659179,-0.07367457835856245,0.07367457835856245,85.28294897868737,-0.001567657431257006,163369.49827230338,215239.3139737597,0.17315792021061452,1.3207793553866565,0.055781140171587786,-0.030058498126500976
P00006,TORUS_T2_3,gaussian,0.75,0.05,2,1,True,7.15530349662619e-17,-2.336230373445226,2.336230373445226,2.689454506968766,-0.01185729986440752,21599.13394583802,26113.35294051817,-0.12094286207275685,1.3207793553866565,1.7688271427904758,0.0
P00007,TORUS_T2_3,gaussian,0.75,0.05,2,2,False,8.469800505009265e-17,-2.1320903181161905,2.1320903181161905,2.9469601985393834,0.06150460447721057,4164.036338160683,2549.431248038878,0.033673024201340364,1.3207793553866565,1.6142668413317407,nan
P00008,TORUS_T2_3,smooth_rankine,-0.75,0.05,1,1,True,0.007268099313231519,-1.3804049167304295,1.3804049167304295,4.551697281737942,-0.8262938647697029,309.94712526237254,288.2508264940065,2.8443853659945417,1.299188297090765,1.0625133553169548,-0.05691852602179518
P00009,TORUS_T2_3,smooth_rankine,-0.75,0.05,1,2,True,0.014382867768729749,-1.3281911054570397,1.3281911054570397,4.730633476887725,-0.7349229418367065,348.48198828471175,351.0956031968471,-1.318458635008763,1.299188297090765,1.0223237912712266,-0.020272989070210155
