path,kind,status,reason,sample_id,source,rows_or_frames
C:\workspace\projects\SST-Workbench\SST_vArrow_Spectral_Blind_Falsifier\SST_vArrow_Spectral_Blind_Falsifier_v0.1.0\campaigns\demo_spectrum\manifest.csv,manifest,excluded,demo/synthetic excluded by default,,manifest,
C:\workspace\projects\SST-Workbench\SST_vArrow_Spectral_Blind_Falsifier\SST_vArrow_Spectral_Blind_Falsifier_v0.2.0\campaigns\demo_spectrum\manifest.csv,manifest,excluded,demo/synthetic excluded by default,,manifest,
C:\workspace\projects\SST-Workbench\SST_vArrow_Spectral_Blind_Falsifier\SST_vArrow_Spectral_Blind_Falsifier_v0.2.1\campaigns\demo_spectrum\manifest.csv,manifest,excluded,demo/synthetic excluded by default,,manifest,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\LICENSE.txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_LICENSE,recursive_discovery,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\README (2).txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_README_2,recursive_discovery,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\README.txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_README,recursive_discovery,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\triple_gear_from_uploaded_source_README.txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_triple_gear_from_uploaded_source_README,recursive_discovery,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\triple_gear_hopf_link_README.txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_triple_gear_hopf_link_README,recursive_discovery,
C:\workspace\projects\SST-Workbench\3D\Triple_Gear\Archive\triple_gear_parametric_fitted_lanes_v1_README.txt,text,unsupported,not recognized as VortexLab diag log,3D_Triple_Gear_Archive_triple_gear_parametric_fitted_lanes_v1_README,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\.livelatex-cache\tikz\bda8c32d4012e434d671f60d45bd2ca6757e1009\build.log,text,unsupported,not recognized as VortexLab diag log,datasets_.livelatex-cache_tikz_bda8c32d4012e434d671f60d45bd2ca6757e1009_build,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\.livelatex-cache\tikz\bda8c32d4012e434d671f60d45bd2ca6757e1009\fig.log,text,unsupported,not recognized as VortexLab diag log,datasets_.livelatex-cache_tikz_bda8c32d4012e434d671f60d45bd2ca6757e1009_fig,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\fseries_batch_results.csv,unknown_csv,unsupported,CSV does not contain k/omega or full xyz(t) trajectory,datasets_resources-swirl_fseries_batch_results,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_11a.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_11a,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_11n.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_11n,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\0TwelveData.csv,unknown_csv,unsupported,CSV does not contain k/omega or full xyz(t) trajectory,datasets_resources-swirl_ideal_12_data_0TwelveData,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a10.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a10,recursive_discovery,
