mode,sigma_s^-1,omega_rad_s,abs_omega_rad_s,circularity,omega_times_C_s^-1
47,37887565037.40625,-0.0,0.0,0.0,-0.0
46,-37887565450.71875,-0.0,0.0,0.0,-0.0
62,1.7244360872791555e+18,-0.0,0.0,0.0,-0.0
58,-1.724436087279156e+18,-0.0,0.0,0.0,-0.0
59,-1.7244360872791624e+18,-0.0,0.0,0.0,-0.0
63,1.7244360872791631e+18,-0.0,0.0,0.0,-0.0
57,-2.663928559984913e+18,-0.0,0.0,0.0,-0.0
61,2.6639285599849144e+18,-0.0,0.0,0.0,-0.0
56,-2.663928559984946e+18,-0.0,0.0,0.0,-0.0
60,2.6639285599849487e+18,-0.0,0.0,0.0,-0.0
52,608.0,-3.1193613987191337e+18,3.1193613987191337e+18,0.7414798557057741,-2.312943639816425e+18
53,608.0,3.1193613987191337e+18,3.1193613987191337e+18,-0.7414798557057741,-2.312943639816425e+18
54,-1824.0,-3.1193613987191685e+18,3.1193613987191685e+18,0.7414798557057777,-2.312943639816462e+18
55,-1824.0,3.1193613987191685e+18,3.1193613987191685e+18,-0.7414798557057777,-2.312943639816462e+18
50,-2016.0,-3.6703336159892485e+18,3.6703336159892485e+18,0.838333011708349,-3.0769618342666614e+18
51,-2016.0,3.6703336159892485e+18,3.6703336159892485e+18,-0.838333011708349,-3.0769618342666614e+18
48,3264.0,-3.6703336159892516e+18,3.6703336159892516e+18,0.8383330117083475,-3.076961834266659e+18
49,3264.0,3.6703336159892516e+18,3.6703336159892516e+18,-0.8383330117083475,-3.076961834266659e+18
44,-1664.0,-5.970089763675868e+18,5.970089763675868e+18,0.9176352000202816,-5.478364514429741e+18
45,-1664.0,5.970089763675868e+18,5.970089763675868e+18,-0.9176352000202816,-5.478364514429741e+18
42,4736.0,-5.970089763675873e+18,5.970089763675873e+18,0.9176352000202821,-5.478364514429748e+18
43,4736.0,5.970089763675873e+18,5.970089763675873e+18,-0.9176352000202821,-5.478364514429748e+18
38,1920.0,-6.057760853271032e+18,6.057760853271032e+18,0.9116323049266998,-5.522450489362203e+18
39,1920.0,6.057760853271032e+18,6.057760853271032e+18,-0.9116323049266998,-5.522450489362203e+18
40,-1538.0,-6.057760853271084e+18,6.057760853271084e+18,0.9116323049267004,-5.522450489362254e+18
41,-1538.0,6.057760853271084e+18,6.057760853271084e+18,-0.9116323049267004,-5.522450489362254e+18
34,6528.0,-8.549410259734723e+18,8.549410259734723e+18,-0.9487566710727983,8.111310017661543e+18
35,6528.0,8.549410259734723e+18,8.549410259734723e+18,0.9487566710727983,8.111310017661543e+18
36,4736.0,-8.549410259734736e+18,8.549410259734736e+18,-0.9487566710727989,8.111310017661561e+18
37,4736.0,8.549410259734736e+18,8.549410259734736e+18,0.9487566710727989,8.111310017661561e+18
32,1536.0,-1.912067441403312e+19,1.912067441403312e+19,-0.9895177992266526,1.892024766590342e+19
33,1536.0,1.912067441403312e+19,1.912067441403312e+19,0.9895177992266526,1.892024766590342e+19
30,2048.0,-1.9120674414033138e+19,1.9120674414033138e+19,-0.9895177992266526,1.8920247665903436e+19
31,2048.0,1.9120674414033138e+19,1.9120674414033138e+19,0.9895177992266526,1.8920247665903436e+19
26,4096.0,-3.125178460387487e+19,3.125178460387487e+19,-0.9962926819545755,3.1135924298861208e+19
27,4096.0,3.125178460387487e+19,3.125178460387487e+19,0.9962926819545755,3.1135924298861208e+19
28,-2048.0,-3.1251784603874976e+19,3.1251784603874976e+19,-0.996292681954576,3.1135924298861326e+19
29,-2048.0,3.1251784603874976e+19,3.1251784603874976e+19,0.996292681954576,3.1135924298861326e+19
24,-2304.0,-4.4290332969825214e+19,4.4290332969825214e+19,-0.9983034854780738,4.4215193776760955e+19
25,-2304.0,4.4290332969825214e+19,4.4290332969825214e+19,0.9983034854780738,4.4215193776760955e+19
22,4096.0,-4.429033296982549e+19,4.429033296982549e+19,-0.9983034854780742,4.421519377676126e+19
23,4096.0,4.429033296982549e+19,4.429033296982549e+19,0.9983034854780742,4.421519377676126e+19
18,1408.0,-5.7384081534485185e+19,5.7384081534485185e+19,-0.9990846813294493,5.7331556813264265e+19
19,1408.0,5.7384081534485185e+19,5.7384081534485185e+19,0.9990846813294493,5.7331556813264265e+19
20,-4608.0,-5.738408153448522e+19,5.738408153448522e+19,-0.9990846813294492,5.733155681326429e+19
21,-4608.0,5.738408153448522e+19,5.738408153448522e+19,0.9990846813294492,5.733155681326429e+19
14,-3072.0,-6.963792278908695e+19,6.963792278908695e+19,-0.9994395776056958,6.959889613766312e+19
15,-3072.0,6.963792278908695e+19,6.963792278908695e+19,0.9994395776056958,6.959889613766312e+19
16,2304.0,-6.96379227890872e+19,6.96379227890872e+19,-0.9994395776056959,6.959889613766337e+19
17,2304.0,6.96379227890872e+19,6.96379227890872e+19,0.9994395776056959,6.959889613766337e+19
12,0.0,-8.019866162829532e+19,8.019866162829532e+19,-0.9996165969880098,8.016791321986944e+19
13,0.0,8.019866162829532e+19,8.019866162829532e+19,0.9996165969880098,8.016791321986944e+19
10,-128.0,-8.019866162829536e+19,8.019866162829536e+19,-0.9996165969880095,8.016791321986947e+19
11,-128.0,8.019866162829536e+19,8.019866162829536e+19,0.9996165969880095,8.016791321986947e+19
6,512.0,-8.83244150391923e+19,8.83244150391923e+19,-0.9997081813313621,8.829864032598734e+19
7,512.0,8.83244150391923e+19,8.83244150391923e+19,0.9997081813313621,8.829864032598734e+19
8,-2048.0,-8.832441503919237e+19,8.832441503919237e+19,-0.9997081813313621,8.82986403259874e+19
9,-2048.0,8.832441503919237e+19,8.832441503919237e+19,0.9997081813313621,8.82986403259874e+19
4,-7680.0,-9.344176321036781e+19,9.344176321036781e+19,-0.9997526585826444,9.341865119221516e+19
5,-7680.0,9.344176321036781e+19,9.344176321036781e+19,0.9997526585826444,9.341865119221516e+19
2,6144.0,-9.344176321036783e+19,9.344176321036783e+19,-0.9997526585826445,9.341865119221518e+19
3,6144.0,9.344176321036783e+19,9.344176321036783e+19,0.9997526585826445,9.341865119221518e+19
0,0.0,-9.51887710949659e+19,9.51887710949659e+19,-0.9997660071767154,9.516649760567239e+19
1,0.0,9.51887710949659e+19,9.51887710949659e+19,0.9997660071767154,9.516649760567239e+19
