mode,sigma_s^-1,omega_rad_s,abs_omega_rad_s,circularity,omega_times_C_s^-1
6,8.763844791616882e+19,-0.0,0.0,0.0,-0.0
9,-8.763844791616894e+19,-0.0,0.0,0.0,-0.0
7,7.888303712795915e+19,-8.20783324085889e+17,8.20783324085889e+17,-0.015242317153316273,1.2510639739870296e+16
8,7.888303712795915e+19,8.20783324085889e+17,8.20783324085889e+17,0.015242317153316273,1.2510639739870296e+16
10,-7.888303712795895e+19,-8.207833240859075e+17,8.207833240859075e+17,-0.0152423171533169,1.2510639739871092e+16
11,-7.888303712795895e+19,8.207833240859075e+17,8.207833240859075e+17,0.0152423171533169,1.2510639739871092e+16
46,5.638867150992155e-11,-1.697477856373257e+18,1.697477856373257e+18,-0.10210073919138801,1.733137438967223e+17
47,5.638867150992155e-11,1.697477856373257e+18,1.697477856373257e+18,0.10210073919138801,1.733137438967223e+17
36,-2.363541367144512e+19,-2.072391221982433e+18,2.072391221982433e+18,0.007970187824743203,-1.6517347285549076e+16
37,-2.363541367144512e+19,2.072391221982433e+18,2.072391221982433e+18,-0.007970187824743203,-1.6517347285549076e+16
32,2.3635413671445144e+19,-2.0723912219824899e+18,2.0723912219824899e+18,0.007970187824743095,-1.6517347285549306e+16
33,2.3635413671445144e+19,2.0723912219824899e+18,2.0723912219824899e+18,-0.007970187824743095,-1.6517347285549306e+16
30,2.9136336567303094e+19,-4.506122796543328e+18,4.506122796543328e+18,-0.03820565486967606,1.7215937236511392e+17
31,2.9136336567303094e+19,4.506122796543328e+18,4.506122796543328e+18,0.03820565486967606,1.7215937236511392e+17
34,-2.9136336567303086e+19,-4.5061227965433324e+18,4.5061227965433324e+18,-0.038205654869675934,1.721593723651135e+17
35,-2.9136336567303086e+19,4.5061227965433324e+18,4.5061227965433324e+18,0.038205654869675934,1.721593723651135e+17
18,4.910055736367735e+19,-7.341558455633092e+18,7.341558455633092e+18,-0.0071610893301151946,5.257355592305112e+16
19,4.910055736367735e+19,7.341558455633092e+18,7.341558455633092e+18,0.0071610893301151946,5.257355592305112e+16
20,-4.910055736367729e+19,-7.341558455633128e+18,7.341558455633128e+18,-0.007161089330115239,5.2573555923051704e+16
21,-4.910055736367729e+19,7.341558455633128e+18,7.341558455633128e+18,0.007161089330115239,5.2573555923051704e+16
44,-20992.0,-8.733168706689633e+18,8.733168706689633e+18,0.28834116804945287,-2.5181320656598185e+18
45,-20992.0,8.733168706689633e+18,8.733168706689633e+18,-0.28834116804945287,-2.5181320656598185e+18
42,-8297.569998264313,-1.2029751654909684e+19,1.2029751654909684e+19,0.12149831719507201,-1.461594582346159e+18
43,-8297.569998264313,1.2029751654909684e+19,1.2029751654909684e+19,-0.12149831719507201,-1.461594582346159e+18
40,-1536.0,-1.3663535368863126e+19,1.3663535368863126e+19,-0.3236628593956684,4.4223789269400883e+18
41,-1536.0,1.3663535368863126e+19,1.3663535368863126e+19,0.3236628593956684,4.4223789269400883e+18
38,13824.0,-1.854647235086886e+19,1.854647235086886e+19,0.37279363999835735,-6.914006936809295e+18
39,13824.0,1.854647235086886e+19,1.854647235086886e+19,-0.37279363999835735,-6.914006936809295e+18
28,-10240.0,-3.270229485305422e+19,3.270229485305422e+19,-0.29291438215859333,9.578972492050522e+18
29,-10240.0,3.270229485305422e+19,3.270229485305422e+19,0.29291438215859333,9.578972492050522e+18
26,-7168.0,-3.4882254290108568e+19,3.4882254290108568e+19,-0.7314129210483191,2.5513331503078568e+19
27,-7168.0,3.4882254290108568e+19,3.4882254290108568e+19,0.7314129210483191,2.5513331503078568e+19
24,-1024.0,-4.069906064986345e+19,4.069906064986345e+19,-0.7557446508975402,3.0758097382688866e+19
25,-1024.0,4.069906064986345e+19,4.069906064986345e+19,0.7557446508975402,3.0758097382688866e+19
22,10240.0,-4.31034222728095e+19,4.31034222728095e+19,-0.7994428331130359,3.445872201864236e+19
23,10240.0,4.31034222728095e+19,4.31034222728095e+19,0.7994428331130359,3.445872201864236e+19
16,8192.0,-6.177726847855188e+19,6.177726847855188e+19,-0.835368046442488,5.160675608348098e+19
17,8192.0,6.177726847855188e+19,6.177726847855188e+19,0.835368046442488,5.160675608348098e+19
14,-20736.0,-6.955346620912098e+19,6.955346620912098e+19,-0.7934269094172858,5.5185591733562474e+19
15,-20736.0,6.955346620912098e+19,6.955346620912098e+19,0.7934269094172858,5.5185591733562474e+19
12,-32768.0,-7.115789222541774e+19,7.115789222541774e+19,-0.6951610665071457,4.946619624982193e+19
13,-32768.0,7.115789222541774e+19,7.115789222541774e+19,0.6951610665071457,4.946619624982193e+19
4,24640.0,-1.3910483402629708e+20,1.3910483402629708e+20,-0.93689911830827,1.3032719635165597e+20
5,24640.0,1.3910483402629708e+20,1.3910483402629708e+20,0.93689911830827,1.3032719635165597e+20
2,-4096.0,-1.4101369433839768e+20,1.4101369433839768e+20,-0.9265880675003247,1.3066160652809739e+20
3,-4096.0,1.4101369433839768e+20,1.4101369433839768e+20,0.9265880675003247,1.3066160652809739e+20
0,0.0,-1.431411969245828e+20,1.431411969245828e+20,-0.9465194397642214,1.354859255202362e+20
1,0.0,1.431411969245828e+20,1.431411969245828e+20,0.9465194397642214,1.354859255202362e+20
