basis,candidate_a,candidate_b,growth_A_over_B,pair_id,winner_anonymous
MODE_GATE,882d40f99ed1c24e,17cf582946eeef85,,P00108,INDETERMINATE
CONVERGED_GROWTH,ba6f0c2d28f3f797,add0c1477e46cefb,1.4181728329842387,P00109,B
CONVERGED_GROWTH,bc294ef91bb0ee02,6f970ebcb048c1ad,0.0001302109346950227,P00110,TIE
MODE_GATE,7f98065e4c84856a,83d5a218ba10bc2b,,P00111,B
MODE_GATE,02186edcf7f0c96b,5d5ea2ade55d665c,,P00112,INDETERMINATE
CONVERGED_GROWTH,0406ca2a438dbbd1,b43f6892dac240bb,0.6366341228862111,P00113,A
CONVERGED_GROWTH,8224eafac903f9a9,ca5eda7e581b2b16,0.0001259913096288459,P00114,TIE
CONVERGED_GROWTH,3983404a005af1d2,90ea0cb67cbe4288,0.00012409116729861303,P00115,TIE
MODE_GATE,7a21ded1e04ac4ef,2ce32220d4e1c341,,P00116,B
CONVERGED_GROWTH,7fc701f001e49b3e,fd9c1a3fd2eba2c0,0.7988378957560581,P00117,A
MODE_GATE,a8d5f14d6a5a5913,17e2f4947b6f4eb8,,P00118,INDETERMINATE
CONVERGED_GROWTH,2edbc9978dd14745,a51023bb0959b3c5,0.0,P00119,TIE
