link_id,signs,cutoff_from,cutoff_to,relative_equilibrium_relative_difference,primary_gradient_relative_difference,negative_mode_count_agreement,symplectic_rank_agreement,unstable_mode_count_agreement,both_step_converged,cutoff_stability_pass
L4a1,++,64,96,0.0024761849753648195,0.12265204486579498,False,True,False,False,False
L4a1,+-,64,96,0.0003980194261755638,0.11124438076198634,False,True,False,False,False
L4a1,-+,64,96,0.0003980194261755638,0.11124438076198634,False,True,False,False,False
L4a1,--,64,96,0.0024761849753648195,0.12265204486579498,False,True,False,False,False
L6a4,+++,64,96,0.005269812591473947,0.0027822552500491424,False,True,False,False,False
L6a4,++-,64,96,0.005267695032493502,0.0027837928145731153,False,True,False,False,False
L6a4,+-+,64,96,0.0052657138394759315,0.002777000418051975,False,True,False,False,False
L6a4,+--,64,96,0.005230920459388371,0.0027569830846960646,False,True,False,False,False
L6a4,-++,64,96,0.005230920459388371,0.0027569830846960646,False,True,False,False,False
L6a4,-+-,64,96,0.0052657138394759315,0.002777000418051975,False,True,False,False,False
L6a4,--+,64,96,0.005267695032493502,0.0027837928145731153,False,True,False,False,False
L6a4,---,64,96,0.005269812591473947,0.0027822552500491424,False,True,False,False,False
L6n1,+++,64,96,0.0003064623675294715,0.006425362046466093,True,True,True,True,True
L6n1,++-,64,96,0.0012642951775399744,0.006188785950193771,True,True,True,True,True
L6n1,+-+,64,96,0.001116044964189137,0.005740319237254924,False,True,False,False,False
L6n1,+--,64,96,0.0006388502500967853,0.005310654768050728,True,True,True,True,True
L6n1,-++,64,96,0.0006388502500967853,0.005310654768050728,True,True,True,True,True
L6n1,-+-,64,96,0.001116044964189137,0.005740319237254924,False,True,False,False,False
L6n1,--+,64,96,0.0012642951775399744,0.006188785950193771,True,True,True,True,True
L6n1,---,64,96,0.0003064623675294715,0.006425362046466093,True,True,True,True,True
L7n2,++,64,96,0.01063345481975005,0.6320494026804666,False,True,False,False,False
L7n2,+-,64,96,0.008495010979982185,0.6253327721750611,False,True,False,False,False
L7n2,-+,64,96,0.008495010979982185,0.6253327721750611,False,True,False,False,False
L7n2,--,64,96,0.01063345481975005,0.6320494026804666,False,True,False,False,False
L4a1,++,96,128,0.007380288532229131,0.12580112827967838,False,True,False,False,False
L4a1,+-,96,128,0.0019944186872582065,0.11436907133924319,False,True,True,False,False
L4a1,-+,96,128,0.0019944186872582065,0.11436907133924319,False,True,True,False,False
L4a1,--,96,128,0.007380288532229131,0.12580112827967838,False,True,False,False,False
L6a4,+++,96,128,0.005056786018419504,0.00022029285838996476,False,True,False,False,False
L6a4,++-,96,128,0.005054692630255056,0.00020312093629172015,False,True,False,False,False
L6a4,+-+,96,128,0.005052889327543735,0.00020510837731959589,False,True,False,False,False
L6a4,+--,96,128,0.0050186178869824115,0.0002494550796743974,False,True,False,False,False
L6a4,-++,96,128,0.0050186178869824115,0.0002494550796743974,False,True,False,False,False
L6a4,-+-,96,128,0.005052889327543735,0.00020510837731959589,False,True,False,False,False
L6a4,--+,96,128,0.005054692630255056,0.00020312093629172015,False,True,False,False,False
L6a4,---,96,128,0.005056786018419504,0.00022029285838996476,False,True,False,False,False
L6n1,+++,96,128,0.00045039024309997163,0.007129946118574699,False,True,False,True,False
L6n1,++-,96,128,0.0012883952367341116,0.007184218026543405,False,True,False,True,False
L6n1,+-+,96,128,0.001344544504835227,0.006881552899624947,True,True,True,False,False
L6n1,+--,96,128,0.0006558916570515762,0.006273638758800768,False,True,False,True,False
L6n1,-++,96,128,0.0006558916570515762,0.006273638758800768,False,True,False,True,False
L6n1,-+-,96,128,0.001344544504835227,0.006881552899624947,True,True,True,False,False
L6n1,--+,96,128,0.0012883952367341116,0.007184218026543405,False,True,False,True,False
L6n1,---,96,128,0.00045039024309997163,0.007129946118574699,False,True,False,True,False
L7n2,++,96,128,0.0012916929944640073,0.6294737185867266,False,True,False,False,False
L7n2,+-,96,128,0.0018243078399072389,0.6220764988763124,False,True,False,False,False
L7n2,-+,96,128,0.0018243078399072389,0.6220764988763124,False,True,False,False,False
L7n2,--,96,128,0.0012916929944640073,0.6294737185867266,False,True,False,False,False
