x,y,z
-0.14701431721785813,-1.2405680516496282,0.21966374141308814
-0.16316801461282243,-1.2370912273825871,0.20863090886856303
-0.17911024687690266,-1.2331383008796337,0.19746481156510437
-0.1948392854018896,-1.2287053802734416,0.18616436013845
-0.21009299152011612,-1.223329582007535,0.17462464919509532
-0.22509113187837707,-1.2174989629978117,0.16298331172651298
-0.2398174561154474,-1.2111858583641006,0.15123453626623676
-0.25399093218483393,-1.2039913310028947,0.13931545100963338
-0.2678659790653742,-1.1963633326770828,0.12732567118042107
-0.2814022113724741,-1.188246672118895,0.1152573706878549
-0.2943167321682154,-1.1793237971985042,0.10308272617694549
-0.30690167124418954,-1.1699868780487892,0.09087605206367641
-0.3191829620729579,-1.160265560702318,0.0786524663616907
-0.3313855885867906,-1.1503642257766211,0.06649462472262604
-0.34359409747830055,-1.1404114706307313,0.054384942785350165
-0.3558075724934209,-1.1304153046085657,0.04231591907256244
-0.3680286501194159,-1.1203642297434002,0.030300461834030745
-0.3802543126514735,-1.1102800410057352,0.018317308925764563
-0.39249431037895965,-1.100118298695152,0.006414595446606207
-0.40474021209500094,-1.0899317022326096,-0.0054606820232645965
-0.4169986735690254,-1.0796938314377444,-0.017278878346942913
-0.42927006157555675,-1.0694142195418797,-0.029047212797148548
-0.44154897913967933,-1.059110293931278,-0.04078650327537459
-0.453850918354528,-1.0487502223285068,-0.05245202945664755
-0.4661620137836825,-1.0383734623377923,-0.06409297442187838
-0.4784931098618497,-1.0279615530972808,-0.0756813244315155
-0.4908446179459243,-1.0175241935650032,-0.08722487398834702
-0.5032086076332709,-1.0070712716011636,-0.0987410288108806
-0.5156080013406039,-0.9965875140146507,-0.11019088178264744
-0.5280207785541504,-0.986095456696451,-0.12161856580676507
-0.5404640361316496,-0.9755858279971499,-0.1329969086531698
-0.552935153700408,-0.9650671434500399,-0.14433624432438658
-0.5654251078831003,-0.9545423360902044,-0.15564920658102374
-0.5779629459952499,-0.9440126336911329,-0.16690447804427117
-0.590518929168917,-0.9334836714074553,-0.17814016261484414
-0.6031182984140253,-0.9229583108143912,-0.18933061923997307
-0.6157529458389768,-0.9124409684003818,-0.200488712219209
-0.6284144612806586,-0.9019297326667609,-0.21162215690357322
-0.6411342621683741,-0.8914363035348428,-0.22270581593039165
-0.6538564217433293,-0.8809127685224316,-0.23375793207802015
-0.6665613570987899,-0.8702717832939786,-0.24471729754545968
-0.6791181252756423,-0.8593295899819603,-0.2555388042057391
-0.6913996640379891,-0.8478278846021375,-0.26610422986929977
-0.7032606364805706,-0.8356048586455682,-0.2763182704992197
-0.7149463494815335,-0.8230812421862239,-0.2863858810849478
-0.7260425385997681,-0.8096785871145944,-0.2959731239571965
-0.7369489958034958,-0.7960194113268605,-0.3054052587037452
-0.7473518549948023,-0.7816956024646528,-0.31442538402395537
-0.7573920929751509,-0.766950881084481,-0.3231506235961785
-0.7670559347457805,-0.7517692578585331,-0.33156977550863903
-0.7761754178327472,-0.7360315181036388,-0.3395431428052861
-0.7850663938702495,-0.7200603356739022,-0.3473293817795356
-0.7932076627188392,-0.7034188235943176,-0.3544995457752377
-0.8011766455375087,-0.6866357166222061,-0.3615277302773768
-0.8084018534356282,-0.6692745980037711,-0.36794189987390846
-0.8153394990029021,-0.6517214296551511,-0.3741181520880182
-0.821684809547887,-0.6337726678333698,-0.3798043303845689
-0.8275500753966019,-0.6155512318051505,-0.38508829174511006
-0.8329921461877831,-0.5970894132096869,-0.3900176689998418
-0.8377708987097576,-0.5783103589241728,-0.3943705825084777
-0.842309207357817,-0.5594163110046808,-0.3985145357295447
-0.8459741567942576,-0.5401837285684764,-0.4018827533933395
-0.8494481974921276,-0.5208900916804687,-0.4050811813434428
-0.8521280146453997,-0.5013615623196842,-0.4075729199929622
-0.8544683595046747,-0.48176300572732633,-0.4097627460534659
-0.8562019373210324,-0.46203928364436164,-0.41141293865316564
-0.8573954013875635,-0.44225150983000944,-0.4125831412418831
-0.8581742802574194,-0.4224145706321373,-0.4133849089348607
-0.8582139215234273,-0.4025538011891892,-0.41352901720191626
-0.8580361894824658,-0.3826864683132718,-0.41347972615296463
-0.856929111011355,-0.36286839378781044,-0.4126011250890229
-0.8555830359226708,-0.34308319599865106,-0.41150819257260074
-0.8535641391083444,-0.323390552584013,-0.4098118755431196
-0.8511452835305968,-0.30378965417486414,-0.4077277489173506
-0.8482697645527698,-0.2842935080301449,-0.4052008305214764
-0.8448614684020657,-0.2649777581487357,-0.40208038179442784
-0.8412127361749362,-0.245743418980773,-0.39869207980464216
-0.8369213818212403,-0.22680904625382522,-0.3944797729641975
-0.8324579007314467,-0.2079746149535154,-0.39002109562023646
-0.8275204411171261,-0.1894348507605986,-0.3848585113162775
-0.8223187256961354,-0.17111153384941646,-0.3792348770102315
-0.8168548861477467,-0.1530029181989838,-0.3731539118662871
-0.811034666817201,-0.1352763486030052,-0.3663394389795764
-0.8050879806286855,-0.11769795910367445,-0.35924837464363196
-0.7988090269419861,-0.10059887835751022,-0.3513142824646908
-0.7924148088006951,-0.08372706066792286,-0.3430131922445465
-0.7858466252395838,-0.06719824475791433,-0.33415820213794045
-0.7791313553245778,-0.051103161439486317,-0.32465301950060726
-0.7723524860391952,-0.0352023808516966,-0.31485842705493144
-0.7654453687112583,-0.01992983857916001,-0.30419096141312135
-0.7585202055771691,-0.004893297623523619,-0.293217443184169
-0.7515612764548256,0.009701654985924868,-0.2816712618125795
-0.7446170735064149,0.02382026871247289,-0.26954988205667024
-0.7376804173760746,0.037706145335931474,-0.2571477397026451
-0.7308405368719713,0.05086428820000953,-0.2439252984936399
-0.724058156050305,0.06376795361354574,-0.23043544644878897
-0.7173879379862194,0.07617521815345604,-0.2164239647968818
-0.7108796798096998,0.08806143916531292,-0.20190342629553246
-0.7044539986653915,0.0996852525680889,-0.18712731946947647
