x,y,z
-0.3096774524190682,-0.35131646863298566,-0.5345454316380674
-0.3259273797196743,-0.3461138093939996,-0.5424548614674101
-0.34217730702028043,-0.34091115015501355,-0.5503642912967526
-0.3584272343208866,-0.33570849091602745,-0.5582737211260952
-0.3747120323633787,-0.3304788710170606,-0.56608938582176
-0.39118749341608017,-0.32510183812051563,-0.5733923702108764
-0.40766295446878154,-0.3197248052239706,-0.5806953545999928
-0.424138415521483,-0.31434777232742567,-0.5879983389891092
-0.4406138765741844,-0.30897073943088077,-0.5953013233782256
-0.45709063907323794,-0.30359206443595305,-0.6026001606603898
-0.47356787386358085,-0.2982127935280544,-0.609897492968887
-0.4900451086539237,-0.29283352262015583,-0.6171948252773842
-0.5065223434442666,-0.28745425171225725,-0.6244921575858813
-0.5230008260642098,-0.2820745809080997,-0.6317863763213153
-0.5394799954079101,-0.27669469002720937,-0.6390788815498801
-0.5559591647516104,-0.27131479914631923,-0.6463713867784452
-0.5724383340953109,-0.265934908265429,-0.6536638920070101
-0.5889185911089957,-0.26055588072914965,-0.6609545756491711
-0.6053997217416797,-0.2551775466332205,-0.6682437961889997
-0.6218808523743635,-0.2497992125372915,-0.6755330167288282
-0.6383619830070476,-0.24442087844136237,-0.6828222372686568
-0.6548439830929363,-0.23904419137660185,-0.6901107066172874
-0.6713269722416572,-0.2336693779230983,-0.6973983214342545
-0.687809961390378,-0.22829456446959473,-0.7046859362512216
-0.7042929505390986,-0.22291975101609116,-0.7119735510681886
-0.7207759396878193,-0.21754493756258758,-0.7192611658851557
-0.7371154806497033,-0.21129185486019061,-0.7261461804906534
-0.7534246767671562,-0.20485298421363052,-0.7329460295666707
-0.7697338728846091,-0.19841411356707048,-0.7397458786426878
-0.7859925564215466,-0.19178332101539908,-0.7464484829492388
-0.8017860807725871,-0.18338516207249905,-0.7522555816740897
-0.8175796051236274,-0.17498700312959908,-0.7580626803989408
-0.8333731294746679,-0.16658884418669906,-0.7638697791237918
-0.8490067537698052,-0.15779946055244212,-0.769451399957657
-0.8640348839058992,-0.1475286248689547,-0.7741792027911844
-0.8790630140419933,-0.13725778918546727,-0.7789070056247117
-0.8940911441780873,-0.1269869535019799,-0.7836348084582391
-0.9088502695505797,-0.11624309276126903,-0.7880350776530136
-0.922901073079266,-0.10425370024553299,-0.7915729114477458
-0.9369518766079524,-0.09226430772979685,-0.795110745242478
-0.9510026801366389,-0.08027491521406074,-0.7986485790372103
-0.9646697654262115,-0.06778972605830547,-0.8017866801545264
-0.9775247477342233,-0.05425523069668064,-0.8040787852620965
-0.990379730042235,-0.04072073533505581,-0.8063708903696667
-1.0032347123502467,-0.02718623997343098,-0.8086629954772366
-1.0155744342174224,-0.013157332646503383,-0.810498213317984
-1.0270252226354135,0.001724540091317202,-0.8115452038045676
-1.0384760110534048,0.01660641282913777,-0.8125921942911515
-1.049926799471396,0.03148828556695834,-0.8136391847777351
-1.0607142300858556,0.04684355910657387,-0.8141265650109532
-1.0706218201679754,0.06282672488058301,-0.8138717096352686
-1.0805294102500949,0.0788098906545922,-0.8136168542595839
-1.0904370003322141,0.09479305642860136,-0.8133619988838994
-1.099477190531844,0.11121916152542323,-0.8124490520069281
-1.1076940652436345,0.12806569416899297,-0.8109114602154693
-1.115910939955425,0.14491222681256272,-0.8093738684240106
-1.1241278146672158,0.16175875945613247,-0.8078362766325518
-1.1312361071415276,0.1789824232987824,-0.8055426024411895
-1.1376348489522015,0.19644747085076758,-0.802764995934768
-1.1440335907628751,0.2139125184027527,-0.7999873894283466
-1.1504323325735493,0.23137756595473793,-0.7972097829219251
-1.1554734265963496,0.24909353692373642,-0.7935538013771488
-1.1599809233840326,0.2669081284942933,-0.7895525914925566
-1.1644884201717156,0.28472272006485017,-0.7855513816079646
-1.1689959169593989,0.302537311635407,-0.7815501717233726
-1.1718532236672383,0.3204336398539758,-0.7765958396963453
-1.1743936188169974,0.33834566522694554,-0.7714584648629832
-1.1769340139667568,0.356257690599915,-0.7663210900296215
-1.1794744091165161,0.37416971597288473,-0.7611837151962596
-1.1800413907949365,0.39194629736007647,-0.7550835764144103
-1.18054848304983,0.40971876827455395,-0.7489542195397968
-1.1810555753047236,0.42749123918903115,-0.7428248626651837
-1.1813465206649523,0.4452236546710899,-0.7366053392228915
-1.1797950777631965,0.4626146465179331,-0.7296172559260996
-1.1782436348614405,0.4800056383647766,-0.7226291726293073
-1.1766921919596847,0.4973966302116199,-0.7156410893325154
-1.1746257625514458,0.5146277472674906,-0.7084617363074666
-1.1710455541960094,0.5313889197913881,-0.7007201547886104
-1.167465345840573,0.5481500923152854,-0.6929785732697541
