geometry,N_low,N_high,energy_low,energy_high,energy_rel_error,matched_groups,converged_groups,converged_fraction,physical_interpretation_ready
ring,32,48,3.2144320736530214e-36,2.9684827925980587e-36,0.07651407011237765,32,4,0.125,False
ring,48,64,2.9684827925980587e-36,2.889541035188847e-36,0.026593301334288926,50,8,0.16,False
ring,64,96,2.889541035188847e-36,2.8506516635138956e-36,0.013458667380513498,66,10,0.15151515151515152,False
trefoil,32,48,1.4941329030749491e-36,1.4706808567707482e-36,0.015696091195057868,64,2,0.03125,False
trefoil,48,64,1.4706808567707482e-36,1.4688854931218741e-36,0.0012207703939359387,96,2,0.020833333333333332,False
trefoil,64,96,1.4688854931218741e-36,1.474380193007808e-36,0.003726786287548021,128,6,0.046875,False
