pair_id,candidate_a,candidate_b,valid,winner_anonymous,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,carrier_id,family,beta,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,pressure_delta_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,active_restoring_fraction,null_restoring_fraction
PAIR_AF0CC5648EEB,CAND_23540E0F8C51258B,CAND_AAD389D0D91F46F8,True,TIE,-0.0007002499610593308,3,1,TWIST_7_2,twist,1.0,1.0,3,1.0,tie,0.0007002499610593308,-0.2571597085533448,0.04459735498009745,0.3017570635334422,0.6635380191811293,0.5222503408681067,0.14128767831302258,0.5,0.5
PAIR_E04BC1E564B0,CAND_39D0319DA6FDBA15,CAND_FD445CDF135CCDCB,True,B,0.06944960700594972,1,4,TWIST_5_2,twist,-0.5,1.0,3,1.0,active,-0.06944960700594972,-0.0917756183157521,0.696357071033555,0.7881326893493071,0.9204017856918786,0.8232110763765345,0.09719070931534413,0.6666666666666666,0.6666666666666666
PAIR_6A320A640D36,CAND_A8730A4F02E9E946,CAND_0876179CE1EB18BB,True,TIE,0.0,1,1,TWIST_6_1,twist,1.0,1.0,3,1.0,tie,0.0,-0.25205509363695794,-0.14475753872270986,0.10729755491424808,0.7710757718474218,0.6386856589089513,0.13239011293847047,0.3333333333333333,0.5
PAIR_34297FCE1317,CAND_5CE34AFFB122016E,CAND_8F3C450DCECC1A08,True,TIE,0.0,2,2,TORUS_T2_5,torus,1.0,1.0,3,1.0,tie,0.0,-0.033481106283767305,0.00017415618157832352,0.03365526246534563,0.10216086347996545,0.038627785733782116,0.06353307774618333,0.6666666666666666,0.6666666666666666
PAIR_A6701C96927C,CAND_607D35F76D467B59,CAND_A8F432D763185E08,True,TIE,0.01677295717526265,1,3,TRIPLE_GEAR_T3_3,triple_gear,0.5,1.0,3,1.0,tie,0.01677295717526265,-0.004574415973744778,0.11420939383988185,0.11878380981362663,0.6347678605805338,0.5532700433816413,0.08149781719889249,0.6666666666666666,0.6666666666666666
PAIR_5FC69091ECE9,CAND_39D0319DA6FDBA15,CAND_3F5FC720619DAE09,True,A,-0.06312877350879599,4,1,TWIST_5_2,twist,0.5,1.0,3,1.0,null,0.06312877350879599,0.026652993486702137,0.8147856828360093,0.7881326893493071,0.9420984181999454,0.8549100149509667,0.0871884032489787,0.6666666666666666,0.6666666666666666
PAIR_A450A3234BA6,CAND_23540E0F8C51258B,CAND_C8C691B2C6DC071E,True,A,-0.04704584250601611,4,0,TWIST_7_2,twist,-1.0,1.0,3,1.0,null,0.04704584250601611,-0.0033307907628570277,0.2984262727705852,0.3017570635334422,0.9777037619261588,0.9176444210003667,0.060059340925792126,0.6666666666666666,0.5
PAIR_E4B108F114AF,CAND_B7FFB3969C4BF6E0,CAND_A8F432D763185E08,True,A,-0.030847860568778807,4,0,TRIPLE_GEAR_T3_3,triple_gear,-1.0,1.0,3,1.0,active,-0.030847860568778807,-0.18067537411275425,-0.061891564299127615,0.11878380981362663,0.051082659236659556,0.018312733218085464,0.03276992601857409,0.6666666666666666,0.6666666666666666
PAIR_7D0EA6615D6A,CAND_5A2596EDED87AE19,CAND_96720C5E5BDD9AE6,True,A,-0.07195495689635018,3,1,TORUS_T2_3,torus,1.0,1.0,3,1.0,null,0.07195495689635018,-0.06712842437204464,-0.021986782830506243,0.0451416415415384,0.021603373050951502,0.0032834397483800792,0.018319933302571423,0.6666666666666666,0.6666666666666666
PAIR_FC7FB6B4AC5F,CAND_E9D90ABA8BCABA7F,CAND_30F6C66F2C7AAA5C,True,A,-0.09770528327936366,4,0,TORUS_T2_9,torus,-0.5,1.0,3,1.0,null,0.09770528327936366,-0.10973018002674714,-0.18531579593659284,-0.0755856159098457,0.4725158547089281,0.6019707260713234,-0.1294548713623953,0.3333333333333333,0.3333333333333333
