candidate,family,category,value,shape_classification,parameterization_role,shape_family_max_normalized_rms,raw_family_max_normalized_rms,priority_tier,selection_reason,is_baseline_geometry,raw_sha256,source_file,raw_handoff_file,arclength300_handoff_file,length,rg,exact_duplicate_of
tinc__3p75,tinc,numerical,3.75,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.03172579847163999,0.03177806482691385,1,numerical robustness / pathway sensitivity,False,c97b6b066e0d8bfb7a3de9d48e0bff3fe41a41a458ae98cb4df7aef86de2e085,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\tinc__3p75_i01000.txt,stability_handoff\raw_xyz\tinc__3p75.txt,stability_handoff\arclength300_xyz\tinc__3p75.txt,323.3514686150554,24.551882138616367,
tinc__60,tinc,numerical,60.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.03172579847163999,0.03177806482691385,1,numerical robustness / pathway sensitivity,False,0146bf91409a52969a29d965009c7851b7c8ce9521928ea2a56dbee12ccd8ac0,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\tinc__60_i01000.txt,stability_handoff\raw_xyz\tinc__60.txt,stability_handoff\arclength300_xyz\tinc__60.txt,335.31246335194214,25.15760244747451,
amechforce__on,amechforce,secondary_force,on,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.012590358983467121,0.012015330808181204,2,secondary strong shape effect,False,d3cdf956211a9d30b552309544aa89aa7f975909d7b255e0cfc8757e52dbd686,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\amechforce__on_i01000.txt,stability_handoff\raw_xyz\amechforce__on.txt,stability_handoff\arclength300_xyz\amechforce__on.txt,336.4919291974609,25.14322939972835,
amfpower__1,amfpower,secondary_force,1.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.026010399916287643,0.025561382277105575,2,secondary strong shape effect,False,8ce97762b3d562cd81b35ede73eedfe07614befb044a1a80518536cf8d7c40b5,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\amfpower__1_i01000.txt,stability_handoff\raw_xyz\amfpower__1.txt,stability_handoff\arclength300_xyz\amfpower__1.txt,372.0985466430793,25.132862379827536,
amfpower__4,amfpower,secondary_force,4.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.026010399916287643,0.025561382277105575,2,secondary strong shape effect,False,9117cb9eebe319c1c940c43954114f1c2d84efa57900602f90ec6b89f07c6f0b,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\amfpower__4_i01000.txt,stability_handoff\raw_xyz\amfpower__4.txt,stability_handoff\arclength300_xyz\amfpower__4.txt,330.5759621189337,24.977281236840295,
syfmag__0p25,syfmag,secondary_force,0.25,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.014520156169576188,0.01398267895002585,2,secondary strong shape effect,False,b63c0206923eb08f2992845af1be2c201e647d78e6a590baadb57138a4cacbdd,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\syfmag__0p25_i01000.txt,stability_handoff\raw_xyz\syfmag__0p25.txt,stability_handoff\arclength300_xyz\syfmag__0p25.txt,330.29966407093843,24.973191914297573,
syfmag__1,syfmag,secondary_force,1.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.014520156169576188,0.01398267895002585,2,secondary strong shape effect,False,f1b37bc048a506db40f388c45497bd4b722d0bb3a94ccee735112d64cd864897,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\syfmag__1_i01000.txt,stability_handoff\raw_xyz\symmforce__on.txt,stability_handoff\arclength300_xyz\symmforce__on.txt,331.264099127548,25.042862911439617,
syfmag__4,syfmag,secondary_force,4.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.014520156169576188,0.01398267895002585,2,secondary strong shape effect,False,29e6671aa823215f345fb34f46d99c32bc9794eaa279566db913934002a599cf,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\syfmag__4_i01000.txt,stability_handoff\raw_xyz\syfmag__4.txt,stability_handoff\arclength300_xyz\syfmag__4.txt,335.04036126740846,25.31296028588757,
sytmag__0p25,sytmag,secondary_force,0.25,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.013873216638597984,0.013774928175813122,2,secondary strong shape effect,False,0e21b7333491583989e54d51036e82149e0d0080265c80ece0239d67ad8ddfe0,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\sytmag__0p25_i01000.txt,stability_handoff\raw_xyz\sytmag__0p25.txt,stability_handoff\arclength300_xyz\sytmag__0p25.txt,330.21605350151606,24.97848244192229,
sytmag__4,sytmag,secondary_force,4.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.013873216638597984,0.013774928175813122,2,secondary strong shape effect,False,7a985e81b753d0a026736a19a8ab5fa05e4c45995b1cc8fc3a650e5dd3ea16ff,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\sytmag__4_i01000.txt,stability_handoff\raw_xyz\sytmag__4.txt,stability_handoff\arclength300_xyz\sytmag__4.txt,335.4597417652217,25.30111487877405,
