n,D,offset_over_D,eps_over_D,channel_phase_rad,gamma_plus,gamma_minus,backend,period_hat,dt_hat,step,shift,recurrence_rms_over_D,plus_rms_over_D,minus_rms_over_D,endpoint_vectorfield_error,pair_min_distance_over_D,segment_max_over_min,accepted
20,1.0,0.3,0.1,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,0,0.3647885460163262,0.4405154708571557,0.2684911293598153,1.1237130450049908,0.3643670184441681,2.970944488040963,False
20,1.0,0.3,0.05,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,0,0.3969477119432188,0.4845486128379236,0.28345654663591263,0.8080429894750402,0.37691956044545144,3.476868792425263,False
20,1.0,0.3,0.1,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.4163337619706059,0.38111164349120064,0.448800086796594,0.5154226528120953,0.4120471958809557,1.4961227124989007,False
20,1.0,0.6,0.1,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.41999576767391933,0.367831894412769,0.46636100521025886,0.8137742240308268,0.3174309044308807,1.9435434014892958,False
20,1.0,0.3,0.05,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.4266542943333722,0.39105041715211925,0.4595077202739571,0.5526747326555143,0.40690661843059023,1.4969887612586912,False
20,1.0,0.6,0.05,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.43531672967604806,0.39164592554012956,0.47498924122501385,0.9701577418313166,0.46383426414932827,2.138461101549074,False
20,1.0,0.45,0.1,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.45600103610275844,0.4081901655937275,0.49925412223249965,0.8814472196053944,0.12777474409645065,1.961305881200083,False
20,1.0,0.45,0.05,0.0,1.0,-1.0,python,0.16,0.008,20,0,0.4707084584263738,0.42657192412454087,0.5110472573226017,0.8791554081709031,0.12360036912854232,1.9434124106143524,False
20,1.0,0.45,0.1,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,0,0.5343696922374557,0.6963328567966869,0.2936366607037871,1.190848496766146,0.4307244426346263,5.50823219882065,False
20,1.0,0.6,0.1,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,13,0.5503019681820155,0.7165093156231374,0.3037744442761163,1.0582852060146366,0.3493524785466997,7.415196165653609,False
20,1.0,0.6,0.05,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,13,0.5533658576143157,0.7199504918832678,0.30675533244508546,1.1906184671724585,0.31401208710178347,8.9815690176378,False
20,1.0,0.45,0.05,1.5707963267948966,1.0,-1.0,python,0.16,0.008,20,0,0.5577042639730361,0.7294458532540185,0.2999613963128069,1.2027909639554124,0.5217294414193963,6.936368586996834,False
