schema,pair_key,topology_key,variant_key,representation,source_relative_path,source_sha256,sample_count,sampled_total_length,edge_cv_max,edge_ratio_max,flatness_min,curvature_max,curvature_rms_max,torsion_rms_max,torsion_max_abs,min_curvature_radius,sampled_dcsd_proxy,sampled_reach_proxy,length_over_diameter_proxy,ropelength_radius_proxy,writhe_sum_midpoint_proxy,acn_self_sum_midpoint_proxy,bishop_closure_mismatch_max_rad,native_backend,native_backend_error
sst21d.fresnel-representation-row.v0.2,10_1/knot.10_1,10_1,10_1,fseries,10_1/knot.10_1.fseries,a211ddc4c5376e680de437783edc6060e6c14ab3c1de526d94eb3ad58db9c1eb,1200,42.64925832698536,1.7569951990556712e-05,1.000111418989914,0.5418283352252008,1.4781171867911929,1.0456564597276068,3.666792847062797,73.82087303171438,0.6765363456539428,0.9999197553018209,0.49995987765091043,42.65268097849701,85.30536195699402,-3.369572015423839,18.142033085537474,2.2748664918657506,True,
sst21d.fresnel-representation-row.v0.2,10_1/knot.10_1n,10_1,10_1n,fseries,10_1/knot.10_1n.fseries,acde57b23c64b43156ea37eaef04a7733064eb7a6fc571eae8ba0fe2a4453caa,1200,42.64124422817078,2.022205149372123e-05,1.000121646551215,0.5418513515478162,1.4479559118924523,1.0331047202541412,2.362684770959501,27.638758089104762,0.6906287627867191,0.99443337397788,0.49721668698894,42.87994082258072,85.75988164516144,-3.376130544355162,18.128794789006314,2.3211877530449763,True,
sst21d.fresnel-representation-row.v0.2,12a_1202/knot.12a_1202,12a_1202,12a_1202,fseries,12a_1202/knot.12a_1202.fseries,caa73875bab307dce64baa1e0cb9e0a0054edf8649ececcea64a61f67aab0089,1200,5.167808694965613,8.393655461997172e-05,1.0004298951241897,0.20379854184697807,23.052167711446774,9.722396308179343,21.188260505958528,356.2620472430912,0.04337986832810697,0.0601675073950942,0.0300837536975471,85.89035708311516,171.78071416623033,-0.3637798360326415,23.068209193469265,2.3052517877001266,True,
sst21d.fresnel-representation-row.v0.2,12a_1202/knot.12a_1202,12a_1202,12a_1202,short,12a_1202/knot.12a_1202.short,782255e91575661c8b38585859fd6f865168037b407844bd8448a1e9b7c997ca,1200,85.800051502325,0.0009507955352112688,1.0068628305174363,0.20330694030080113,3.049353524200998,0.8139016088761498,0.28201925528622807,3.707403124185264,0.32793836203758087,0.9927536994674404,0.32793836203758087,130.81734471262095,261.6346894252419,-0.3612391594438699,23.03543875973908,2.285856975753979,True,
sst21d.fresnel-representation-row.v0.2,12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,fseries,12a_1202/knot.12a_1202z6.fseries,99d4553339b63ae269c3e1ca5bf70171a002155b492e300533e1dae985897cd7,1200,5.876155443022169,0.0003075213727200926,1.0023584244093289,0.8835630081091028,48.99588760973475,11.022631441336715,18.40425569307507,140.1780656167528,0.02040987619135029,0.07966638158015558,0.02040987619135029,143.95372583182265,287.9074516636453,9.85760785683408e-15,25.736262231301144,3.4878263591151713e-16,True,
sst21d.fresnel-representation-row.v0.2,12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,12a_1202/knot.12a_1202z6.short,c0d93dfba2330f043389b7f326e1fde3c7d19eb31e8e203656c3fa7c5fdc98e3,1200,68.88449729423297,0.0008685216475429183,1.004968596482852,0.8831138907890564,4.484125880073515,1.083500836937671,0.38798253762450485,1.6937342578433041,0.22300890446536828,0.9332301261659848,0.22300890446536828,154.44337852646206,308.8867570529241,-1.3898492913303667e-07,25.71789458311698,4.627720863007059e-07,True,
sst21d.fresnel-representation-row.v0.2,15331/knot.15331,15331,15331,fseries,15331/knot.15331.fseries,fd5fc08c7652f044f91b5f7d5da74937689efa4c7e3b6a3f19caec6c6152ce7e,1200,6.210063101039859,4.930808408824888e-05,1.0001893696525794,0.3441838201543363,12.801912951962912,6.827940836329884,18.924348393377677,263.67825191617794,0.0781133260124746,0.08922472881948144,0.04461236440974072,69.60024629050983,139.20049258101966,-1.6584986975071696e-13,23.280678810881607,1.3900543631633413e-15,True,
sst21d.fresnel-representation-row.v0.2,15331/knot.15331,15331,15331,short,15331/knot.15331.short,e19e6e4c819314dc41c3b62920d56e18ef257bf764671d928843e9fea1c1bfe5,1200,69.32273990060783,0.0005482318938017046,1.0026585861018142,0.343854500254002,2.552614602825625,0.8191606679517057,0.24556290757799096,1.636953511906238,0.3917551826637075,0.9957904936241136,0.3917551826637075,88.47711908908708,176.95423817817417,6.664781603131732e-08,23.270164871527406,4.905227529562481e-07,True,
sst21d.fresnel-representation-row.v0.2,1_1/knot.1_1,1_1,1_1,fseries,1_1/knot.1_1.fseries,03921dfa09a446acd2feb91a1a9d3e4825aea162422df274aeb27af84b15fbf3,1200,6.283178129803185,1.2406381214543869e-13,1.00000000000068,0.0,1.000000000014935,1.0000000000000002,0.0,0.0,0.9999999999850651,,0.9999999999850651,3.1415890649485116,6.283178129897023,0.0,0.0,0.0,True,
sst21d.fresnel-representation-row.v0.2,3_1/knot.3_1,3_1,3_1,fseries,3_1/knot.3_1.fseries,f29c73b439fe4d645e67e8577ce0700cb006d393526e8674d251fe5b95583c4d,1200,15.22829643742931,2.707350102669919e-06,1.0000108752899735,0.40178626553064434,1.3655706916550694,1.1153182171860851,2.040387217680008,7.369040197693605,0.7322945682057673,0.8914311526510876,0.4457155763255438,17.082975384179527,34.16595076835905,3.418035893612633,4.324844441843108,2.62808756513136,True,
