pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_source_monopole_A_minus_B_blind,delta_source_monopole_fraction_abs_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,delta_pressure_ladder_monopole_rel_span_blind,carrier_id,family,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,campaign_role,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,analysis_mode,active_dynamic_status,null_dynamic_status,active_actual_tau_end,null_actual_tau_end,pressure_delta_active_minus_null,delta_source_monopole_active_minus_null,delta_source_monopole_fraction_abs,delta_far_profile_coeff_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_far_profile_nu_best,active_far_profile_r2_best,active_far_profile_coeff_best,active_far_profile_nu_boundary_hit,delta_far_profile_nu_best,delta_far_profile_r2_best,delta_far_profile_coeff_best,delta_far_profile_nu_boundary_hit,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,delta_pressure_ladder_n,delta_pressure_ladder_nu_median,delta_pressure_ladder_nu_span,delta_pressure_ladder_monopole_rel_span,active_thread_density_log_growth,null_thread_density_log_growth,thread_density_growth_active_minus_null,active_restoring_fraction,null_restoring_fraction,active_max_real_growth,null_max_real_growth,active_gear_phase_lock_score,null_gear_phase_lock_score,active_best_rational_p,active_best_rational_q,active_thread_over_carrier_rate
PAIR_CE8129B8F0EE,CAND_CDB977EFF103918B,CAND_91E032250DA71278,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,2.042812805327107e-05,4.801241290507948e-05,-2.758428485180841e-05,0.5,0.5,0.057713641978218204,0.03053976772900402,nan,nan,,,nan
PAIR_A699D65084F9,CAND_1AA4676EB9EE8DDD,CAND_8C3366DE3746B306,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.00010428790214693964,0.00013853338538022842,-3.4245483233288774e-05,0.5,0.5,7.058569865715791e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_26E457CABEAF,CAND_8DD926165DC69EDA,CAND_52BB533951FF3366,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,2.0648397713272485e-05,5.241083661722216e-05,-3.176243890394968e-05,0.5,0.5,0.04307940853709063,0.05497412389936205,nan,nan,,,nan
PAIR_9345D695951D,CAND_749585C86152F009,CAND_516F8A9BD9CAEDF8,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,1.0,1.0,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-9.501216566473316e-05,4.279033254693806e-05,-0.0001378024982116712,0.5,0.5,-0.0005435013936234134,-0.00033617651651635084,nan,nan,,,nan
PAIR_75C745EA1700,CAND_40F91246DABAFB87,CAND_1BF96EAB13AFE417,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.14830741251810683,0.14835961988014348,-5.220736203664922e-05,0.5,0.5,8.20157247037323e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_84C2D34E59D4,CAND_817674867F1014FB,CAND_87AD5075AB41E317,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,1.0,5.0,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-0.00024465696597648906,4.801217958959046e-05,-0.00029266914556607955,0.5,0.5,0.11275295229488924,0.03053976772900402,nan,nan,,,nan
PAIR_EF3DE1C3085D,CAND_6BC6256A8B7F43DF,CAND_A4D4549C2A47DA45,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,1.0,5.0,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-0.00024493277563934865,4.405227216521195e-05,-0.0002889850478045606,0.5,0.5,0.00198905796813334,-0.00033617651651635084,nan,nan,,,nan
PAIR_E0931DA3C56B,CAND_7B19BB6EC95F0306,CAND_97C7675F929A2950,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,1.0,1.0,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-9.470146175879273e-05,4.657622883847584e-05,-0.00014127769059726856,0.5,0.5,0.050642670876392994,0.05497412389936205,nan,nan,,,nan
PAIR_CB8B7EC0D2E4,CAND_516F8A9BD9CAEDF8,CAND_1498BDE1276373AF,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,9.097154590184527e-06,4.279033254693806e-05,-3.369317795675353e-05,0.5,0.5,-0.000451075540757212,-0.00033617651651635084,nan,nan,,,nan
PAIR_DC3D4EC95A7C,CAND_255DE3A3346F4BAD,CAND_C4C09B436BDBBC1D,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,1.0,1.0,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-9.301870520076787e-05,4.5258417575189175e-05,-0.00013827712277595704,0.5,0.5,0.0489622437349263,0.03053976772900402,nan,nan,,,nan
