n_grid,s_rel_continuum,s_boundary_kl_discrete,relative_error,active_cells,max_shift
51,0.0072257071525962105,0.007233175180416257,0.0010335359103729239,18,0.0532943476131335
101,0.0072257071525962105,0.007225612172467373,1.3144752040400883e-05,36,0.03776064400093363
201,0.0072257071525962105,0.007225707120290068,4.471000755246988e-09,74,0.027172565715180837
401,0.0072257071525962105,0.007225707152533577,8.668087031367778e-12,150,0.019240324285224163
801,0.0072257071525962105,0.007225707152548888,6.5491706297433166e-12,300,0.013615655224113718
1601,0.0072257071525962105,0.007225707152548924,6.5442490586767744e-12,598,0.009633938481224992
3201,0.0072257071525962105,0.007225707152547915,6.683853623320398e-12,1198,0.006813289309565227
