n,s_rel_flux,s_rel_modular_plus,s_rel_modular_minus,delta_a_entropy,delta_a_weighted_ricci,delta_a_linear_ode,delta_a_nonlinear_ode,relerr_modular_plus,relerr_modular_minus,relerr_entropy_vs_ricci,relerr_linear_ode_vs_ricci,nonlinear_fractional_correction
101,0.007225634000787612,-0.007225705602250187,0.007225705602250187,0.02890253600315045,0.02890253600315045,0.02890253600315045,0.0290848791635571,2.000009909367478,9.909367477951146e-06,0.0,0.0,0.00630889830521349
151,0.007225708459336902,-0.007225707498761301,0.007225707498761301,0.028902833837347607,0.028902833837347604,0.028902833837347604,0.02908476847325918,1.9999998670613954,1.3293860473859702e-07,1.2003829698769784e-16,0.0,0.0062946988843870086
201,0.007225707313670873,-0.007225707146016849,0.007225707146016849,0.02890282925468349,0.02890282925468349,0.028902829254683488,0.02908476695993131,1.9999999767975623,2.3202437657469675e-08,0.0,1.2003831602027042e-16,0.00629480607744795
301,0.007225707153994518,-0.00722570712431542,0.00722570712431542,0.028902828615978073,0.028902828615978076,0.02890282861597808,0.029084765088226196,1.9999999958925685,4.10743157570487e-09,1.2003831867292161e-16,1.2003831867292161e-16,0.00629476355637863
501,0.007225707152548468,-0.007225707124172848,0.007225707124172848,0.028902828610193873,0.028902828610193873,0.028902828610193873,0.029084764051573606,1.9999999960729626,3.927037150920874e-09,0.0,0.0,0.006294727890942994
801,0.007225707152548874,-0.007225707124170249,0.007225707124170249,0.028902828610195493,0.028902828610195497,0.028902828610195497,0.02908476370024047,1.999999996072547,3.927452963656619e-09,1.2003831869693765e-16,0.0,0.006294715735220284
1201,0.007225707152548874,-0.0072257071241719735,0.0072257071241719735,0.028902828610195493,0.028902828610195497,0.028902828610195504,0.02908476357569942,1.9999999960727854,3.92721432747905e-09,1.2003831869693765e-16,2.400766373938753e-16,0.006294711426262855
2001,0.007225707152548874,-0.007225707124173097,0.007225707124173097,0.028902828610195493,0.028902828610195497,0.028902828610195472,0.029084763512051897,1.999999996072941,3.927058877856338e-09,1.2003831869693765e-16,8.402682308785634e-16,0.0062947092241431
